name logM e_logM E_logM logSFR e_logSFR E_logSFR
ZTF18aakuewf 9.47 0.15 0.1 -0.48 0.09 0.08
ZTF18abcfcoo 9.59 0.06 0.12 -0.19 0.1 0.13
ZTF18abfcmjw 8.65 0.12 0.14 -1.22 0.28 0.23
ZTF18abukavn 8.45 0.09 0.08 -1.08 0.04 0.07
ZTF18abvkmgw 10.3 0.12 0.13 0.37 0.32 0.2
ZTF18abwkrbl 10.19 0.08 0.13 0.42 0.15 0.14
ZTF19aakssbm 9.64 0.17 0.14 -0.61 0.22 0.49
ZTF19aapfmki 10.72 0.05 0.07 0.89 0.07 0.12
ZTF19abobxik 9.42 0.13 0.1 -0.54 0.06 0.08
ZTF19abuvqgw 6.51 0.56 0.39 -2.21 0.37 0.34
ZTF19abyjzvd 9.87 0.2 0.16 0.6 0.21 0.25
ZTF19acayojs 10.27 0.18 0.31 0.67 0.37 0.2
ZTF19accjfgv 9.43 0.2 0.18 0.01 0.29 0.22
ZTF20aaelulu 10.9 0.23 0.14 1.46 0.22 0.41
ZTF20aahfqpm 9.57 0.19 0.21 0.54 0.45 0.25
ZTF20aaxhzhc 9.25 0.07 0.31 -0.53 0.31 0.07
ZTF20aayrobw 8.77 0.16 0.15 -0.7 0.11 0.09
ZTF20aazchcq 9.49 0.2 0.15 -0.24 0.19 0.32
ZTF20abjbgjj 9.16 0.24 0.22 -0.19 0.37 0.33
ZTF20aburywx 10.15 0.13 0.14 0.41 0.18 0.21
ZTF20acigusw 9.86 0.15 0.15 0.46 0.2 0.12
ZTF20aclfmwn 10.7 0.09 0.12 0.7 0.16 0.16
ZTF18abvkwla 9.32 0.16 0.21 0.31 0.1 0.1
ZTF19aatoboa 9.91 0.18 0.15 0.42 0.2 0.16
ZTF19abfarpa 8.76 0.18 0.18 -0.64 0.33 0.18
ZTF20aaivtof 8.93 0.2 0.27 -0.08 0.14 0.41
ZTF20aakypiu 11.67 0.04 0.12 0.41 0.92 0.1
ZTF20ababxjv 10.31 0.17 0.22 0.61 0.33 0.25
ZTF20abmocba 9.86 0.12 0.38 0.18 0.36 0.05
ZTF20abummyz 10.04 0.17 0.2 0.98 0.27 0.26
ZTF20acigmel 7.23 0.25 0.19 -1.12 0.16 0.15
