09as   12 59 15.864 +27 16 40.58 I   0.1867    -20.8  2009-03-24 0.008                                   
09uy   12 43 55.771 +74 41 07.58 II  0.3145    -21.2  2009-07-08 0.020                                   
09atu  16 30 24.553 +23 38 25.43 I   0.5015    -22.5  2009-08-18 0.042                                   
09cnd  16 12 08.839 +51 29 16.01 I   0.2584    -23.   2009-09-10 0.021                                   
09cwl  14 49 10.08  +29 25 11.4  I   0.3499    -22.5  2009-08-07 0.014 = SN2009jh                        
10bfz  12 54 41.288 +15 24 17.08 I   0.1701    -20.9  2010-01-31 0.018                                   
10bjp  10 06 34.30  +67 59 19.0  I   0.3584    -21.4  2010-02-16 0.055                                   
10cwr  11 25 46.73  -08 49 41.9  I   0.2297    -21.8  2010-03-21 0.035 = SN2010gx                        
10fel  16 27 31.103 +51 21 43.45 II  0.2356 <  -20.5 <2010-04-03 0.017                                   
10heh  12 48 52.05  +13 26 24.5  II  0.3379    -21.2  2010-06-03 0.024                                   
10hgi  16 37 47.074 +06 12 31.83 I   0.0987    -20.3  2010-06-20 0.074 = SN2010md                        
10jwd  16 43 43.325 +44 31 43.8  II  0.477     -21.4  2010-07-02 0.012                                   
10nmn  15 50 02.809 -07 24 42.38 I-R 0.1237    -20.5  2010-07-07 0.138                                   
10qaf  23 35 42.887 +10 46 32.57 II  0.2836    -21.6  2010-08-05 0.070                                   
10qwu  16 51 10.572 +28 18 07.62 II  0.2258    -21.0  2010-08-21 0.040                                   
10scc  23 28 10.495 +28 38 31.10 II  0.242     -21.5  2010-08-26 0.093                                   
10tpz  21 58 31.74  -15 33 02.6  II  0.0395 << -19.   2010-09-02 0.041 Heavily extinguished              
10uhf  16 52 46.696 +47 36 21.76 I   0.2882    -22.   2010-09-18 0.018 Possible very weak H{alpha}?      
10vqv  03 03 06.859 -01 32 35.42 I   0.4518    -22.5  2010-10-13 0.061                                   
10vwg  18 59 32.881 +19 24 25.74 I-R 0.1901    -21.   2010-09-07 0.467 = SN2010hy.  KAIT/LOSS discovery. 
10yyc  04 39 17.297 -00 20 54.5  II  0.2147    -21.   2010-11-13 0.041                                   
10aagc 09 39 56.923 +21 43 17.09 I   0.206     -20.4  2010-10-04 0.022 Late-time hydrogen lines?         
11dij  13 50 57.798 +26 16 42.44 I   0.1428    -21.5  2011-04-28 0.011 = SN2011ke                        
11dsf  16 11 33.55  +40 18 03.5  II  0.3848    -22.1  2011-05-27 0.009                                   
11hrq  00 51 47.22  -26 25 10.0  I   0.057  <  -20.  <2011-07-11 0.012                                   
11rks  01 39 45.528 +29 55 27.43 I   0.1924    -21.1  2012-01-11 0.038                                   
12dam  14 24 46.228 +46 13 48.64 I-R 0.1073    -21.5  2012-06-12 0.100                                   
12epg  12 55 36.596 +35 37 35.79 II  0.3422    -21.3  2012-05-30 0.015                                   
12gwu  15 02 32.876 +08 03 49.47 II  0.275     -21.4  2012-07-25 0.033 Hydrogen lines very weak.         
12mkp  08 28 35.092 +65 10 55.60 II  0.153     -21.0  2013-01-25 0.046                                   
12mue  03 18 51.072 -11 49 13.55 II  0.2787    -21.4  2012-12-21 0.062                                   
12mxx  22 30 16.728 +27 58 22.01 I   0.3296    -22.5  2012-12-10 0.041                                   
