name flagSFR SFR e_SFR E_SFR logM e_logM E_logM logSFR E_logSFR e_logSFR subtype z flagSFR_Halpha SFR_Halpha e_SFR_Halpha E_SFR_Halpha logSFR_Halpha E_logSFR_Halpha e_logSFR_Halpha
09as False 1.659 1.49 0.513 8.27 0.15 0.92 0.2198463860243607 0.11701343489244867 -0.2783262746121832 I 0.1867 False 0.485 0.107 0.108 -0.3142582613977364 0.08731295476199896 -0.08657996812065613
09uy False 0.162 0.05 0.054 9.24 0.2 0.11 -0.790484985457369 0.1249387366082999 -0.11682084638612045 II 0.3145 False 0.796 0.53 0.188 -0.09908693226233094 0.09208203069367245 -0.2216304563310853
09atu False 0.528 0.245 0.332 8.35 0.62 0.33 -0.27736607746618774 0.21186452870975553 -0.16554557138451265 I 0.5015 True 0.105 0.0 0.0 -0.978810700930062 0.0 0.0
09cnd False 0.481 0.222 0.203 8.32 0.18 0.15 -0.31785492362616824 0.15291102534628442 -0.16481024864599217 I 0.2584 False 0.115 0.023 0.023 -0.9393021596463883 0.07918124604762489 -0.07918124604762489
09cwl False 0.015 0.004 0.005 7.85 0.33 0.23 -1.8239087409443189 0.12493873660830013 -0.10266234189714774 I 0.3499 True 0.061 0.0 0.0 -1.214670164989233 0.0 0.0
10bfz False 0.269 0.088 0.153 8.65 0.32 0.11 -0.5702477199975919 0.19556017095926587 -0.12291593610978513 I 0.1701 False 0.393 0.097 0.104 -0.4056074496245733 0.1019638383579054 -0.09580352965308697
10bjp False 0.401 0.12 0.135 9.21 0.17 0.15 -0.39685562737981767 0.1260204170725877 -0.11369335067934216 I 0.3584 False 0.934 0.254 0.283 -0.029653123769906618 0.11494370199997163 -0.10446956441508141
10cwr False 0.532 0.248 0.287 7.87 0.21 0.13 -0.2740883677049518 0.18737226946537028 -0.16618297039543223 I 0.2297 False 0.257 0.051 0.052 -0.5900668766687055 0.08002535609354011 -0.07861759316914974
10fel False 0.576 0.21 0.236 10.15 0.15 0.11 -0.239577516576788 0.1491335458179633 -0.13500006261619585 II 0.2356 False 1.003 0.25 0.274 0.001300933020418072 0.10488996424299718 -0.09665013797373188
10heh False 0.41 0.143 0.229 9.18 0.19 0.12 -0.38721614328026455 0.19271700143866471 -0.12994127458496274 II 0.3379 False 0.387 0.13 0.166 -0.4122890349810886 0.1550141662857869 -0.1257795780750311
10hgi False 0.204 0.076 0.089 7.9 0.2 0.14 -0.6903698325741012 0.15723745292821067 -0.13752786391632044 I 0.0987 False 0.012 0.004 0.005 -1.9208187539523751 0.151267675330649 -0.1249387366082999
10jwd False 0.707 0.35 0.432 10.25 0.16 0.11 -0.1505805862031006 0.20710431028220097 -0.17465557351052685 II 0.477 False 7.75 3.833 1.633 0.8893017025063102 0.08304001381943782 -0.17451935383740136
10nmn False 0.229 0.074 0.074 8.79 0.15 0.11 -0.640164517660112 0.12160714616241697 -0.12160714616241697 I-R 0.1237 False 0.528 0.126 0.121 -0.27736607746618774 0.089610774266557 -0.09294382579045501
10qaf False 0.268 0.092 0.123 9.64 0.16 0.13 -0.5718652059712112 0.164041963367078 -0.12816770673849842 II 0.2836 False 1.287 0.623 0.456 0.10957854690438666 0.13171884020560648 -0.17145482034334086
10qwu False 0.145 0.073 0.099 8.09 0.61 0.21 -0.8386319977650252 0.2260218241037546 -0.1770884913696299 II 0.2258 False 0.062 0.015 0.014 -1.207608310501746 0.08842190278253748 -0.09409903567422795
10scc False 0.011 0.003 0.003 6.0 0.15 0.95 -1.958607314841775 0.10473535052001304 -0.10473535052001304 II 0.242 True 0.047 0.0 0.0 -1.3279021420642825 0.0 0.0
10tpz False 0.082 0.085 0.581 10.85 0.15 0.12 -1.0861861476162833 0.9076996760210564 -0.3089026187638666 II 0.0395 False 6.02 1.298 1.31 0.7795964912578245 0.0855074833833035 -0.0847959138927642
10uhf False 6.837 3.103 2.227 11.23 0.15 0.12 0.834865579900038 0.12245431695530284 -0.16252080449727535 I 0.2882 False 19.36 5.764 7.301 1.2869053529723748 0.1389710819155574 -0.1131834317596605
10vqv False 2.355 1.229 0.724 8.08 0.15 0.92 0.371990911464915 0.1164187774382831 -0.18237708952517268 I 0.4518 False 1.36 0.363 0.41 0.13353890837021754 0.1144343579915891 -0.10274636907781098
10vwg True 0.06 0.0 0.0 8.25 0.59 0.18 -1.2218487496163564 0.0 0.0 I-R 0.1901 True 0.072 0.0 0.0 -1.1426675035687315 0.0 0.0
10yyc False 0.075 0.037 0.032 9.99 0.15 0.11 -1.1249387366083 0.15432251429350952 -0.1741567592784815 II 0.2147 False 0.218 0.087 0.223 -0.6615435063953952 0.3059820958632337 -0.14584334574218094
10aagc False 1.566 0.646 1.049 8.98 0.21 0.13 0.1947917577219246 0.22267993548136847 -0.1499933649107361 I 0.206 False 0.474 0.16 0.187 -0.324221658325915 0.14442311781155523 -0.12631091620764767
11dij False 0.577 0.182 0.176 6.9 0.15 0.17 -0.2388241868442686 0.11561916304496911 -0.11906596273974888 I 0.1428 False 0.6 0.129 0.132 -0.2218487496163564 0.08635983067474826 -0.084576277934331
11dsf False 3.477 1.454 1.429 9.14 0.65 0.16 0.5412046906832584 0.14952285318710845 -0.15173031184787933 II 0.3848 False 0.802 0.164 0.195 -0.09582563171583647 0.09452079002749224 -0.08080275813132985
11hrq False 0.209 0.108 0.065 8.55 0.21 0.28 -0.679853713888946 0.11760427670933404 -0.1809129761066975 I 0.057 False 0.196 0.04 0.04 -0.707743928643524 0.0806559316136306 -0.0806559316136306
11rks False 1.064 0.429 0.346 9.11 0.16 0.13 0.0269416279590294 0.12227748469635052 -0.14711817976599603 I 0.1924 False 0.389 0.147 0.202 -0.41005039867429227 0.1816378795555476 -0.13921518836706231
12dam False 11.13 3.339 3.376 8.3 0.15 0.15 1.0464951643347082 0.11505250879101925 -0.11394335230683694 I-R 0.1073 False 4.781 1.174 0.956 0.6795187436957894 0.07916610618665165 -0.09536302212300696
12epg False 4.896 3.505 2.841 9.27 0.24 0.14 0.6898414091375048 0.19873118772009513 -0.23448957557117356 II 0.3422 False 0.589 0.156 0.174 -0.2298847052128984 0.1124092431677788 -0.10204097796119121
12gwu False 0.033 0.012 0.012 8.75 0.16 0.12 -1.4814860601221125 0.1346985738974562 -0.1346985738974562 II 0.275 True 0.013 0.0 0.0 -1.8860566476931633 0.0 0.0
12mkp True 0.004 0.0 0.0 7.58 0.33 0.12 -2.3979400086720375 0.0 0.0 II 0.153 True 0.01 0.0 0.0 -2.0 0.0 0.0
12mue False 0.962 0.385 0.532 9.15 0.23 0.12 -0.016824927962187056 0.19117552544156702 -0.14619252368517266 II 0.2787 False 0.86 0.429 0.176 -0.06550154875643228 0.08086130416564652 -0.17575446610983528
12mxx False 0.797 0.393 0.428 8.16 0.24 0.61 -0.09854167860388763 0.1866777673044389 -0.17408863999641838 I 0.3296 False 0.109 0.024 0.036 -0.9625735020593764 0.12394150429435125 -0.0864251430264622
