PTF09as   SLSN-I    0.1866     8.21  9 0.20 0.05 0.05 -16.20 0.16 0.10 -17.62 0.11 0.07 -17.96 0.31 0.28 -0.22 0.28 0.23  8.19 0.36 0.57  -8.40 0.82 0.55  0.58 1.57 0.50 
PTF09atu  SLSN-I    0.501      2.94  7 0.23 0.14 0.14 -14.48 0.72 0.58 -15.69 0.26 0.19 -15.82 0.69 0.64 -0.59 0.72 0.63  6.84 0.70 0.49  -7.43 1.03 1.15  0.06 0.81 0.05 
PTF09awk  SN Ib     0.0616     7.13 15 0.19 0.15 0.06 -17.11 0.40 0.14 -19.07 0.12 0.04 -19.73 0.09 0.16 -0.14 0.51 0.23  9.56 0.12 0.27  -9.69 0.92 0.27  3.98 4.45 2.86 
PTF09axi  SN II     0.064      7.90 10 0.13 0.23 0.09 -16.03 0.68 0.53 -18.47 0.22 0.05 -18.96 0.17 0.43 -0.82 1.01 0.71  9.17 0.12 0.17  -9.98 1.27 0.71  1.87 2.25 0.99 
PTF09bce  SN II     0.0234     0.00  0 0.00 0.00 0.00   0.00 0.00 0.00   0.00 0.00 0.00   0.00 0.00 0.00  0.00 0.00 0.00  0.00 0.00 0.00   0.00 0.00 0.00  0.00 0.00 0.00 
PTF09bcl  SN IIn    0.06       1.97 10 0.20 0.14 0.12 -13.16 1.04 3.99 -21.19 0.39 0.28 -23.17 0.17 0.07 -2.62 3.12 8.82 11.09 0.18 0.34 -13.67 3.75 8.90  5.81 4.39 3.47 
PTF09be   SN II     0.102      0.23  3 0.32 0.17 0.16 -12.75 1.03 0.76 -14.45 0.29 0.22 -14.94 0.58 0.66 -0.91 0.71 0.65  6.51 0.66 0.43  -7.39 0.92 1.15  0.05 0.74 0.05 
PTF09bgf  SN II     0.0318    11.36 14 0.04 0.08 0.03 -16.18 0.28 0.13 -17.49 0.15 0.06 -17.76 0.20 0.13 -1.01 0.21 0.11  8.67 0.14 0.26  -9.68 0.52 0.19  4.68 5.48 3.48 
PTF09bw   SN II     0.147      4.76 11 0.17 0.09 0.05 -16.63 0.80 0.29 -18.54 0.09 0.06 -19.46 0.26 0.13 -0.24 0.28 0.29  9.31 0.14 0.43  -9.56 0.78 0.34  4.81 5.20 3.90 
PTF09cjq  SN II     0.01929   25.25 17 0.19 0.10 0.05 -17.98 0.44 0.12 -20.93 0.12 0.04 -22.47 0.13 0.06  0.30 0.24 0.16 10.81 0.09 0.29 -10.51 0.69 0.16  8.59 3.55 5.72 
PTF09cnd  SLSN-I    0.2583     5.99  6 0.14 0.14 0.10 -16.43 0.47 0.30 -17.28 0.10 0.07 -17.13 0.40 0.49 -0.46 0.59 0.36  7.91 0.37 0.62  -8.33 0.99 0.63  0.49 1.77 0.44 
PTF09ct   SN IIn    0.156      5.98 12 0.22 0.11 0.10 -17.06 0.82 0.37 -19.39 0.08 0.05 -20.85 0.26 0.11  0.11 0.29 0.27  9.92 0.13 0.28  -9.81 0.66 0.32  5.34 5.04 4.00 
PTF09cu   SN II     0.05692   16.71 15 0.22 0.24 0.06 -18.29 0.70 0.11 -20.74 0.23 0.04 -21.87 0.08 0.24  0.52 0.77 0.24 10.53 0.10 0.55 -10.01 1.43 0.28  7.70 4.13 6.96 
PTF09cvi  SN II     0.036      7.46  4 0.76 0.20 0.25  -9.64 1.33 1.38 -13.85 0.19 0.17 -16.19 0.41 0.58 -0.31 0.59 0.66  6.94 0.40 0.23  -7.21 0.62 0.96  0.04 0.32 0.03 
PTF09cwl  SLSN-I    0.35       4.18  7 0.38 0.08 0.14 -13.00 0.65 0.69 -14.95 0.19 0.18 -15.79 0.35 0.22 -0.55 0.46 0.63  6.78 0.69 0.40  -7.36 0.88 1.19  0.05 0.77 0.05 
PTF09dah  SN IIb    0.0238    55.67 17 0.08 0.06 0.02 -16.30 0.30 0.11 -17.84 0.17 0.04 -18.17 0.09 0.09 -0.88 0.23 0.10  9.01 0.11 0.32  -9.89 0.64 0.14  6.80 4.44 4.89 
PTF09dfk  SN Ib     0.0158    31.60 14 0.19 0.05 0.03 -14.46 0.46 0.24 -16.78 0.10 0.04 -17.57 0.07 0.06 -1.21 0.19 0.18  8.76 0.12 0.20  -9.99 0.45 0.17  4.28 4.54 2.76 
PTF09dh   SN Ic     0.077      1.67  3 0.54 0.39 0.31  -9.77 2.49 1.61 -12.88 0.52 0.25 -14.57 1.40 1.39 -1.15 1.10 0.92  6.53 0.73 0.73  -7.58 1.20 1.29  0.09 1.40 0.08 
