wave flambda eflambda flambda0 eflambda0 freq nufnu0 fnu0 fnu0_Jy fnu0_uJy
3300.2959 3.90616e-18 3.22253e-18 4.253122669655421e-18 3.508769583592244e-18 908380542484084.4 1.4036563308860839e-14 1.545229411285719e-29 1.5452294112857191e-06 1.5452294112857192
3302.3113 2.16427e-18 2.97754e-18 2.3564075314954564e-18 3.241877252528095e-18 907826158000307.2 7.781591218662551e-15 8.571675480031626e-30 8.571675480031627e-07 0.8571675480031626
3304.3271 1.62279e-18 2.80959e-18 1.7667800093068656e-18 3.0588846655133916e-18 907272339956900.6 5.838019064490929e-15 6.434693098621589e-30 6.434693098621589e-07 0.6434693098621589
3306.3435 1.8365e-18 2.69101e-18 1.999366378157654e-18 2.9296569111277044e-18 906719032671590.1 6.610592028540102e-15 7.290673064468948e-30 7.290673064468948e-07 0.7290673064468948
3308.3604 2.096e-18 2.65609e-18 2.2817819260305648e-18 2.8915162957588376e-18 906166262901708.0 7.54895696551525e-15 8.330653296826707e-30 8.330653296826708e-07 0.8330653296826708
3310.3777 4.85889e-18 2.67287e-18 5.289339435408828e-18 2.9096597570064754e-18 905614057272074.9 1.7509711314707975e-14 1.9334628448073558e-29 1.933462844807356e-06 1.9334628448073559
3312.3955 -9.70431e-19 2.74145e-18 -1.056356848737218e-18 2.9841889665217276e-18 905062387628530.5 -3.4990716721513416e-15 -3.8661110217160896e-30 -3.8661110217160895e-07 -0.38661110217160893
3314.4141 6.41898e-18 2.86716e-18 6.987048162635152e-18 3.1208984932155894e-18 904511171371133.1 2.315797094761704e-14 2.560274729665557e-29 2.5602747296655574e-06 2.5602747296655575
3316.4329 3.64262e-18 2.92361e-18 3.964819439710351e-18 3.1822110904051433e-18 903960571612952.1 1.3149057632414975e-14 1.4546052167909147e-29 1.4546052167909148e-06 1.4546052167909147
3318.4521 1.84004e-18 2.90965e-18 2.0027131452898704e-18 3.1668845803312274e-18 903410532880676.6 6.645907642684776e-15 7.356464642373805e-30 7.356464642373805e-07 0.7356464642373806
3320.4719 3.98832e-18 2.86341e-18 4.340737493161283e-18 3.1164277553689143e-18 902860999968106.9 1.4413296871318483e-14 1.596402643577209e-29 1.5964026435772092e-06 1.5964026435772092
