###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57232.321841  18.873  1.369   102  140 o  0   0.87 236.97569  44.65204  6117.34   989.48 3.74 3.49 -73.8 -0.458 17.34 17.91 02a57232o0095o
57233.283767 -19.382  0.565   -64   36 o  0   1.21 236.97569  44.65204  6121.02   974.32 3.57 3.39 -64.4 -0.473 18.56 19.52 02a57233o0030o
57385.625071 -23.269 21.000    -2   38 o  0   1.24 236.97569  44.65204  9213.64  2006.18 4.05 3.47  18.8 -0.509 18.59 19.73 02a57385o0648o
57386.637150 -21.881  4.375    -6   28 o  0   1.26 236.97569  44.65204  3722.44 10045.73 3.79 3.51 -69.8 -0.436 18.79 20.09 02a57386o0703o
57395.644502 -20.112  0.791   -33   26 c  0   1.11 236.97569  44.65204  8844.22  1436.11 4.01 3.60  13.2 -0.451 19.56 21.45 02a57395o0684c
57395.660399 -19.525  0.560   -56   32 c  0   0.94 236.97569  44.65204  8533.95   862.83 4.19 3.71   7.7 -0.436 19.46 21.30 02a57395o0709c
57395.675793 -19.034  0.607   -88   54 c  0   1.24 236.97569  44.65204  9354.30  2010.23 3.81 3.64  39.8 -0.449 18.29 18.99 02a57395o0734c
57396.664349 -20.425  0.691   -25   17 c  0   1.29 236.97569  44.65204  3887.22 10056.81 3.81 3.76  71.6 -0.394 19.35 21.09 02a57396o0729c
57440.564391 -20.686  2.625   -19   51 o  0   0.96 236.97569  44.65204  3593.93 10362.64 3.76 3.55 -13.2 -0.426 18.30 19.06 02a57440o0635o
57440.569285  19.545  1.068    55   59 o  0   1.01 236.97569  44.65204  9392.57   555.83 4.82 3.43  18.7 -0.523 18.35 19.13 02a57440o0644o
57440.582949 -19.561  0.971   -54   53 o  0   1.06 236.97569  44.65204  9683.11  1136.71 4.56 3.56  26.0 -0.543 18.37 19.18 02a57440o0670o
57440.585050  21.094  4.667    13   62 o  0   0.92 236.97569  44.65204   239.58  1154.28 5.66 3.51 -26.5 -0.499 18.36 19.17 02a57440o0674o
57440.597150  19.476  0.669    59   39 o  0   1.52 236.97569  44.65204  8537.97  1771.76 4.32 3.65  19.0 -0.504 18.38 19.25 02a57440o0697o
57440.611617 -20.666  1.978   -20   39 o  0   1.36 236.97569  44.65204  8330.42  2055.65 4.05 3.49  20.1 -0.514 18.46 19.32 02a57440o0724o
57441.566299 -20.551  2.921   -22   64 o  0   0.78 236.97569  44.65204  9180.72   974.09 4.61 3.75  18.5 -0.523 18.27 19.10 02a57441o0649o
57441.574128 -21.162  4.042   -12   50 o  0   1.24 236.97569  44.65204  9454.67  1553.52 4.28 3.62  25.7 -0.546 18.32 19.12 02a57441o0664o
57441.594371 -22.225  9.600    -5   45 o  0   1.16 236.97569  44.65204  8308.46  2186.30 4.06 3.55  19.4 -0.519 18.35 19.16 02a57441o0703o
57441.608474  19.371  0.679    65   44 o  0   1.25 236.97569  44.65204  8327.71  2054.92 4.15 3.44  18.6 -0.532 18.38 19.19 02a57441o0730o
57448.582234 -20.497  1.040   -23   24 c  0   0.98 236.97569  44.65204  8962.77   976.51 4.47 3.81  18.8 -0.469 19.20 20.77 02a57448o0566c
57448.601897 -19.795  0.569   -44   25 c  0   0.98 236.97569  44.65204  9238.04  1563.21 4.30 3.70  26.6 -0.472 19.23 20.79 02a57448o0601c
