#MJD	L (L⊙)	R (AU)	T (kK)
58288.44 	8.96e + 10+2.32e+10−1.19e+10 	52.77+4.70−3.98 	31.39+3.10−2.04 
58289.22 	6.64e + 10+2.46e+10−8.66e+09 	47.72+3.89−4.51 	30.58+4.12−2.06 
58290.69 	2.75e + 10+6.67e+09−1.70e+09 	44.29+1.89−4.35 	25.42+3.19−0.60 
58291.56 	2.13e + 10+4.81e+09−2.04e+09 	38.99+2.44−3.74 	25.42+2.98−1.08 
58292.28 	1.53e + 10+3.91e+09−1.06e+09 	39.04+2.18−4.88 	23.37+3.40−0.77 
58293.81 	9.47e + 09+1.17e+09−8.92e+08 	36.39+1.45−3.94 	21.20+2.22−0.80 
58294.61 	7.53e + 09+5.24e+08−1.02e+09 	32.99+3.97−1.54 	20.91+0.90−1.49 
58295.58 	6.23e + 09+6.60e+08−5.08e+08 	29.24+2.29−2.59 	21.25+1.37−1.02 
58296.68 	5.15e + 09+5.53e+08−3.42e+08 	27.07+2.10−1.84 	20.90+1.24−0.76 
58298.39 	4.29e + 09+3.19e+08−4.10e+08 	24.51+2.08−0.78 	20.91+0.78−1.17 
58299.62 	3.22e + 09+2.12e+08−2.46e+08 	24.96+1.28−1.25 	19.32+0.73−0.83 
58300.65 	2.64e + 09+2.74e+08−1.64e+08 	23.50+1.31−1.37 	18.84+1.11−0.76 
58301.79 	2.06e + 09+2.02e+08−9.79e+07 	22.19+1.52−1.40 	18.04+0.97−0.64 
58302.04 	1.95e + 09+1.64e+08−1.24e+08 	21.69+1.43−1.35 	18.00+0.85−0.80 
58303.17 	1.61e + 09+1.05e+08−9.91e+07 	19.86+1.42−1.23 	17.57+0.75−0.74 
58303.78 	1.54e + 09+1.12e+08−1.16e+08 	19.47+1.79−1.20 	17.28+0.81−0.89 
58305.64 	1.41e + 09+8.66e+07−1.06e+08 	18.46+1.76−1.66 	17.09+1.00−0.87 
58306.77 	1.13e + 09+8.69e+07−6.57e+07 	18.62+1.13−1.05 	16.23+0.70−0.62 
58307.16 	1.06e + 09+7.78e+07−7.25e+07 	18.46+1.66−1.64 	16.01+0.87−0.68 
58307.70 	9.69e + 08+7.34e+07−5.53e+07 	18.07+1.22−1.34 	15.84+0.75−0.66 
58308.15 	9.27e + 08+8.19e+07−5.71e+07 	17.70+1.39−1.42 	15.81+0.96−0.71 
58309.23 	9.04e + 08+5.32e+07−5.56e+07 	16.00+1.34−1.22 	16.55+0.62−0.76 
58310.22 	7.73e + 08+4.16e+07−5.47e+07 	15.19+1.31−0.78 	16.10+0.68−0.69 
58310.70 	6.79e + 08+5.02e+07−4.02e+07 	14.78+1.37−1.18 	15.55+0.84−0.60 
58311.16 	6.29e + 08+5.06e+07−3.89e+07 	14.30+1.18−1.39 	15.30+0.83−0.55 
58311.76 	6.26e + 08+4.82e+07−3.94e+07 	13.33+1.28−1.45 	15.67+0.98−0.84 
58312.42 	6.23e + 08+4.23e+07−5.01e+07 	12.88+1.67−1.21 	15.71+0.81−0.93 
58314.75 	4.82e + 08+2.74e+07−3.48e+07 	12.82+1.25−1.10 	14.82+0.76−0.86 
58316.52 	3.96e + 08+2.91e+07−2.75e+07 	11.38+1.32−1.11 	15.34+0.95−0.73 
58318.93 	3.46e + 08+2.72e+07−2.22e+07 	9.34+0.84−1.00 	15.94+1.22−0.70 
58320.24 	3.00e + 08+2.92e+07−2.24e+07 	9.13+0.85−0.96 	15.66+1.12−0.74 
58322.23 	2.78e + 08+2.42e+07−1.63e+07 	7.70+0.57−0.80 	16.83+1.46−0.76 
58324.03 	2.41e + 08+2.54e+07−1.14e+07 	6.64+0.65−0.79 	17.53+1.64−0.98 
58325.36 	2.10e + 08+1.94e+07−1.20e+07 	6.06+0.60−0.64 	17.31+1.16−1.15 
58326.17 	1.99e + 08+1.70e+07−1.87e+07 	5.91+0.88−0.69 	17.43+1.13−1.37 
58327.15 	1.81e + 08+2.66e+07−1.22e+07 	5.46+0.45−0.72 	17.81+2.07−0.88 
58329.22 	1.60e + 08+2.16e+07−8.68e+06 	5.09+0.64−0.75 	17.43+2.27−1.21 
58334.88 	9.52e + 07+2.32e+07−1.52e+07 	4.41+1.01−1.16 	16.96+3.17−1.93 
58339.90 	5.63e + 07+1.67e+07−1.90e+07 	3.56+1.38−0.86 	17.14+3.79−2.95 
58346.92 	3.94e + 07+2.52e+07−8.20e+06 	3.37+0.90−1.33 	16.30+7.28−1.86 
58354.46 	1.68e + 07+1.02e+07−9.16e+05 	4.14+1.09−1.70 	10.74+6.65−1.54 

