,JD,Filter,Flux,eFlux,Mag,eMag,Telescope
0,2458198.9404668,r,2.7880793539981075,1.4369034141817199,21.75900604742158,99.0,P48
1,2458198.9404668,r,2.7880793539981075,1.4369034141817199,21.75900604742158,99.0,P48
2,2458198.9404668,r,2.7880793539981075,1.4369034141817199,21.75900604742158,99.0,P48
3,2458198.9404668,r,2.7880793539981075,1.4369034141817199,21.75900604742158,99.0,P48
4,2458198.9404668,r,2.7880793539981075,1.4369034141817199,21.75900604742158,99.0,P48
5,2458198.9404668,r,2.7880793539981075,1.4369034141817199,21.75900604742158,99.0,P48
6,2458216.8861713,r,3.1246864380574206,2.116182920697651,21.338691976763307,99.0,P48
7,2458216.8861713,r,3.1246864380574206,2.116182920697651,21.338691976763307,99.0,P48
8,2458216.8861713,r,3.1246864380574206,2.116182920697651,21.338691976763307,99.0,P48
9,2458216.8861713,r,3.1246864380574206,2.116182920697651,21.338691976763307,99.0,P48
10,2458216.8861713,r,3.1246864380574206,2.116182920697651,21.338691976763307,99.0,P48
11,2458217.9356983,r,2.7372939603536843,1.562794070539043,21.66782060220645,99.0,P48
12,2458217.9356983,r,2.7372939603536843,1.562794070539043,21.66782060220645,99.0,P48
13,2458217.9356983,r,2.7372939603536843,1.562794070539043,21.66782060220645,99.0,P48
14,2458217.9356983,r,2.7372939603536843,1.562794070539043,21.66782060220645,99.0,P48
15,2458217.9356983,r,2.7372939603536843,1.562794070539043,21.66782060220645,99.0,P48
16,2458217.9356983,r,2.7372939603536843,1.562794070539043,21.66782060220645,99.0,P48
17,2458218.8965335665,r,2.8115917266571535,1.4513107376882164,21.748173968032628,99.0,P48
18,2458218.8965335665,r,2.8115917266571535,1.4513107376882164,21.748173968032628,99.0,P48
19,2458218.8965335665,r,2.8115917266571535,1.4513107376882164,21.748173968032628,99.0,P48
20,2458218.8965335665,r,2.8115917266571535,1.4513107376882164,21.748173968032628,99.0,P48
21,2458218.8965335665,r,2.8115917266571535,1.4513107376882164,21.748173968032628,99.0,P48
22,2458218.8965335665,r,2.8115917266571535,1.4513107376882164,21.748173968032628,99.0,P48
23,2458219.910765325,r,1.1593821285515784,1.503018080473246,21.710164476810228,99.0,P48
24,2458219.910765325,r,1.1593821285515784,1.503018080473246,21.710164476810228,99.0,P48
25,2458219.910765325,r,1.1593821285515784,1.503018080473246,21.710164476810228,99.0,P48
26,2458219.910765325,r,1.1593821285515784,1.503018080473246,21.710164476810228,99.0,P48
27,2458219.910765325,r,1.1593821285515784,1.503018080473246,21.710164476810228,99.0,P48
28,2458219.910765325,r,1.1593821285515784,1.503018080473246,21.710164476810228,99.0,P48
29,2458219.910765325,r,1.1593821285515784,1.503018080473246,21.710164476810228,99.0,P48
30,2458219.910765325,r,1.1593821285515784,1.503018080473246,21.710164476810228,99.0,P48
31,2458222.896929,r,2.180776330776587,1.7282979421382194,21.558528457065627,99.0,P48
32,2458222.896929,r,2.180776330776587,1.7282979421382194,21.558528457065627,99.0,P48
33,2458222.896929,r,2.180776330776587,1.7282979421382194,21.558528457065627,99.0,P48
34,2458222.896929,r,2.180776330776587,1.7282979421382194,21.558528457065627,99.0,P48
