,JD,Filter,Flux,eFlux,Mag,eMag,Telescope
0,2458281.8162000002,r,0.0,0.0,20.022,99.0,P48
1,2458281.98,o,0.0,0.0,20.2,99.0,ATLAS
2,2458282.672,i,0.0,0.0,19.5,99.0,P48
3,2458284.63,g,0.0,0.0,18.613,99.0,ASASSN
4,2458285.94,o,4.7863009232263804e-26,4.408493067354131e-27,14.7,0.1,ATLAS
5,2458286.695,i,6.792036326171857e-26,1.8767715739629334e-27,14.32,0.03,P48
6,2458287.65,g,2.0644292320739814e-25,9.50736498145888e-27,13.113,0.05,GROND
7,2458287.65,r,1.3158306550959165e-25,1.2119652344993242e-26,13.602,0.1,GROND
8,2458287.65,i,8.317637711026675e-26,7.661082905983858e-27,14.1,0.1,GROND
9,2458287.65,z,6.792036326171857e-26,3.1279526232715562e-27,14.32,0.05,GROND
10,2458287.65,J,4.7424198526024287e-26,3.057653031980934e-27,14.71,0.07,GROND
11,2458287.65,H,3.3113112148259077e-26,2.4399456312616064e-27,15.1,0.08,GROND
12,2458287.65,K,2.754228703338152e-26,2.5368229744295403e-27,15.3,0.1,GROND
13,2458287.7674,r,1.167347076492192e-25,3.2256067325012203e-27,13.732,0.03,P60
14,2458288.702,g,1.6398344276265377e-25,7.551968442601721e-27,13.363,0.05,GROND
15,2458288.702,r,9.981596274917204e-26,9.193696486061714e-27,13.902,0.1,GROND
16,2458288.702,i,6.309573444801943e-26,5.811525692918801e-27,14.4,0.1,GROND
17,2458288.702,z,4.9203953568145114e-26,2.2660013617088108e-27,14.67,0.05,GROND
18,2458288.702,J,3.4994516702835765e-26,2.2562551065658133e-27,15.04,0.07,GROND
19,2458288.702,H,2.4434305526939613e-26,1.575390427268834e-27,15.43,0.07,GROND
20,2458288.702,K,2.0892961308540408e-26,1.924377020221093e-27,15.6,0.1,GROND
21,2458288.7981,r,9.103323996799079e-26,2.5154252547109913e-27,14.001999999999999,0.03,P48
22,2458288.8405,r,9.272567425805907e-26,2.5621905017424443e-27,13.982,0.03,P60
23,2458288.9416,UVW1,1.6749428760264382e-25,7.713654213992991e-27,13.34,0.05,UVOT
24,2458288.9421,UVU,1.3551894123510295e-25,6.2410859922217435e-27,13.57,0.05,UVOT
25,2458288.9426,UVB,1.0471285480508985e-25,3.857892780882006e-27,13.85,0.04,UVOT
26,2458288.9442,UVW2,1.7538805018417603e-25,9.692625044718211e-27,13.29,0.06,UVOT
27,2458288.9448,UVV,8.629785477669702e-26,3.974295605447961e-27,14.06,0.05,UVOT
28,2458288.9464,UVM2,1.584893192461111e-25,7.298946267206e-27,13.4,0.05,UVOT
29,2458289.5227,u,9.375620069258831e-26,2.5906659489524262e-27,13.97,0.03,IOO
30,2458289.5234,g,1.0834278621501407e-25,2.9937216417522533e-27,13.812999999999999,0.03,IOO
31,2458289.5241,r,7.928663748785485e-26,2.1908438101092797e-27,14.152,0.03,IOO
