,JD,Filter,Flux,eFlux,Mag,eMag,Telescope
0,2458288.9800462998,r,2.7805878069431382,11.176484272848805,19.531811960835086,99.0,P48
1,2458298.953287,r,0.2733903829033373,11.614140346870995,19.49010731465163,99.0,P48
2,2458301.9444560003,r,-2.084808177003426,7.034047036661767,20.034561818867033,99.0,P48
3,2458312.9458796,r,-1.8190193177356435,4.336543508245236,20.559715719172175,99.0,P48
4,2458315.9678587997,r,1.7823011328961762,4.174314862573163,20.60111197872545,99.0,P48
5,2458321.9769213,r,-1.6286877846266872,3.4217374851207576,20.816958270373377,99.0,P48
6,2458324.9635417005,r,0.8705912014561572,3.8163463584494877,20.698455531930115,99.0,P48
7,2458330.9329282003,r,2.880823255932003,7.7816466334708485,19.924896225425137,99.0,P48
8,2458335.9725463,r,4.203784048439954,4.247793635288941,20.582166464522707,99.0,P48
9,2458336.9749421002,r,1.7131309687738827,3.2970800620921645,20.857251256347055,99.0,P48
10,2458338.98943865,r,-1.1693697453896201,2.3142563395829385,21.24154633392945,99.0,P48
11,2458338.98943865,r,-1.1693697453896201,2.3142563395829385,21.24154633392945,99.0,P48
12,2458342.9753241,r,2.1683453597107305,3.1607772144994417,20.90309027433426,99.0,P48
13,2458344.9560417,r,0.12365116382060523,2.576917068429184,21.124823883899424,99.0,P48
14,2458345.96974535,r,-0.462250170336834,1.948442492401892,21.42835600848931,99.0,P48
15,2458345.96974535,r,-0.462250170336834,1.948442492401892,21.42835600848931,99.0,P48
16,2458346.9559143996,r,0.11826286423101948,2.766553030314767,21.04772749079072,99.0,P48
17,2458347.9423264,r,-4.798511673688378,2.5535962940125634,21.13469439069125,99.0,P48
18,2458348.9416261497,r,0.7318751423519579,1.750566161060464,21.544628666216674,99.0,P48
19,2458348.9416261497,r,0.7318751423519579,1.750566161060464,21.544628666216674,99.0,P48
20,2458349.9786806,r,-3.4591949477782644,2.365506311905878,21.217764711113063,99.0,P48
21,2458350.9071181,r,-0.6127472774289078,2.671311336099856,21.085763721305547,99.0,P48
22,2458351.9981191996,r,-1.6652331245291856,1.5334656876040165,21.688389832219176,99.0,P48
23,2458351.9981191996,r,-1.6652331245291856,1.5334656876040165,21.688389832219176,99.0,P48
24,2458352.9795486,r,-2.4503852278183715,2.215456445260116,21.28891694804919,99.0,P48
25,2458353.9495312497,r,2.1012826930949235,1.972396519859587,21.415089420207693,99.0,P48
26,2458353.9495312497,r,2.1012826930949235,1.972396519859587,21.415089420207693,99.0,P48
27,2458354.9792100745,r,-0.418015043847933,1.3821256890927485,21.80120614133777,99.0,P48
28,2458354.9792100745,r,-0.418015043847933,1.3821256890927485,21.80120614133777,99.0,P48
29,2458354.9792100745,r,-0.418015043847933,1.3821256890927485,21.80120614133777,99.0,P48
30,2458354.9792100745,r,-0.418015043847933,1.3821256890927485,21.80120614133777,99.0,P48
31,2458355.9963426003,r,-1.160354610027868,4.218243919485172,20.589745766260815,99.0,P48
32,2458356.9642882,r,2.8881116945817347,4.614696760522609,20.492217068961295,99.0,P48
33,2458356.9642882,r,2.8881116945817347,4.614696760522609,20.492217068961295,99.0,P48
34,2458357.96100985,r,4.760709292078397,3.1501316685326457,20.90675322236683,99.0,P48
35,2458357.96100985,r,4.760709292078397,3.1501316685326457,20.90675322236683,99.0,P48
36,2458357.96100985,r,4.760709292078397,3.1501316685326457,20.90675322236683,99.0,P48
37,2458357.96100985,r,4.760709292078397,3.1501316685326457,20.90675322236683,99.0,P48
38,2458358.9284953997,r,-5.929541645850456,8.391546199363505,19.842970014387685,99.0,P48
39,2458359.9627257,r,2.3265566062639342,17.725565638582363,19.03107473216034,99.0,P48
40,2458359.9627257,r,2.3265566062639342,17.725565638582363,19.03107473216034,99.0,P48
41,2458363.96507525,r,2.2371598310841057,3.392325381980463,20.826331234545762,99.0,P48
42,2458363.96507525,r,2.2371598310841057,3.392325381980463,20.826331234545762,99.0,P48
43,2458364.8841782003,r,5.366620787584158,3.9181795491802016,20.669864155398862,99.0,P48
44,2458365.8893287,r,4.0248868957027915,3.275884564901696,20.864253514764314,99.0,P48
45,2458366.8816088,r,-1.046874012706307,2.0241410290668136,21.386973069022456,99.0,P48
46,2458366.8816088,r,-1.046874012706307,2.0241410290668136,21.386973069022456,99.0,P48
47,2458367.880706,r,-1.2891602089847323,2.8224620994304335,21.026004692046307,99.0,P48
