,JD,Filter,Flux,eFlux,Mag,eMag,Telescope
0,2458351.00464125,r,5.2492624840330695,13.150045266933523,19.35525686961536,99.0,P48
1,2458351.00464125,r,5.2492624840330695,13.150045266933523,19.35525686961536,99.0,P48
2,2458356.0139468,r,5.7027182834802845,23.59921907033166,18.72033090960091,99.0,P48
3,2458356.9546296,r,-4.699369614463916,33.125602002660855,18.352165540170773,99.0,P48
4,2458357.96899305,r,-2.128505486372521,24.24141389147196,18.691180122520382,99.0,P48
5,2458357.96899305,r,-2.128505486372521,24.24141389147196,18.691180122520382,99.0,P48
6,2458358.9628646,r,3.2436235326465477,22.700405553341596,18.76249094881976,99.0,P48
7,2458358.9628646,r,3.2436235326465477,22.700405553341596,18.76249094881976,99.0,P48
8,2458359.9621759,r,4.968676442582865,29.00671343122052,18.496328678144646,99.0,P48
9,2458362.0057581,r,5.921342803551345,15.788619741184894,19.15671457626525,99.0,P48
10,2458362.0057581,r,5.921342803551345,15.788619741184894,19.15671457626525,99.0,P48
11,2458362.9555903,r,-8.607211110141467,23.159630774296065,18.740745910887174,99.0,P48
12,2458363.9939119997,r,1.5284466483581383,25.230022882748475,18.6477808781408,99.0,P48
13,2458367.00735535,r,6.542247684175747,9.573226072094458,19.699929201872884,99.0,P48
14,2458367.00735535,r,6.542247684175747,9.573226072094458,19.699929201872884,99.0,P48
15,2458368.0161111,r,-3.4937302322528323,14.800473716817802,19.22688594910035,99.0,P48
16,2458368.9755671,r,2.6079519049900965,10.78474001973591,19.570550788339386,99.0,P48
17,2458370.0107986503,r,9.309608561231343,10.056577615690214,19.646449464671186,99.0,P48
18,2458370.0107986503,r,9.309608561231343,10.056577615690214,19.646449464671186,99.0,P48
19,2458371.0175,r,11.094404885874132,14.127301823414966,19.277426929743164,99.0,P48
20,2458371.9762847,r,3.767456292230841,11.185401046626705,19.53094608888421,99.0,P48
21,2458373.00453125,r,4.242557176934289,9.055972955380476,19.760237196970664,99.0,P48
22,2458373.00453125,r,4.242557176934289,9.055972955380476,19.760237196970664,99.0,P48
23,2458373.9977546004,r,1.4137179366167176,11.23475563375181,19.52616591277438,99.0,P48
24,2458375.0041087996,r,4.618519467353267,13.049975919186231,19.36355071345585,99.0,P48
25,2458376.00315395,r,8.976938864476045,8.865019254112966,19.783375781182833,99.0,P48
26,2458376.00315395,r,8.976938864476045,8.865019254112966,19.783375781182833,99.0,P48
27,2458377.0054397997,r,4.52578396106357,13.502529108350746,19.32653718367653,99.0,P48
28,2458377.9513773,r,4.507294640288225,12.325865182198777,19.42553145616969,99.0,P48
29,2458379.0037963,r,-0.6617465416729139,11.976259866799602,19.456771961726634,99.0,P48
30,2458380.0043287002,r,11.454274788108648,14.101961743721194,19.2793761587253,99.0,P48
31,2458380.962037,r,6.401949745071562,11.826872972688193,19.470400158491415,99.0,P48
32,2458383.0171932997,r,121.2131395506404,9.165433024974863,18.691191372107617,0.0820792002046419,P48
33,2458383.0171932997,r,121.2131395506404,9.165433024974863,18.691191372107617,0.0820792002046419,P48
34,2458384.0207523,r,196.49175985619675,13.894916909406405,18.166704766343575,0.07676114416298757,P48
35,2458386.02065395,r,228.75996185751583,14.897836748842538,18.001615583626766,0.07069244836183847,P48
36,2458386.02065395,r,228.75996185751583,14.897836748842538,18.001615583626766,0.07069244836183847,P48
37,2458386.8929744996,r,273.10034268840064,21.615134378034597,17.80926000954194,0.08591431316557298,P48
38,2458386.8929744996,r,273.10034268840064,21.615134378034597,17.80926000954194,0.08591431316557298,P48
39,2458387.9725231,r,195.32672891547813,60.6520723943817,18.173161429497608,0.3370651059875717,P48
40,2458391.0240394,r,157.43643225786516,25.014352579761383,18.407302523671632,0.17247011594404618,P48
41,2458397.9559722,r,173.73473027478295,13.391950347432143,18.30034901141204,0.08367332242174945,P48
42,2458422.8804977,r,88.99307126250876,27.766293236787217,19.02667513459119,0.3386815499335408,P48
43,2458424.905625,r,86.00537527374254,7.274979195839251,19.063751634325264,0.09181972512704631,P48
44,2458425.9197337995,r,83.48871776339723,23.256925387203538,19.09599614447601,0.3023808867127843,P48
45,2458428.8873437503,r,77.55641093220295,5.258903569983655,19.17602136457413,0.07360500256010376,P48
46,2458428.8873437503,r,77.55641093220295,5.258903569983655,19.17602136457413,0.07360500256010376,P48
47,2458429.8608218,r,86.52973706159611,9.125131108953832,19.057152162222412,0.11447312976021509,P48
48,2458431.8794097,r,73.23271788539974,25.686628874721794,18.628307211675672,99.0,P48
49,2458432.8521296,r,73.5663602002652,12.856561207437052,19.2333674491817,0.1897035160184887,P48
50,2458434.8532986,r,68.36958133092219,21.330256135441108,19.312908321143624,0.33865927777078886,P48
51,2458435.8532986,r,50.01513420569505,18.441740907619383,18.988070198601694,99.0,P48
52,2458436.8456366,r,68.12424204082778,16.41985206704906,19.31681141404543,0.26163592995427,P48
53,2458437.8771296,r,59.0114362565182,16.119287104532898,19.472725160049684,0.2965100879075409,P48
54,2458439.7991667003,r,78.46417417044944,17.015190668354606,19.163387101806457,0.2353939191455219,P48
55,2458441.8394444,r,65.86601388583396,15.600145967967261,19.353412168846532,0.25709705885011064,P48
56,2458443.9011343,r,76.19998540433042,25.09716927497142,19.195178401899746,0.357519454937235,P48
57,2458447.8945486,r,59.85945374565282,33.33556213661929,18.345305531613434,99.0,P48
58,2458448.8445225502,r,46.89395037845621,7.4113052406691,19.722273573421877,0.17155670984891666,P48
59,2458448.8445225502,r,46.89395037845621,7.4113052406691,19.722273573421877,0.17155670984891666,P48
60,2458448.8445225502,r,46.89395037845621,7.4113052406691,19.722273573421877,0.17155670984891666,P48
61,2458448.8445225502,r,46.89395037845621,7.4113052406691,19.722273573421877,0.17155670984891666,P48
62,2458449.8486053003,r,45.20927681889868,7.881535481977536,19.761996722318354,0.1892400712348981,P48
63,2458449.8486053003,r,45.20927681889868,7.881535481977536,19.761996722318354,0.1892400712348981,P48
64,2458455.7719097002,r,36.83262710053169,17.5748317095663,19.040347051510192,99.0,P48
65,2458461.8006829,r,31.4966496733006,5.801654933960052,20.15440472239408,0.19994813721892876,P48
66,2458462.8155556,r,46.78491678107623,24.09674181057678,18.69767917829822,99.0,P48
67,2458465.8004397997,r,31.352122213888624,8.990307263781652,20.159398263784297,0.3112701101462238,P48
