,JD,Filter,Flux,eFlux,Mag,eMag,Telescope
0,2458268.944294,r,-2.767452335909355,18.87671647412981,18.962758857102322,99.0,P48
1,2458270.920787,r,-47.251710493854695,31.99734648702753,18.38979007881521,99.0,P48
2,2458271.94,r,4.63956429433694,20.460143332903147,18.875303309601456,99.0,P48
3,2458273.8980207997,r,-31.302173218780766,22.677567144931974,18.763583835411588,99.0,P48
4,2458277.91957755,r,-8.681761072686395,8.919016839412306,19.776782529439007,99.0,P48
5,2458277.91957755,r,-8.681761072686395,8.919016839412306,19.776782529439007,99.0,P48
6,2458286.9652893497,r,7.895411591652565,5.478959914441312,20.305829681585053,99.0,P48
7,2458286.9652893497,r,7.895411591652565,5.478959914441312,20.305829681585053,99.0,P48
8,2458289.9595427997,r,2.0537178459426104,5.263742598972652,20.349338379675515,99.0,P48
9,2458289.9595427997,r,2.0537178459426104,5.263742598972652,20.349338379675515,99.0,P48
10,2458298.9405960497,r,17.739582835151975,15.069777025090524,19.20730792298671,99.0,P48
11,2458298.9405960497,r,17.739582835151975,15.069777025090524,19.20730792298671,99.0,P48
12,2458301.9581712997,r,-10.979854192422108,15.759746460185157,19.158701923253943,99.0,P48
13,2458304.9095949,r,1.3022197756657197,11.595351724224031,19.491865172362523,99.0,P48
14,2458307.9006018997,r,-0.5487707134701555,6.991682357196505,20.04112076562697,99.0,P48
15,2458312.93753475,r,4.980443148100097,4.654218225730693,20.482958132882906,99.0,P48
16,2458312.93753475,r,4.980443148100097,4.654218225730693,20.482958132882906,99.0,P48
17,2458315.9623611,r,-9.630827152191719,6.9983181176443505,20.040090789120885,99.0,P48
18,2458319.9404977,r,1.2049309297782447,5.478019559005111,20.306016042789327,99.0,P48
19,2458322.8965394,r,0.6018039228394513,6.482639783177363,20.123195263906624,99.0,P48
20,2458325.9639004497,r,1.6137939393003533,9.837690001485404,19.670342156034447,99.0,P48
21,2458325.9639004497,r,1.6137939393003533,9.837690001485404,19.670342156034447,99.0,P48
22,2458328.8978819,r,-24.559467925055365,28.96011600694255,18.49807424615225,99.0,P48
23,2458332.8984144,r,5.676073045624938,14.142726126836736,19.276242160746868,99.0,P48
24,2458334.8766319,r,-1.2027445922685855,8.626756069679589,19.81295619392901,99.0,P48
25,2458335.92489352,r,-0.321410974922026,3.1106742110451675,20.92043866739455,99.0,P48
26,2458335.92489352,r,-0.321410974922026,3.1106742110451675,20.92043866739455,99.0,P48
27,2458335.92489352,r,-0.321410974922026,3.1106742110451675,20.92043866739455,99.0,P48
28,2458335.92489352,r,-0.321410974922026,3.1106742110451675,20.92043866739455,99.0,P48
29,2458335.92489352,r,-0.321410974922026,3.1106742110451675,20.92043866739455,99.0,P48
30,2458337.835625,r,-6.533774439462305,5.8159916965096015,20.241015544636795,99.0,P48
31,2458338.8365046,r,-3.1840233466892993,5.892782737409741,20.226773915984047,99.0,P48
32,2458340.892963,r,18.16848441201996,12.896408411271834,19.37640304371129,99.0,P48
33,2458342.8381481003,r,-17.280989311293528,7.722821238790123,19.933135033459056,99.0,P48
34,2458343.853669,r,10.307791626116375,6.607737657407526,20.10244300878243,99.0,P48
35,2458345.8572917003,r,1.3934335510218956,6.796234349553863,20.0719041243784,99.0,P48
36,2458346.8778009,r,-11.181746649236109,6.393772737584827,20.138182000408882,99.0,P48
37,2458348.9003009,r,-6.978752035277272,5.436805053933396,20.314215586910812,99.0,P48
38,2458349.8346181,r,-9.003481902480315,6.448535559230274,20.12892224162468,99.0,P48
39,2458352.8147337995,r,1.8964372047393787,10.201832196955138,19.63087954956641,99.0,P48
40,2458353.8638426,r,5.6277251795628045,9.327361395076167,19.728177978836733,99.0,P48
41,2458354.8578125,r,-14.05441007202441,9.514220418261473,19.706641967643804,99.0,P48
42,2458354.8578125,r,-14.05441007202441,9.514220418261473,19.706641967643804,99.0,P48
43,2458359.8369531,r,1.4588725335457657,9.710273452558138,19.684496338369126,99.0,P48
44,2458359.8369531,r,1.4588725335457657,9.710273452558138,19.684496338369126,99.0,P48
45,2458359.8369531,r,1.4588725335457657,9.710273452558138,19.684496338369126,99.0,P48
46,2458359.8369531,r,1.4588725335457657,9.710273452558138,19.684496338369126,99.0,P48
47,2458362.8152314997,r,-5.343443034286595,7.640776177460275,19.94473129413892,99.0,P48
48,2458365.8534375,r,5.156484943914605,5.158869877907922,20.371188554638174,99.0,P48
49,2458365.8534375,r,5.156484943914605,5.158869877907922,20.371188554638174,99.0,P48
50,2458368.7929398,r,-2.6076597719384393,6.194361542246257,20.172583614304102,99.0,P48
51,2458371.8113831,r,0.9340946970932237,3.9886623601792435,20.650506801943372,99.0,P48
52,2458371.8113831,r,0.9340946970932237,3.9886623601792435,20.650506801943372,99.0,P48
53,2458374.81706595,r,-2.0846007569497393,4.972046589957977,20.411237015429187,99.0,P48
54,2458374.81706595,r,-2.0846007569497393,4.972046589957977,20.411237015429187,99.0,P48
55,2458377.7949305503,r,-0.5594574381373545,4.243602679981956,20.583238201633982,99.0,P48
56,2458377.7949305503,r,-0.5594574381373545,4.243602679981956,20.583238201633982,99.0,P48
