,JD,Filter,Flux,eFlux,Mag,eMag,Telescope
0,2458198.8866936667,r,1.276807286407959,4.44904909835241,20.531906992869263,99.0,P48
1,2458198.8866936667,r,1.276807286407959,4.44904909835241,20.531906992869263,99.0,P48
2,2458198.8866936667,r,1.276807286407959,4.44904909835241,20.531906992869263,99.0,P48
3,2458199.83903935,r,15.155624233780063,78.39772319944366,17.41681636358011,99.0,P48
4,2458199.83903935,r,15.155624233780063,78.39772319944366,17.41681636358011,99.0,P48
5,2458216.9161806,r,-0.2713741860840375,12.613861123516578,19.40045487622338,99.0,P48
6,2458218.8150231005,r,1.3478283487883547,8.171961733565416,19.871759178369395,99.0,P48
7,2458219.8428781,r,-3.9430715167822803,5.79740519470414,20.244490850845438,99.0,P48
8,2458219.8428781,r,-3.9430715167822803,5.79740519470414,20.244490850845438,99.0,P48
9,2458219.8428781,r,-3.9430715167822803,5.79740519470414,20.244490850845438,99.0,P48
10,2458229.90207755,r,0.3401527507239653,6.269593884663766,20.159476463782426,99.0,P48
11,2458229.90207755,r,0.3401527507239653,6.269593884663766,20.159476463782426,99.0,P48
12,2458231.7949710498,r,-4.637820047445441,6.961920605196861,20.04575232361975,99.0,P48
13,2458231.7949710498,r,-4.637820047445441,6.961920605196861,20.04575232361975,99.0,P48
14,2458244.8455787003,r,0.23399815664063417,19.056108335920207,18.95248945627455,99.0,P48
15,2458247.9242477003,r,1.1471978909417602,7.801137540385011,19.92218015182749,99.0,P48
16,2458255.7992245,r,2.0796198202775695,7.927923303947786,19.904676389009218,99.0,P48
17,2458258.7260995,r,2.1636990722994858,8.774730616927217,19.79449050776197,99.0,P48
18,2458261.8115625,r,0.39824931832998384,13.111381979766946,19.35845381398603,99.0,P48
19,2458266.8457407,r,1.0740435916323154,13.788039779632806,19.303818669877096,99.0,P48
20,2458269.8900347,r,0.8041934901738543,16.800445935210995,19.089272965703756,99.0,P48
21,2458272.9492361,r,3.396685318013332,10.342148743135093,19.616048040152535,99.0,P48
22,2458278.8081829,r,4.049550211724147,7.431956939096156,19.97481702745457,99.0,P48
23,2458281.8431713,r,4.144841729647261,7.932224722308915,19.90408746565828,99.0,P48
24,2458284.8209259,r,4.190197873761668,10.023335034599615,19.650044371425185,99.0,P48
25,2458287.7668287004,r,-4.570224916632743,8.14552623206672,19.87527712258229,99.0,P48
26,2458290.7645139,r,-3.7464260070360953,9.120264317423542,19.75255642679969,99.0,P48
27,2458297.8226852003,r,5.048294321920192,17.514824781658838,19.044060496678448,99.0,P48
28,2458300.8406366003,r,8.465659994971807,13.080043793957262,19.361051993974854,99.0,P48
29,2458314.856197925,r,0.41227364105026315,5.04553281755207,20.395307400931706,99.0,P48
30,2458314.856197925,r,0.41227364105026315,5.04553281755207,20.395307400931706,99.0,P48
31,2458314.856197925,r,0.41227364105026315,5.04553281755207,20.395307400931706,99.0,P48
32,2458314.856197925,r,0.41227364105026315,5.04553281755207,20.395307400931706,99.0,P48
33,2458315.79202314,r,0.4989356853995472,2.613316696063281,21.10959488139493,99.0,P48
34,2458315.79202314,r,0.4989356853995472,2.613316696063281,21.10959488139493,99.0,P48
35,2458315.79202314,r,0.4989356853995472,2.613316696063281,21.10959488139493,99.0,P48
36,2458315.79202314,r,0.4989356853995472,2.613316696063281,21.10959488139493,99.0,P48
37,2458315.79202314,r,0.4989356853995472,2.613316696063281,21.10959488139493,99.0,P48
38,2458316.6947917,r,2.5273530556924886,4.535274905851338,20.51106594673594,99.0,P48
39,2458319.7404861334,r,-0.44400394925317,6.300065367853352,20.154212350148725,99.0,P48
40,2458319.7404861334,r,-0.44400394925317,6.300065367853352,20.154212350148725,99.0,P48
41,2458319.7404861334,r,-0.44400394925317,6.300065367853352,20.154212350148725,99.0,P48
42,2458320.76381365,r,4.0065430582572095,6.8371288147368,20.065390583434148,99.0,P48
43,2458320.76381365,r,4.0065430582572095,6.8371288147368,20.065390583434148,99.0,P48
44,2458321.7463773335,r,-1.0162152389105594,6.370305448351774,20.14217434735089,99.0,P48
45,2458321.7463773335,r,-1.0162152389105594,6.370305448351774,20.14217434735089,99.0,P48
46,2458321.7463773335,r,-1.0162152389105594,6.370305448351774,20.14217434735089,99.0,P48
47,2458322.760300934,r,0.8122667863185689,6.112201389489789,20.18708085098399,99.0,P48
48,2458322.760300934,r,0.8122667863185689,6.112201389489789,20.18708085098399,99.0,P48
49,2458322.760300934,r,0.8122667863185689,6.112201389489789,20.18708085098399,99.0,P48
50,2458323.7137384,r,3.592761166168261,5.590525107873766,20.283943483423585,99.0,P48
51,2458323.7137384,r,3.592761166168261,5.590525107873766,20.283943483423585,99.0,P48
52,2458324.7209914997,r,-0.5082552836326752,12.322239727987046,19.425850854917716,99.0,P48
53,2458324.7209914997,r,-0.5082552836326752,12.322239727987046,19.425850854917716,99.0,P48
54,2458324.7209914997,r,-0.5082552836326752,12.322239727987046,19.425850854917716,99.0,P48
55,2458328.7894792003,r,-3.3224331009029244,17.223747753485988,19.06225584790971,99.0,P48
56,2458329.84233795,r,3.344006070297386,7.798144880413268,19.92259674013355,99.0,P48
57,2458329.84233795,r,3.344006070297386,7.798144880413268,19.92259674013355,99.0,P48
58,2458329.84233795,r,3.344006070297386,7.798144880413268,19.92259674013355,99.0,P48
59,2458329.84233795,r,3.344006070297386,7.798144880413268,19.92259674013355,99.0,P48
60,2458330.863719133,r,5.723969193506712,8.104714336589288,19.880730709005313,99.0,P48
61,2458330.863719133,r,5.723969193506712,8.104714336589288,19.880730709005313,99.0,P48
62,2458330.863719133,r,5.723969193506712,8.104714336589288,19.880730709005313,99.0,P48
63,2458332.8072685003,r,5.008533042294572,11.179245751923425,19.531543730916233,99.0,P48
64,2458338.6956597,r,2.3089397477569826,8.715268939216342,19.80187300595069,99.0,P48
65,2458343.8307523,r,-2.1239143845655106,8.739420670597836,19.798868377797504,99.0,P48
66,2458425.58859955,r,-2.4287963405395034,22.43416922024786,18.775300010609637,99.0,P48
67,2458425.58859955,r,-2.4287963405395034,22.43416922024786,18.775300010609637,99.0,P48
68,2458429.5772917005,r,-2.6839444744276078,15.918077845509508,19.147848428565325,99.0,P48
69,2458488.0542592998,r,-2.779711260529774,9.178160716371012,19.745685843554273,99.0,P48
70,2458492.9931713,r,13.398092175001654,19.611458145686655,18.921300275632667,99.0,P48
71,2458513.0336111,r,14.047612124230376,25.76717427155548,18.6249080023052,99.0,P48
72,2458539.86220485,r,89.26361151082017,12.058090208756187,19.02337948739976,0.14663373686172487,P48
73,2458539.86220485,r,89.26361151082017,12.058090208756187,19.02337948739976,0.14663373686172487,P48
74,2458541.027228,r,272.50679061527507,8.786128084303652,17.81162229987904,0.03499854816086557,P48
75,2458541.027228,r,272.50679061527507,8.786128084303652,17.81162229987904,0.03499854816086557,P48
76,2458542.0350964335,r,364.1889540266033,6.835730423387557,17.496748698879646,0.020374548136474126,P48
77,2458542.0350964335,r,364.1889540266033,6.835730423387557,17.496748698879646,0.020374548136474126,P48
78,2458542.0350964335,r,364.1889540266033,6.835730423387557,17.496748698879646,0.020374548136474126,P48
79,2458557.0171527998,r,59.73345968113371,11.124216206045999,19.459521449221988,0.20215364648428055,P48
80,2458557.882806725,r,53.324800698804665,7.298512605780625,19.58274251990501,0.14857130884227499,P48
81,2458557.882806725,r,53.324800698804665,7.298512605780625,19.58274251990501,0.14857130884227499,P48
82,2458557.882806725,r,53.324800698804665,7.298512605780625,19.58274251990501,0.14857130884227499,P48
83,2458557.882806725,r,53.324800698804665,7.298512605780625,19.58274251990501,0.14857130884227499,P48
84,2458558.8433179,r,51.216751504785265,8.730764463358474,19.626535549128402,0.18504189638208796,P48
85,2458558.8433179,r,51.216751504785265,8.730764463358474,19.626535549128402,0.18504189638208796,P48
86,2458558.8433179,r,51.216751504785265,8.730764463358474,19.626535549128402,0.18504189638208796,P48
87,2458560.892228,r,41.64182581790991,6.753805289322008,19.85124121420259,0.17605509598971303,P48
88,2458560.892228,r,41.64182581790991,6.753805289322008,19.85124121420259,0.17605509598971303,P48
89,2458560.892228,r,41.64182581790991,6.753805289322008,19.85124121420259,0.17605509598971303,P48
90,2458560.892228,r,41.64182581790991,6.753805289322008,19.85124121420259,0.17605509598971303,P48
91,2458569.971713,r,160.44535740110518,373.8669565335447,15.720782282608315,99.0,P48
92,2458573.92355905,r,32.10338773145944,7.631887934748491,20.133688462185336,0.25805420980699945,P48
93,2458573.92355905,r,32.10338773145944,7.631887934748491,20.133688462185336,0.25805420980699945,P48
94,2458577.9260185002,r,29.064215413181355,22.729317193513154,18.76110901572341,99.0,P48
95,2458581.9111458,r,12.030967443421659,12.985121418484496,19.368959951930268,99.0,P48
96,2458584.9054630003,r,12.625042045899969,9.823468566528712,19.671912839619097,99.0,P48
97,2458591.911631933,r,19.302163880508598,10.090449510363358,19.64279870500426,99.0,P48
98,2458591.911631933,r,19.302163880508598,10.090449510363358,19.64279870500426,99.0,P48
99,2458591.911631933,r,19.302163880508598,10.090449510363358,19.64279870500426,99.0,P48
100,2458597.888588,r,4.186190981925927,8.973800481311079,19.770133965578083,99.0,P48
101,2458867.0334722,r,-4.47879108716135,8.386432739220227,19.843631818649257,99.0,P48
102,2458886.0178008997,r,-0.05956753293739206,11.209618507934506,19.528597907431255,99.0,P48
103,2458890.9900231003,r,16.443635930825817,30.09604426618601,18.45630144670887,99.0,P48
104,2458891.9821412005,r,3.1761568270965927,13.095744516970546,19.35974950441784,99.0,P48
105,2458894.0449769,r,5.113069638571059,9.984020757060383,19.654311301035584,99.0,P48
106,2458895.0336111,r,6.048752691922073,9.393020905959585,19.72056176680281,99.0,P48
107,2458912.0111343,r,1.2329102289241478,11.811865264496756,19.47177877812497,99.0,P48
108,2458915.0470717996,r,2.7606547970520396,7.751280378005809,19.929141373160537,99.0,P48
109,2458955.955081,r,-2.344014905368745,10.8939618051279,19.559610368465613,99.0,P48
110,2458976.84847805,r,4.89629232510021,12.718120640600654,19.391517638496566,99.0,P48
111,2458976.84847805,r,4.89629232510021,12.718120640600654,19.391517638496566,99.0,P48
112,2458985.89174765,r,-1.508894512228592,5.311230739939134,20.33958706610281,99.0,P48
113,2458985.89174765,r,-1.508894512228592,5.311230739939134,20.33958706610281,99.0,P48
114,2458987.82767935,r,-0.7484172430877578,4.287006258362686,20.572189695376146,99.0,P48
115,2458987.82767935,r,-0.7484172430877578,4.287006258362686,20.572189695376146,99.0,P48
116,2459028.738125,r,-0.21412030720422412,10.041575800112966,19.648070311820405,99.0,P48
117,2459089.7210417003,r,7.071633577357373,20.66116921592491,18.864687752631696,99.0,P48
118,2459093.7177894,r,-5.529664230199439,15.488190357113853,19.17757329496066,99.0,P48
119,2459094.80516205,r,-5.297375754270056,18.006710326825083,19.0139890437857,99.0,P48
120,2459094.80516205,r,-5.297375754270056,18.006710326825083,19.0139890437857,99.0,P48
121,2459097.7598032,r,2.061787166522078,18.183273035864605,19.00339483904711,99.0,P48
122,2459099.72183445,r,1.7720871927629913,8.01898795810489,19.89227608588862,99.0,P48
123,2459099.72183445,r,1.7720871927629913,8.01898795810489,19.89227608588862,99.0,P48
124,2459124.72124425,r,3.5591948147099584,13.548110686515027,19.3228781488516,99.0,P48
125,2459124.72124425,r,3.5591948147099584,13.548110686515027,19.3228781488516,99.0,P48
126,2459130.702037,r,6.808516292250532,9.64976968958696,19.691282618685214,99.0,P48
127,2459135.6757292002,r,-3.4103161927511305,10.673016158860948,19.581857071797103,99.0,P48
128,2459146.6134028,r,-21.001689170754034,43.4144318697761,18.05848968383851,99.0,P48
129,2459149.5931134,r,10.871659147192302,23.078349041870887,18.74456314559054,99.0,P48
130,2459151.5924537,r,6.795675383281232,13.025336606046638,19.36560260083187,99.0,P48
131,2458202.82543518,g,0.5445728505177613,3.8183500857082264,20.697885628648397,99.0,P48
132,2458202.82543518,g,0.5445728505177613,3.8183500857082264,20.697885628648397,99.0,P48
133,2458202.82543518,g,0.5445728505177613,3.8183500857082264,20.697885628648397,99.0,P48
134,2458202.82543518,g,0.5445728505177613,3.8183500857082264,20.697885628648397,99.0,P48
135,2458202.82543518,g,0.5445728505177613,3.8183500857082264,20.697885628648397,99.0,P48
136,2458203.88131365,g,11.795573298371256,6.376369052629317,20.141141375936808,99.0,P48
137,2458203.88131365,g,11.795573298371256,6.376369052629317,20.141141375936808,99.0,P48
138,2458204.859075525,g,1.3842390418186061,5.3372394963097385,20.33428326115039,99.0,P48
139,2458204.859075525,g,1.3842390418186061,5.3372394963097385,20.33428326115039,99.0,P48
140,2458204.859075525,g,1.3842390418186061,5.3372394963097385,20.33428326115039,99.0,P48
141,2458204.859075525,g,1.3842390418186061,5.3372394963097385,20.33428326115039,99.0,P48
142,2458204.859075525,g,1.3842390418186061,5.3372394963097385,20.33428326115039,99.0,P48
143,2458204.859075525,g,1.3842390418186061,5.3372394963097385,20.33428326115039,99.0,P48
144,2458204.859075525,g,1.3842390418186061,5.3372394963097385,20.33428326115039,99.0,P48
145,2458204.859075525,g,1.3842390418186061,5.3372394963097385,20.33428326115039,99.0,P48
146,2458205.892864583,g,0.5959499556138388,6.074890655952899,20.19372882584772,99.0,P48
147,2458205.892864583,g,0.5959499556138388,6.074890655952899,20.19372882584772,99.0,P48
148,2458205.892864583,g,0.5959499556138388,6.074890655952899,20.19372882584772,99.0,P48
149,2458205.892864583,g,0.5959499556138388,6.074890655952899,20.19372882584772,99.0,P48
150,2458205.892864583,g,0.5959499556138388,6.074890655952899,20.19372882584772,99.0,P48
151,2458205.892864583,g,0.5959499556138388,6.074890655952899,20.19372882584772,99.0,P48
152,2458206.8672801,g,0.2307712264652674,5.070906117969339,20.38986106376902,99.0,P48
153,2458206.8672801,g,0.2307712264652674,5.070906117969339,20.38986106376902,99.0,P48
154,2458206.8672801,g,0.2307712264652674,5.070906117969339,20.38986106376902,99.0,P48
155,2458206.8672801,g,0.2307712264652674,5.070906117969339,20.38986106376902,99.0,P48
156,2458206.8672801,g,0.2307712264652674,5.070906117969339,20.38986106376902,99.0,P48
157,2458207.8581886627,g,4.695160847484501,4.764045321356876,20.457635278248986,99.0,P48
158,2458207.8581886627,g,4.695160847484501,4.764045321356876,20.457635278248986,99.0,P48
159,2458207.8581886627,g,4.695160847484501,4.764045321356876,20.457635278248986,99.0,P48
160,2458207.8581886627,g,4.695160847484501,4.764045321356876,20.457635278248986,99.0,P48
161,2458207.8581886627,g,4.695160847484501,4.764045321356876,20.457635278248986,99.0,P48
162,2458207.8581886627,g,4.695160847484501,4.764045321356876,20.457635278248986,99.0,P48
163,2458207.8581886627,g,4.695160847484501,4.764045321356876,20.457635278248986,99.0,P48
164,2458207.8581886627,g,4.695160847484501,4.764045321356876,20.457635278248986,99.0,P48
165,2458208.9056481333,g,-13.080175992992508,20.00255810885211,18.899861137310637,99.0,P48
