,JD,Filter,Flux,eFlux,Mag,eMag,Telescope
0,2458214.8285764,r,8.611372596742173,12.98183195980726,19.369235031131666,99.0,P48
1,2458217.8031481495,r,8.19900206994309,3.311102237765642,20.852643512202796,99.0,P48
2,2458217.8031481495,r,8.19900206994309,3.311102237765642,20.852643512202796,99.0,P48
3,2458218.7559606005,r,2.110949789719847,3.0343258161224926,20.947419458920677,99.0,P48
4,2458219.8195139,r,-5.200564084920543,5.131445263694794,20.37697573737062,99.0,P48
5,2458222.7835918665,r,2.6051703298338738,2.165990820603531,21.31343345974058,99.0,P48
6,2458222.7835918665,r,2.6051703298338738,2.165990820603531,21.31343345974058,99.0,P48
7,2458222.7835918665,r,2.6051703298338738,2.165990820603531,21.31343345974058,99.0,P48
8,2458224.7364582997,r,3.440690170030492,3.5665178319985364,20.771963989753402,99.0,P48
9,2458226.7763001663,r,-1.626163131418457,1.6299622150819773,21.622131146818152,99.0,P48
10,2458226.7763001663,r,-1.626163131418457,1.6299622150819773,21.622131146818152,99.0,P48
11,2458226.7763001663,r,-1.626163131418457,1.6299622150819773,21.622131146818152,99.0,P48
12,2458242.7725347,r,0.33691349325159947,3.3078802268148824,20.853700549061983,99.0,P48
13,2458248.7526273,r,3.264786255573725,3.281310526798847,20.862456659694544,99.0,P48
14,2458255.7324306,r,3.4202011868668425,2.7836614430139948,21.041033954173365,99.0,P48
15,2458258.7315856004,r,0.08456283314871853,3.16387218037901,20.9020276646728,99.0,P48
16,2458271.6897859,r,-0.9014620799989556,2.187359607903474,21.302774518889173,99.0,P48
17,2458271.6897859,r,-0.9014620799989556,2.187359607903474,21.302774518889173,99.0,P48
18,2458272.6680787,r,0.9579195982832728,3.0621585366970043,20.937505810133565,99.0,P48
19,2458274.6933391,r,1.2800307517419112,1.7883461549950674,21.521446025921364,99.0,P48
20,2458274.6933391,r,1.2800307517419112,1.7883461549950674,21.521446025921364,99.0,P48
21,2458276.6962384,r,1.436556384800342,2.4998876620105417,21.157773756344966,99.0,P48
22,2458277.7596528,r,3.0697759288386313,2.0469931315950416,21.374784025536634,99.0,P48
23,2458277.7596528,r,3.0697759288386313,2.0469931315950416,21.374784025536634,99.0,P48
24,2458278.7347685,r,-0.9030390313400153,2.876319906757404,21.005482021658736,99.0,P48
