,JD,Filter,Flux,eFlux,Mag,eMag,Telescope
0,2458197.951197925,r,-1.4425701519566383,4.569424578583177,20.50292120565949,99.0,P48
1,2458197.951197925,r,-1.4425701519566383,4.569424578583177,20.50292120565949,99.0,P48
2,2458197.951197925,r,-1.4425701519566383,4.569424578583177,20.50292120565949,99.0,P48
3,2458197.951197925,r,-1.4425701519566383,4.569424578583177,20.50292120565949,99.0,P48
4,2458198.8934629797,r,-0.25059453911026486,2.431936055448843,21.187694610284453,99.0,P48
5,2458198.8934629797,r,-0.25059453911026486,2.431936055448843,21.187694610284453,99.0,P48
6,2458198.8934629797,r,-0.25059453911026486,2.431936055448843,21.187694610284453,99.0,P48
7,2458198.8934629797,r,-0.25059453911026486,2.431936055448843,21.187694610284453,99.0,P48
8,2458198.8934629797,r,-0.25059453911026486,2.431936055448843,21.187694610284453,99.0,P48
9,2458216.8802546333,r,-2.567138810599526,2.9538895176101168,20.976589370039,99.0,P48
10,2458216.8802546333,r,-2.567138810599526,2.9538895176101168,20.976589370039,99.0,P48
11,2458216.8802546333,r,-2.567138810599526,2.9538895176101168,20.976589370039,99.0,P48
12,2458217.972449833,r,-2.4674110229754227,2.741587048419656,21.057569889739106,99.0,P48
13,2458217.972449833,r,-2.4674110229754227,2.741587048419656,21.057569889739106,99.0,P48
14,2458217.972449833,r,-2.4674110229754227,2.741587048419656,21.057569889739106,99.0,P48
15,2458218.9177778,r,0.9032003090778559,3.6075168711657017,20.759554062104378,99.0,P48
16,2458219.93375,r,-2.821852224715366,5.467469237963556,20.308109118628458,99.0,P48
17,2458224.93963545,r,0.9344138709478806,4.336969518799685,20.55960906456025,99.0,P48
18,2458224.93963545,r,0.9344138709478806,4.336969518799685,20.55960906456025,99.0,P48
19,2458226.94906944,r,0.5546568957188491,1.7890004065667087,21.52104889099801,99.0,P48
20,2458226.94906944,r,0.5546568957188491,1.7890004065667087,21.52104889099801,99.0,P48
21,2458226.94906944,r,0.5546568957188491,1.7890004065667087,21.52104889099801,99.0,P48
22,2458226.94906944,r,0.5546568957188491,1.7890004065667087,21.52104889099801,99.0,P48
23,2458226.94906944,r,0.5546568957188491,1.7890004065667087,21.52104889099801,99.0,P48
24,2458229.9255131334,r,-0.9826551389664818,2.9823892286347555,20.966164183774303,99.0,P48
25,2458229.9255131334,r,-0.9826551389664818,2.9823892286347555,20.966164183774303,99.0,P48
26,2458229.9255131334,r,-0.9826551389664818,2.9823892286347555,20.966164183774303,99.0,P48
27,2458231.8010127,r,-0.21908118686742212,3.9202161522792673,20.669299954801353,99.0,P48
28,2458231.8010127,r,-0.21908118686742212,3.9202161522792673,20.669299954801353,99.0,P48
29,2458244.96658565,r,-14.160313180304046,9.361311911332576,19.724233199599063,99.0,P48
30,2458244.96658565,r,-14.160313180304046,9.361311911332576,19.724233199599063,99.0,P48
31,2458247.9259086,r,-1.3919395870067426,2.4650496805020623,21.17301079802695,99.0,P48
32,2458247.9259086,r,-1.3919395870067426,2.4650496805020623,21.17301079802695,99.0,P48
33,2458252.9051273,r,0.7691737018322248,3.013409886521613,20.95492946718917,99.0,P48
34,2458254.9714236,r,6.835244660897252,3.534975677906603,20.7816089141157,99.0,P48
35,2458255.9747454,r,-2.587938104614024,3.5976616161475405,20.762524207499705,99.0,P48
36,2458257.9278704002,r,2.1343255364644236,2.4810112100616672,21.166003172738876,99.0,P48
37,2458257.9278704002,r,2.1343255364644236,2.4810112100616672,21.166003172738876,99.0,P48
38,2458258.920949075,r,0.05300936754338165,1.6277762761128107,21.623588202651717,99.0,P48
39,2458258.920949075,r,0.05300936754338165,1.6277762761128107,21.623588202651717,99.0,P48
40,2458258.920949075,r,0.05300936754338165,1.6277762761128107,21.623588202651717,99.0,P48
41,2458258.920949075,r,0.05300936754338165,1.6277762761128107,21.623588202651717,99.0,P48
42,2458261.8404899663,r,-3.964506021929144,2.9891931146166573,20.963690056109094,99.0,P48
43,2458261.8404899663,r,-3.964506021929144,2.9891931146166573,20.963690056109094,99.0,P48
44,2458261.8404899663,r,-3.964506021929144,2.9891931146166573,20.963690056109094,99.0,P48
45,2458262.85045525,r,-1.0822018420022679,2.0007421364000835,21.39959719255068,99.0,P48
46,2458262.85045525,r,-1.0822018420022679,2.0007421364000835,21.39959719255068,99.0,P48
47,2458262.85045525,r,-1.0822018420022679,2.0007421364000835,21.39959719255068,99.0,P48
48,2458262.85045525,r,-1.0822018420022679,2.0007421364000835,21.39959719255068,99.0,P48
49,2458262.85045525,r,-1.0822018420022679,2.0007421364000835,21.39959719255068,99.0,P48
50,2458262.85045525,r,-1.0822018420022679,2.0007421364000835,21.39959719255068,99.0,P48
51,2458263.8989159167,r,-4.922242855355126,2.4658378652690254,21.172663695913233,99.0,P48
52,2458263.8989159167,r,-4.922242855355126,2.4658378652690254,21.172663695913233,99.0,P48
53,2458263.8989159167,r,-4.922242855355126,2.4658378652690254,21.172663695913233,99.0,P48
54,2458263.8989159167,r,-4.922242855355126,2.4658378652690254,21.172663695913233,99.0,P48
55,2458263.8989159167,r,-4.922242855355126,2.4658378652690254,21.172663695913233,99.0,P48
56,2458263.8989159167,r,-4.922242855355126,2.4658378652690254,21.172663695913233,99.0,P48
57,2458266.833292812,r,-0.35270619324142716,2.85467807622794,21.013682139930083,99.0,P48
58,2458266.833292812,r,-0.35270619324142716,2.85467807622794,21.013682139930083,99.0,P48
59,2458266.833292812,r,-0.35270619324142716,2.85467807622794,21.013682139930083,99.0,P48
60,2458266.833292812,r,-0.35270619324142716,2.85467807622794,21.013682139930083,99.0,P48
61,2458266.833292812,r,-0.35270619324142716,2.85467807622794,21.013682139930083,99.0,P48
62,2458266.833292812,r,-0.35270619324142716,2.85467807622794,21.013682139930083,99.0,P48
63,2458266.833292812,r,-0.35270619324142716,2.85467807622794,21.013682139930083,99.0,P48
64,2458266.833292812,r,-0.35270619324142716,2.85467807622794,21.013682139930083,99.0,P48
65,2458267.8896759,r,14.427640244231739,15.361954852513234,19.1864587781049,99.0,P48
66,2458268.9040663666,r,-4.9684466821579765,5.046630962814684,20.395071119376954,99.0,P48
67,2458268.9040663666,r,-4.9684466821579765,5.046630962814684,20.395071119376954,99.0,P48
68,2458268.9040663666,r,-4.9684466821579765,5.046630962814684,20.395071119376954,99.0,P48
69,2458269.8870081,r,1.2427416261373097,5.148021664603444,20.373474074427016,99.0,P48
70,2458269.8870081,r,1.2427416261373097,5.148021664603444,20.373474074427016,99.0,P48
71,2458272.9610764002,r,1.807087588810813,4.122055403299029,20.6147904274022,99.0,P48
72,2458272.9610764002,r,1.807087588810813,4.122055403299029,20.6147904274022,99.0,P48
73,2458275.9157407,r,-2.8697268990177216,3.852803654175106,20.68813279629334,99.0,P48
74,2458278.80488425,r,-2.4150953937407875,3.2146790668122676,20.884730933621828,99.0,P48
75,2458278.80488425,r,-2.4150953937407875,3.2146790668122676,20.884730933621828,99.0,P48
76,2458281.89921875,r,1.6949577021910802,2.690069904105404,21.078166074866964,99.0,P48
77,2458281.89921875,r,1.6949577021910802,2.690069904105404,21.078166074866964,99.0,P48
78,2458284.83690395,r,-4.5858471399951775,3.6518034201835072,20.746306511573977,99.0,P48
79,2458284.83690395,r,-4.5858471399951775,3.6518034201835072,20.746306511573977,99.0,P48
80,2458287.79724535,r,-3.3366047213025216,2.669939868552847,21.0863212880423,99.0,P48
81,2458287.79724535,r,-3.3366047213025216,2.669939868552847,21.0863212880423,99.0,P48
82,2458288.83843056,r,-2.5335411567348958,1.7173578768710709,21.56542297322194,99.0,P48
83,2458288.83843056,r,-2.5335411567348958,1.7173578768710709,21.56542297322194,99.0,P48
84,2458288.83843056,r,-2.5335411567348958,1.7173578768710709,21.56542297322194,99.0,P48
85,2458288.83843056,r,-2.5335411567348958,1.7173578768710709,21.56542297322194,99.0,P48
86,2458288.83843056,r,-2.5335411567348958,1.7173578768710709,21.56542297322194,99.0,P48
87,2458289.848109567,r,-1.5216430043475684,2.7018207228135047,21.07343366822574,99.0,P48
88,2458289.848109567,r,-1.5216430043475684,2.7018207228135047,21.07343366822574,99.0,P48
89,2458289.848109567,r,-1.5216430043475684,2.7018207228135047,21.07343366822574,99.0,P48
90,2458290.8322553,r,-0.9966087484237636,1.5580194538070709,21.671142798969555,99.0,P48
91,2458290.8322553,r,-0.9966087484237636,1.5580194538070709,21.671142798969555,99.0,P48
92,2458290.8322553,r,-0.9966087484237636,1.5580194538070709,21.671142798969555,99.0,P48
93,2458290.8322553,r,-0.9966087484237636,1.5580194538070709,21.671142798969555,99.0,P48
94,2458290.8322553,r,-0.9966087484237636,1.5580194538070709,21.671142798969555,99.0,P48
95,2458290.8322553,r,-0.9966087484237636,1.5580194538070709,21.671142798969555,99.0,P48
96,2458290.8322553,r,-0.9966087484237636,1.5580194538070709,21.671142798969555,99.0,P48
