,JD,Filter,Flux,eFlux,Mag,eMag,Telescope
0,2458757.9194,g,58.938910883818636,9.228714055677598,19.47399473405532,0.17,P48+ZTF
1,2458757.9194,g,58.938910883818636,9.228714055677598,19.47399473405532,0.17,P48+ZTF
2,2458758.0184,r,58.99860835331126,8.151230775533469,19.47289558070844,0.15,P48+ZTF
3,2458760.8284,r,109.35578632032785,8.057900806508453,18.802895580708437,0.08,P48+ZTF
4,2458760.897,g,101.4850584947481,8.412687910589783,18.88399473405532,0.09,P48+ZTF
5,2458763.8074,r,91.79980691028041,12.68303494201166,18.99289558070844,0.15,P60+SEDM
6,2458763.9126,g,74.19969265511119,10.934835428587814,19.22399473405532,0.16,P48+ZTF
7,2458766.7589,r,83.72241895295528,13.880478411653264,19.09289558070844,0.18,P60+SEDM
8,2458766.988,r,62.92768682762495,6.375652160853591,19.40289558070844,0.11,P48+ZTF
9,2458766.988,r,62.92768682762495,6.375652160853591,19.40289558070844,0.11,P48+ZTF
10,2458775.6845,r,13.767077832539385,1.7752518159302884,21.052895580708437,0.14,LT+IOO
11,2458775.6859,i,14.782675631910841,3.5401083764362333,20.975617381191395,0.26,LT+IOO
