,JD,Filter,Flux,eFlux,Mag,eMag,Telescope
0,2458199.7649942,r,-10.867686219377816,7.400253397276725,19.979458511739658,99.0,P48
1,2458199.7649942,r,-10.867686219377816,7.400253397276725,19.979458511739658,99.0,P48
2,2458216.7109954,r,-7.3858396364122765,11.087842364463189,19.540457381761374,99.0,P48
3,2458219.6799074,r,2.902196899366232,4.994561645947452,20.406331544591858,99.0,P48
4,2458219.6799074,r,2.902196899366232,4.994561645947452,20.406331544591858,99.0,P48
5,2458223.6795428,r,-2.074902477104437,3.3627640877283556,20.83583398723639,99.0,P48
6,2458223.6795428,r,-2.074902477104437,3.3627640877283556,20.83583398723639,99.0,P48
7,2458226.7578356,r,-4.430221708179992,5.755285017941083,20.25240789919591,99.0,P48
8,2458229.6809606003,r,-10.256927395610829,6.931485258424839,20.050509229317097,99.0,P48
9,2458232.6989931,r,-28.481187848450958,25.832853032907373,18.6221440561866,99.0,P48
10,2458247.7526852,r,5.624615104742621,5.322537661787624,20.337278131287214,99.0,P48
11,2458250.7359606004,r,8.744169315642814,7.792543579105035,19.923376889887884,99.0,P48
12,2458258.6980787003,r,5.47022635798079,5.936254804589535,20.21879365392887,99.0,P48
13,2458280.6837153,r,-1.4962957605853047,6.277041867732712,20.158187425672157,99.0,P48
14,2458283.7052893997,r,-12.35719439793725,5.5553305305563265,20.290800230010834,99.0,P48
15,2458362.0116898,r,-8.312401294320152,9.87213068539115,19.666547749572224,99.0,P48
16,2458365.0066898,r,-0.21848334009887577,6.741529358377757,20.08067891378584,99.0,P48
17,2458368.0092014,r,2.5381584168539653,4.38813510416516,20.546875013182813,99.0,P48
18,2458371.0070832996,r,3.2866659656944104,4.433854169824645,20.535621476664595,99.0,P48
19,2458373.9873957997,r,0.9356973643396435,4.614076369656261,20.492363043039582,99.0,P48
20,2458377.0162037,r,8.522682819095543,4.944325181707103,20.417307424180123,99.0,P48
21,2458380.0175116,r,-3.4131735571241655,4.802575337839752,20.448889523284265,99.0,P48
22,2458383.0267707994,r,0.2825403424325856,7.642853702013848,19.94443612294519,99.0,P48
23,2458387.9663079,r,11.966433240789177,16.85399479088674,19.0858178507685,99.0,P48
24,2458389.01436345,r,5.679195765575569,4.90973250649329,20.424930410644016,99.0,P48
25,2458389.01436345,r,5.679195765575569,4.90973250649329,20.424930410644016,99.0,P48
26,2458389.9910301003,r,-5.555564226400207,6.185793976987157,20.174086360737128,99.0,P48
27,2458391.0113079,r,-6.982579787247586,6.377869042781434,20.14088599515902,99.0,P48
28,2458397.9507639,r,-4.785383059704496,4.315231438495856,20.565064756258874,99.0,P48
29,2458423.0289120004,r,-0.7674022863181567,4.8165000289550415,20.445746071077444,99.0,P48
30,2458423.0289120004,r,-0.7674022863181567,4.8165000289550415,20.445746071077444,99.0,P48
31,2458423.8855556,r,-1.7801475905558675,6.176855429223854,20.17565639743345,99.0,P48
32,2458424.8416087995,r,1.151414379924321,14.35393238682882,19.26014774868985,99.0,P48
33,2458425.9689004505,r,5.775163601430858,4.257933891362927,20.579577703402293,99.0,P48
34,2458425.9689004505,r,5.775163601430858,4.257933891362927,20.579577703402293,99.0,P48
35,2458426.9263889,r,5.567422175715332,4.75341171742495,20.460061408155934,99.0,P48
36,2458427.9506481,r,-7.215013734779904,6.909105325714556,20.054020455840735,99.0,P48
37,2458429.0112962998,r,-1.7778391086485024,4.728576670794112,20.465748901080328,99.0,P48
38,2458429.9095544,r,3.3356601370028898,2.770619655919381,21.046132711760283,99.0,P48
39,2458429.9095544,r,3.3356601370028898,2.770619655919381,21.046132711760283,99.0,P48
40,2458430.9455903,r,-3.9254892349391226,3.9543648586150066,20.659883144133126,99.0,P48
41,2458431.8855439997,r,5.869913992543622,13.958386702520444,19.290486924581337,99.0,P48
42,2458432.9106134,r,6.4458891018707485,4.202159902548347,20.593893553258617,99.0,P48
43,2458432.9106134,r,6.4458891018707485,4.202159902548347,20.593893553258617,99.0,P48
44,2458434.8650347,r,2.0397464700688053,9.20689537828198,19.742291968875726,99.0,P48
45,2458435.8568460504,r,14.309214067125925,7.937505653014905,19.903364870158754,99.0,P48
46,2458435.8568460504,r,14.309214067125925,7.937505653014905,19.903364870158754,99.0,P48
47,2458437.8396875,r,-1.6986085935283957,7.234786276619559,20.004010723865697,99.0,P48
48,2458439.03002315,r,-0.5726226123981656,3.1899059065393285,20.893130307279883,99.0,P48
49,2458439.03002315,r,-0.5726226123981656,3.1899059065393285,20.893130307279883,99.0,P48
50,2458441.90198495,r,-2.544513904578291,8.173303629485341,19.871580907175357,99.0,P48
51,2458441.90198495,r,-2.544513904578291,8.173303629485341,19.871580907175357,99.0,P48
52,2458443.0319907,r,-5.103310890350551,5.417369660319462,20.31810381123153,99.0,P48
53,2458443.9078472,r,-7.64559675908331,6.806762356362505,20.07022351815824,99.0,P48
54,2458447.88874425,r,8.964469098997634,9.159474462310255,19.7478985988403,99.0,P48
55,2458447.88874425,r,8.964469098997634,9.159474462310255,19.7478985988403,99.0,P48
56,2458448.9435185003,r,-11.998388379280081,9.147412562402073,19.74932932196716,99.0,P48
57,2458449.9117419003,r,1.793686031591649,5.4202351163105655,20.317529675257887,99.0,P48
58,2458449.9117419003,r,1.793686031591649,5.4202351163105655,20.317529675257887,99.0,P48
59,2458450.86234375,r,0.5547354518250301,5.688735627559326,20.26503561095428,99.0,P48
60,2458450.86234375,r,0.5547354518250301,5.688735627559326,20.26503561095428,99.0,P48
61,2458456.0052082995,r,54.594020228631045,11.826341870142748,19.55720293145121,0.23514469251904468,P48
62,2458457.7601736,r,-9.816855548742062,11.619385575237372,19.48961708045684,99.0,P48
63,2458463.028125,r,-243.2671698382271,407.7764713152999,15.626519580679258,99.0,P48
64,2458465.9921354,r,2.435917548178823,4.442332522078776,20.533547329935132,99.0,P48
65,2458465.9921354,r,2.435917548178823,4.442332522078776,20.533547329935132,99.0,P48
66,2458469.009728,r,1.6022868384809905,3.1847054235315992,20.894901820441707,99.0,P48
67,2458469.009728,r,1.6022868384809905,3.1847054235315992,20.894901820441707,99.0,P48
68,2458471.78315395,r,0.6165170582967882,7.665903893113716,19.941166563575578,99.0,P48
69,2458471.78315395,r,0.6165170582967882,7.665903893113716,19.941166563575578,99.0,P48
70,2458474.80953125,r,3.2903419938955984,9.11170677285041,19.753575651391827,99.0,P48
71,2458474.80953125,r,3.2903419938955984,9.11170677285041,19.753575651391827,99.0,P48
72,2458476.9348611,r,2.502934348660382,8.62216632969732,19.81353399779077,99.0,P48
73,2458480.9443056,r,18.43288579460892,7.888341125988603,19.91011078138236,99.0,P48
74,2458481.9930439997,r,-7.813382644382761,6.999206368795408,20.039952992407493,99.0,P48
75,2458486.9678241,r,-4.661980399263133,6.5519385332905635,20.111650453015443,99.0,P48
76,2458487.928669,r,0.8495748545608929,4.425676757943319,20.53762576215882,99.0,P48
77,2458487.928669,r,0.8495748545608929,4.425676757943319,20.53762576215882,99.0,P48
78,2458490.6974537005,r,-16.892123581204082,6.096068036841025,20.189950475606466,99.0,P48
79,2458491.7576389,r,2.705277829332151,6.9920696737425105,20.04106062102546,99.0,P48
80,2458503.9662442002,r,-2.4835674598620563,12.118232421870415,19.44397679466068,99.0,P48
81,2458503.9662442002,r,-2.4835674598620563,12.118232421870415,19.44397679466068,99.0,P48
82,2458504.7726736,r,-1.7605415750339626,11.652974429604594,19.486483005478807,99.0,P48
83,2458505.6325578997,r,-5.610997364635225,13.92232012735681,19.293295950085504,99.0,P48
84,2458506.9295369997,r,0.021804605707614336,14.18170287728466,19.27325403372687,99.0,P48
85,2458507.7750810003,r,-0.06244193742375542,7.0604680438731995,20.030491259854152,99.0,P48
86,2458508.7370832996,r,-1.7768426292083819,5.549718872040695,20.291897529287382,99.0,P48
87,2458509.7814525496,r,-5.250097519866664,6.210145568786454,20.169820538243567,99.0,P48
88,2458509.7814525496,r,-5.250097519866664,6.210145568786454,20.169820538243567,99.0,P48
89,2458510.7783681,r,-11.879373102151668,13.56866563822772,19.321232137595054,99.0,P48
90,2458513.9072454,r,-1.6581276930541353,3.5589603396059335,20.774267118325852,99.0,P48
91,2458514.8881134,r,34.295964827458114,40.600222538671154,18.131253954043814,99.0,P48
92,2458522.7134028,r,-2.299847216837032,4.833982020279051,20.44181241230737,99.0,P48
93,2458523.6973321997,r,-7.21462044609214,3.172007770536005,20.89923938279133,99.0,P48
94,2458523.6973321997,r,-7.21462044609214,3.172007770536005,20.89923938279133,99.0,P48
95,2458524.9445948997,r,-5.942508650095445,6.115036790893063,20.186577303417756,99.0,P48
96,2458526.71730325,r,-3.2033058776998122,5.483985768276341,20.304834191502607,99.0,P48
97,2458526.71730325,r,-3.2033058776998122,5.483985768276341,20.304834191502607,99.0,P48
98,2458534.8424479,r,-7.715656230384087,9.507014686296309,19.707464577154447,99.0,P48
99,2458534.8424479,r,-7.715656230384087,9.507014686296309,19.707464577154447,99.0,P48
100,2458538.72872685,r,-13.816900335276777,43.34369552829027,18.06026014676261,99.0,P48
101,2458538.72872685,r,-13.816900335276777,43.34369552829027,18.06026014676261,99.0,P48
102,2458539.8094676,r,-17.220066794117287,29.304395097704592,18.485243086437293,99.0,P48
103,2458540.7128356,r,-1.64069874256599,4.1573113561589565,20.605543610118346,99.0,P48
104,2458543.7473611,r,-5.872314535720682,7.160956536016827,20.01514739478433,99.0,P48
105,2458546.80345485,r,-4.32464940824545,4.503409757787336,20.518721327920858,99.0,P48
106,2458546.80345485,r,-4.32464940824545,4.503409757787336,20.518721327920858,99.0,P48
107,2458547.6970139,r,-2.3480216722459,5.15178018661237,20.372681677901035,99.0,P48
108,2458556.6697338,r,5.671529901739433,6.347470628825344,20.146073239229622,99.0,P48
109,2458556.6697338,r,5.671529901739433,6.347470628825344,20.146073239229622,99.0,P48
110,2458557.7410648,r,-15.376856520502736,14.572459245837452,19.24374286560819,99.0,P48
111,2458558.6908218,r,-35.37430152877848,11.487150032336608,19.50204425572411,99.0,P48
112,2458559.6919270996,r,7.698639201396117,5.973468550527158,20.212008535321097,99.0,P48
113,2458559.6919270996,r,7.698639201396117,5.973468550527158,20.212008535321097,99.0,P48
114,2458560.8428935003,r,-6.35322598036352,9.818273010041915,19.67248722900215,99.0,P48
115,2458562.6578299,r,-9.105300487560479,12.519938685467759,19.40856948419202,99.0,P48
116,2458562.6578299,r,-9.105300487560479,12.519938685467759,19.40856948419202,99.0,P48
117,2458573.7432292,r,2.405517316267454,6.804501687855946,20.070584173812133,99.0,P48
118,2458574.6964698997,r,19.257634186052027,11.502270074011435,19.500616087553276,99.0,P48
119,2458575.71724535,r,-13.9292427432561,11.517315417453567,19.499196837287435,99.0,P48
120,2458575.71724535,r,-13.9292427432561,11.517315417453567,19.499196837287435,99.0,P48
121,2458581.7394212997,r,-1.589070516646326,3.4308953599237775,20.814056307762378,99.0,P48
122,2458581.7394212997,r,-1.589070516646326,3.4308953599237775,20.814056307762378,99.0,P48
123,2458582.7103704,r,-11.105598821074693,5.122191744188923,20.378935409605702,99.0,P48
124,2458584.6760301003,r,2.822461859556038,5.929893483764544,20.21995775820662,99.0,P48
125,2458584.6760301003,r,2.822461859556038,5.929893483764544,20.21995775820662,99.0,P48
126,2458585.6601736,r,2.8037006928720607,6.933206449762498,20.050239658265745,99.0,P48
127,2458586.6981481,r,-13.897485037628698,6.186841123189959,20.173902580234824,99.0,P48
128,2458587.7126909504,r,-5.803953777237025,7.291742829956362,19.99549663099511,99.0,P48
129,2458587.7126909504,r,-5.803953777237025,7.291742829956362,19.99549663099511,99.0,P48
130,2458588.658912,r,-9.86834051912392,7.855772926091114,19.91460268535009,99.0,P48
131,2458589.6943403,r,2.686609968155821,15.368927158097215,19.185966108566134,99.0,P48
132,2458591.83890625,r,-0.6160879387856097,12.648009383274632,19.397519541365924,99.0,P48
133,2458591.83890625,r,-0.6160879387856097,12.648009383274632,19.397519541365924,99.0,P48
134,2458592.7368866,r,-0.9333823426678083,10.858952026119342,19.563105203015596,99.0,P48
135,2458594.8460416505,r,-9.642380686674983,13.079774756194759,19.361074326242843,99.0,P48
136,2458594.8460416505,r,-9.642380686674983,13.079774756194759,19.361074326242843,99.0,P48
137,2458598.66025465,r,-0.12034865151706763,3.222848221503698,20.881975356402656,99.0,P48
138,2458598.66025465,r,-0.12034865151706763,3.222848221503698,20.881975356402656,99.0,P48
139,2458601.7754514,r,3.307387051229936,3.7460778802066788,20.718632984089652,99.0,P48
140,2458601.7754514,r,3.307387051229936,3.7460778802066788,20.718632984089652,99.0,P48
141,2458602.7456712998,r,-9.779073207311194,6.7146989051576105,20.0850086312201,99.0,P48
142,2458606.6821123,r,-5.611663450466334,3.381183339496762,20.829903188263728,99.0,P48
143,2458606.6821123,r,-5.611663450466334,3.381183339496762,20.829903188263728,99.0,P48
144,2458608.7257522997,r,3.400516799194093,5.533161453637619,20.295141632167457,99.0,P48
145,2458617.7385069495,r,3.648627088949094,5.633605590011938,20.275608892509524,99.0,P48
146,2458617.7385069495,r,3.648627088949094,5.633605590011938,20.275608892509524,99.0,P48
147,2458632.6875926005,r,11.532503587641424,8.192192858361272,19.869074569675234,99.0,P48
148,2458633.6912847,r,-6.912505220907064,5.625058922423048,20.27725729906849,99.0,P48
149,2458638.7152314996,r,0.7067694009264563,8.455739621021761,19.834695986149967,99.0,P48
150,2458648.7030093,r,4.554537252297076,15.921124401472003,19.147640649733887,99.0,P48
151,2458731.0137731005,r,-0.9825290207486662,7.957790590072874,19.900593722997442,99.0,P48
152,2458745.9910995,r,4.840434201434437,9.297294126341715,19.731683563202132,99.0,P48
153,2458748.9899883997,r,-17.840639615071538,8.287390295293239,19.856530508015247,99.0,P48
154,2458757.0312731,r,11.542538443085087,10.570439456151592,19.592342381484023,99.0,P48
155,2458757.9676273,r,38.74883195671205,6.208156190088419,19.929419083073192,0.17391372085407236,P48
156,2458760.0141667,r,232.88878623079702,6.746107755114663,17.982194178697068,0.03144376372385675,P48
157,2458764.0161921,r,210.62955310993803,6.5307166066116915,18.091267356486732,0.033656686689055644,P48
158,2458767.0334722,r,133.48258207427693,7.851710091965192,18.5865041247451,0.06385126188288401,P48
159,2458769.9520949,r,109.84780962942914,10.892793165965665,18.798087118556847,0.10764099003470659,P48
160,2458778.9608681,r,48.15832891267485,10.241738038100875,19.693387100899688,0.23085117136264452,P48
161,2458785.9927894,r,20.392636409460177,7.54014400706935,19.95912588812002,99.0,P48
162,2458796.9335301,r,16.13938313793608,10.704253695518224,19.5786840053703,99.0,P48
163,2458799.9945023,r,17.221880272561446,9.821394859713013,19.6721420596984,99.0,P48
164,2458812.7747338,r,8.331848062856958,5.286037744866014,20.344749339461444,99.0,P48
165,2458827.8222801,r,13.408255460887617,11.902556259192137,19.46347438188874,99.0,P48
166,2458828.8299189997,r,5.344365176523962,9.978625924496368,19.654898133560287,99.0,P48
167,2458830.9195486,r,4.892371851943167,8.710017478109425,19.802527422927,99.0,P48
168,2458833.8807947333,r,6.544075880570952,6.602746129049649,20.103263490969262,99.0,P48
