,JD,Filter,Flux,eFlux,Mag,eMag,Telescope
0,2458214.6581944,r,30.09826435410422,41.57887625228037,18.105393120347898,99.0,P48
1,2458217.6590972003,r,-15.449186801856563,7.883930473825787,19.91071802490265,99.0,P48
2,2458217.6590972003,r,-15.449186801856563,7.883930473825787,19.91071802490265,99.0,P48
3,2458223.6529572,r,2.940269864835342,3.74954282917192,20.717629192421686,99.0,P48
4,2458223.6529572,r,2.940269864835342,3.74954282917192,20.717629192421686,99.0,P48
5,2458231.6574653,r,9.451999774696567,6.540592657526925,20.113532232939498,99.0,P48
6,2458244.6643634,r,-1.020720076946042,7.040488580656787,20.03356799310845,99.0,P48
7,2458333.9915278,r,3.6815133129314024,7.875246052574381,19.911914659956352,99.0,P48
8,2458343.9908102,r,4.874591916392898,4.445796357720657,20.532701074889786,99.0,P48
9,2458345.9917361,r,3.8541414447333873,3.745502959917662,20.718799627629167,99.0,P48
10,2458346.9468981004,r,1.6130902042670867,4.647957419891484,20.484419637127928,99.0,P48
11,2458347.947419,r,-3.5510814456362625,4.14851280508067,20.60784390177947,99.0,P48
12,2458348.9475231003,r,1.7364846272202692,4.267651247040774,20.577102685143387,99.0,P48
13,2458350.0087384,r,0.4751814358021195,6.709318630795708,20.085878945783286,99.0,P48
14,2458350.9906481,r,-2.18100445961971,3.632260798363299,20.75213243026986,99.0,P48
15,2458353.9658449003,r,0.11547487394722032,3.0603914392852056,20.938132543013857,99.0,P48
16,2458353.9658449003,r,0.11547487394722032,3.0603914392852056,20.938132543013857,99.0,P48
17,2458354.9810243,r,-7.026770272297093,4.398436679725189,20.54432912863274,99.0,P48
18,2458354.9810243,r,-7.026770272297093,4.398436679725189,20.54432912863274,99.0,P48
19,2458356.00867475,r,2.959293386583048,3.807699710831544,20.700918261643018,99.0,P48
20,2458356.00867475,r,2.959293386583048,3.807699710831544,20.700918261643018,99.0,P48
21,2458356.9682870503,r,13.082614943752638,5.809360593491969,20.242254153020426,99.0,P48
22,2458356.9682870503,r,13.082614943752638,5.809360593491969,20.242254153020426,99.0,P48
23,2458357.9800984003,r,-6.892913622926328,5.772419929472498,20.249180195572123,99.0,P48
24,2458357.9800984003,r,-6.892913622926328,5.772419929472498,20.249180195572123,99.0,P48
25,2458358.9703588,r,-2.995402146835782,5.323322379335747,20.3371180697702,99.0,P48
26,2458358.9703588,r,-2.995402146835782,5.323322379335747,20.3371180697702,99.0,P48
27,2458359.9732755003,r,-7.3988790442282095,8.181475508184297,19.870495902574802,99.0,P48
28,2458359.9732755003,r,-7.3988790442282095,8.181475508184297,19.870495902574802,99.0,P48
29,2458360.9884144,r,2.2841359577874245,6.81360000628049,20.069133402565512,99.0,P48
30,2458361.99515625,r,-2.642114321283102,3.4241565046928066,20.81619097329206,99.0,P48
31,2458361.99515625,r,-2.642114321283102,3.4241565046928066,20.81619097329206,99.0,P48
32,2458362.9466667003,r,0.4597619451138099,4.714549998016551,20.46897437463405,99.0,P48
33,2458363.9910417004,r,-3.2002081674430376,4.845226185419611,20.439289850044503,99.0,P48
34,2458365.00292825,r,0.7224999235676987,3.0203627166135565,20.952427237425425,99.0,P48
35,2458365.00292825,r,0.7224999235676987,3.0203627166135565,20.952427237425425,99.0,P48
36,2458366.0085417004,r,2.0596759219968197,4.688187630880483,20.47506252737646,99.0,P48
37,2458366.9906713,r,0.154848884569732,3.371136845092012,20.833134033501196,99.0,P48
38,2458368.0127604,r,4.1167330918256395,2.848701792994225,21.01595751684705,99.0,P48
39,2458368.0127604,r,4.1167330918256395,2.848701792994225,21.01595751684705,99.0,P48
40,2458368.9462616,r,2.8380476130744414,3.313173695617304,20.851964477427643,99.0,P48
41,2458370.0110417004,r,1.1181638863836052,3.2183210644362603,20.883501569710802,99.0,P48
42,2458371.0102257,r,-2.6997761362916757,2.2687435885293636,21.263111451496265,99.0,P48
43,2458371.0102257,r,-2.6997761362916757,2.2687435885293636,21.263111451496265,99.0,P48
44,2458371.9661805998,r,1.4633482306500372,3.8243176460917927,20.696190095646926,99.0,P48
45,2458373.0116435,r,2.173997722152163,3.891035732833193,20.677411941384072,99.0,P48
46,2458373.9897859003,r,0.6398596734735733,2.679428651384987,21.08246949662928,99.0,P48
47,2458373.9897859003,r,0.6398596734735733,2.679428651384987,21.08246949662928,99.0,P48
48,2458374.9932176,r,5.764492492001079,3.463555214484097,20.8037697007576,99.0,P48
49,2458375.9969097,r,5.135763192088581,3.3333759909839427,20.845364231561312,99.0,P48
50,2458377.01265625,r,0.8332212485837316,2.490266077174356,21.161960607690723,99.0,P48
51,2458377.01265625,r,0.8332212485837316,2.490266077174356,21.161960607690723,99.0,P48
52,2458377.9478125,r,1.304146043843415,4.00753510556551,20.64538165062344,99.0,P48
53,2458379.0159838,r,3.9829533614932027,3.897439513293177,20.675626529569875,99.0,P48
54,2458380.0105729,r,1.857317202462906,2.624255173931549,21.10505983385449,99.0,P48
55,2458380.0105729,r,1.857317202462906,2.624255173931549,21.10505983385449,99.0,P48
56,2458380.9668056,r,5.804404144490805,3.2918423906234637,20.858977405282886,99.0,P48
57,2458383.00587385,r,2.9842622094561206,2.2652660506879605,21.264776948386938,99.0,P48
58,2458383.00587385,r,2.9842622094561206,2.2652660506879605,21.264776948386938,99.0,P48
59,2458384.0113657,r,1.7329575134654205,3.0323516068393097,20.94812609631731,99.0,P48
60,2458385.0160648,r,5.60216696382137,2.9017331659188677,20.995931305136743,99.0,P48
61,2458386.0102257,r,4.853617630216152,3.593006680695769,20.763929927371116,99.0,P48
62,2458386.0102257,r,4.853617630216152,3.593006680695769,20.763929927371116,99.0,P48
63,2458386.9522222,r,-2.235548287744097,8.234714661283554,19.86345360127499,99.0,P48
64,2458387.9682407,r,11.65224984917097,11.80676122372794,19.472248038430372,99.0,P48
65,2458389.00824075,r,-1.6186778690202466,3.459537326309161,20.805029937312945,99.0,P48
66,2458389.00824075,r,-1.6186778690202466,3.459537326309161,20.805029937312945,99.0,P48
67,2458390.0087616,r,-1.8118932700744284,4.526744684299513,20.513109988467868,99.0,P48
68,2458391.015625,r,15.618169009817173,5.534366951331627,20.2949051109771,99.0,P48
69,2458398.0063484004,r,2.282242193980311,3.365125644591667,20.83507177858155,99.0,P48
70,2458398.0063484004,r,2.282242193980311,3.365125644591667,20.83507177858155,99.0,P48
71,2458422.8592882,r,6.453615920934476,5.116416164309429,20.38016033332577,99.0,P48
