,JD,Filter,Flux,eFlux,Mag,eMag,Telescope
0,2458214.7433912004,r,-55.41284064369917,1103.8724189283203,14.545277783388062,99.0,P48
1,2458217.7704919,r,-20.087833968194737,361.6115522983944,15.756969248400912,99.0,P48
2,2458217.7704919,r,-20.087833968194737,361.6115522983944,15.756969248400912,99.0,P48
3,2458218.7583218,r,25.273136386376937,658.2293797116095,15.106631831935472,99.0,P48
4,2458219.7157755,r,-28.060400847241166,628.3056032717708,15.157147657158186,99.0,P48
5,2458222.7594907,r,-5.438506330100136,654.1370325642671,15.11340314796492,99.0,P48
6,2458224.7586960006,r,-15.692739048292982,333.2707473730197,15.845582000628312,99.0,P48
7,2458224.7586960006,r,-15.692739048292982,333.2707473730197,15.845582000628312,99.0,P48
8,2458224.7586960006,r,-15.692739048292982,333.2707473730197,15.845582000628312,99.0,P48
9,2458230.7324421,r,-24.93530959851677,982.9289402746247,14.671269683801675,99.0,P48
10,2458231.7752893995,r,2.591584876103212,787.4054604953872,14.912078933640402,99.0,P48
11,2458233.6919329,r,-69.88521532023266,694.0295453132302,15.049130091504884,99.0,P48
12,2458245.6709837997,r,-18.88348699048955,530.6230916148193,15.34060962503155,99.0,P48
13,2458248.7330207997,r,-102.11557063183987,1090.6622671624111,14.55834926808561,99.0,P48
14,2458254.6899653,r,-108.18309727233313,1033.9477098522257,14.616328550139585,99.0,P48
15,2458257.7310417006,r,63.10298793424781,758.1764543421673,14.953149256647087,99.0,P48
16,2458260.6897569,r,-9.42418775204677,645.7188578831007,15.127466314321676,99.0,P48
17,2458267.79582755,r,-40.60573052049011,599.2641629408733,15.208529221926874,99.0,P48
18,2458267.79582755,r,-40.60573052049011,599.2641629408733,15.208529221926874,99.0,P48
19,2458270.6704166997,r,-6.719120600389919,350.1565301963164,15.79191941397227,99.0,P48
20,2458270.6704166997,r,-6.719120600389919,350.1565301963164,15.79191941397227,99.0,P48
21,2458272.6868056,r,-60.72017490494289,529.6537686833796,15.342594822168975,99.0,P48
22,2458274.69751735,r,-73.82917258969296,396.2549481935787,15.657638242989762,99.0,P48
23,2458274.69751735,r,-73.82917258969296,396.2549481935787,15.657638242989762,99.0,P48
24,2458276.6971759,r,-39.76344170309647,490.1480560597049,15.426756777775308,99.0,P48
25,2458277.7445081496,r,-20.66530758432211,381.3221217882401,15.699344986912841,99.0,P48
26,2458277.7445081496,r,-20.66530758432211,381.3221217882401,15.699344986912841,99.0,P48
27,2458278.7338426,r,-11.25502938424917,539.5534916556059,15.322488720740317,99.0,P48
28,2458280.70461805,r,-20.714207209081195,311.7496833102552,15.918059936723989,99.0,P48
29,2458280.70461805,r,-20.714207209081195,311.7496833102552,15.918059936723989,99.0,P48
30,2458282.6914468,r,73.60997768633867,1001.9097442435149,14.650503488082586,99.0,P48
31,2458283.6926736003,r,-3.006834612921423,289.9593928169051,15.996732035019122,99.0,P48
32,2458283.6926736003,r,-3.006834612921423,289.9593928169051,15.996732035019122,99.0,P48
33,2458284.7076967997,r,-55.19400215964511,614.2239014547536,15.181758208534378,99.0,P48
34,2458286.7828009,r,-13.07055613498485,596.4473798346665,15.21364465143857,99.0,P48
35,2458292.7343403,r,15.15333843003446,623.1781098097348,15.16604451515838,99.0,P48
36,2458295.7347685,r,-33.29822644117379,701.302272533277,15.037811873636,99.0,P48
37,2458298.7566319,r,0.9024943659908327,683.8458824853808,15.065179398338582,99.0,P48
38,2458305.6806481,r,-0.8382408624284592,545.4496489256859,15.310688322761033,99.0,P48
39,2458442.0577778,r,-7.3327108694790315,1192.778200552592,14.461175755993263,99.0,P48
40,2458447.9935069,r,-37.54949862863494,741.7878350361699,14.976875722084191,99.0,P48
41,2458447.9935069,r,-37.54949862863494,741.7878350361699,14.976875722084191,99.0,P48
42,2458449.0378009,r,-14.405961212526327,427.96426347186775,15.574056225651246,99.0,P48
43,2458449.0378009,r,-14.405961212526327,427.96426347186775,15.574056225651246,99.0,P48
44,2458450.0060879504,r,32.070638335408916,140.9829902180352,16.779658195111374,99.0,P48
45,2458450.0060879504,r,32.070638335408916,140.9829902180352,16.779658195111374,99.0,P48
46,2458462.0462268996,r,-27.486128196649048,500.33137977050046,15.404430634640814,99.0,P48
47,2458465.0472569,r,0.8676816737740641,465.15027677082907,15.483591779899228,99.0,P48
48,2458466.0195139,r,-1.1311241981858982,457.480963954984,15.501642420319403,99.0,P48
49,2458468.04743635,r,-8.42185573152777,313.54906747141024,15.91181120547277,99.0,P48
50,2458468.04743635,r,-8.42185573152777,313.54906747141024,15.91181120547277,99.0,P48
51,2458469.0268287,r,13.264632505149848,565.8751034724852,15.270773521870534,99.0,P48
52,2458472.0458449,r,0.03564575606618012,485.3387457108781,15.437462580587674,99.0,P48
53,2458474.9970081,r,-8.840225369487133,423.42226352691443,15.585640765481193,99.0,P48
54,2458474.9970081,r,-8.840225369487133,423.42226352691443,15.585640765481193,99.0,P48
55,2458476.9637442,r,0.516666314891173,91.16566967542296,17.25299667287314,99.0,P48
56,2458476.9637442,r,0.516666314891173,91.16566967542296,17.25299667287314,99.0,P48
57,2458482.9758564997,r,36.49735017673533,540.1430910194698,15.321302925676124,99.0,P48
58,2458487.00336225,r,-17.06983716023711,328.95002954716244,15.859750164803238,99.0,P48
59,2458487.00336225,r,-17.06983716023711,328.95002954716244,15.859750164803238,99.0,P48
60,2458488.0307176,r,-0.0718364345668615,430.938921878971,15.566535687137659,99.0,P48
61,2458492.0451736,r,-20.683100058461903,370.20796637096277,15.73146058930274,99.0,P48
62,2458492.0451736,r,-20.683100058461903,370.20796637096277,15.73146058930274,99.0,P48
63,2458492.9816203997,r,-18.867761734306942,499.11707620774393,15.407068917750856,99.0,P48
64,2458493.9850540333,r,-39.3818697533796,71.39770345938999,17.518364382371992,99.0,P48
65,2458493.9850540333,r,-39.3818697533796,71.39770345938999,17.518364382371992,99.0,P48
66,2458493.9850540333,r,-39.3818697533796,71.39770345938999,17.518364382371992,99.0,P48
67,2458495.0461979005,r,-22.618045746063576,312.5928746984462,15.915127303147926,99.0,P48
68,2458495.0461979005,r,-22.618045746063576,312.5928746984462,15.915127303147926,99.0,P48
69,2458503.0455497503,r,-8.41879096523399,406.67499679429244,15.629456309366034,99.0,P48
70,2458503.0455497503,r,-8.41879096523399,406.67499679429244,15.629456309366034,99.0,P48
71,2458503.9779938,r,-17.87737869756335,164.2149597496088,16.61404319366964,99.0,P48
72,2458503.9779938,r,-17.87737869756335,164.2149597496088,16.61404319366964,99.0,P48
73,2458503.9779938,r,-17.87737869756335,164.2149597496088,16.61404319366964,99.0,P48
74,2458506.0253183004,r,-1.270332101250338,595.6202265201139,15.215151395586032,99.0,P48
75,2458506.0253183004,r,-1.270332101250338,595.6202265201139,15.215151395586032,99.0,P48
76,2458507.0496991,r,-21.09808896527499,809.4764582745025,14.882064432070035,99.0,P48
77,2458509.9806597,r,7.631170008256625,672.9885547288038,15.082555793163127,99.0,P48
78,2458511.889213,r,-9.942207940634145,477.49116581922124,15.455161636645647,99.0,P48
79,2458513.9538426003,r,117.84746654418984,1694.430469988905,14.080015607893154,99.0,P48
80,2458514.9205207997,r,-38.9690039315798,1027.103315865281,14.623539660952037,99.0,P48
81,2458523.0283391,r,-24.489491437273728,310.9121149242594,15.920980876700373,99.0,P48
