,JD,Filter,Flux,eFlux,Mag,eMag,Telescope
0,2458320.9840856004,r,12.844115871286863,9.416684629347936,19.71782992448571,99.0,P48
1,2458323.98375,r,0.02588923355633634,3.500775936169476,20.7921642015356,99.0,P48
2,2458334.0014583,r,14.701335875540925,9.10140001134758,19.75480448351197,99.0,P48
3,2458336.9610532,r,-1.202112476691201,3.7376776758002133,20.72107037259427,99.0,P48
4,2458342.9803819,r,2.334290110107621,3.2314636364935794,20.87907680618229,99.0,P48
5,2458343.9800579,r,2.2143587301912087,3.3665383668268793,20.834616068463532,99.0,P48
6,2458345.9766667006,r,0.9433445885855282,2.809123180411589,21.031148030440363,99.0,P48
7,2458346.9383796,r,-1.1999009579510367,3.348956088215447,20.840301356478356,99.0,P48
8,2458347.9580671,r,1.6797938368839185,2.4093985128120687,21.19780339430993,99.0,P48
9,2458348.9223032002,r,-0.5911211220114133,2.4933169136129116,21.1606312813823,99.0,P48
10,2458350.0043808,r,2.060801510830988,2.026373444909011,21.385776275397873,99.0,P48
11,2458350.0043808,r,2.060801510830988,2.026373444909011,21.385776275397873,99.0,P48
12,2458353.0053183,r,2.2093552680298036,1.7975715314753884,21.515859535532485,99.0,P48
13,2458353.0053183,r,2.2093552680298036,1.7975715314753884,21.515859535532485,99.0,P48
14,2458353.9431886496,r,2.5892676052583856,1.9903159868608666,21.4052699106283,99.0,P48
15,2458353.9431886496,r,2.5892676052583856,1.9903159868608666,21.4052699106283,99.0,P48
16,2458354.9368634,r,5.411570378802023,4.628228815906897,20.489037934209797,99.0,P48
17,2458355.92734375,r,3.1748995932308053,2.713470050738068,21.06876240785286,99.0,P48
18,2458355.92734375,r,3.1748995932308053,2.713470050738068,21.06876240785286,99.0,P48
19,2458355.92734375,r,3.1748995932308053,2.713470050738068,21.06876240785286,99.0,P48
20,2458355.92734375,r,3.1748995932308053,2.713470050738068,21.06876240785286,99.0,P48
21,2458356.9479977,r,6.507540748967667,3.7793511230793273,20.70903188365164,99.0,P48
22,2458356.9479977,r,6.507540748967667,3.7793511230793273,20.70903188365164,99.0,P48
23,2458356.9479977,r,6.507540748967667,3.7793511230793273,20.70903188365164,99.0,P48
24,2458357.95845485,r,8.147788526981293,4.648218135039057,20.48435873727223,99.0,P48
25,2458357.95845485,r,8.147788526981293,4.648218135039057,20.48435873727223,99.0,P48
26,2458358.9595717997,r,7.772960075630723,6.500617408537501,20.12018847278855,99.0,P48
27,2458359.9588889,r,-3.0090244400398922,5.975650815489771,20.21161195980251,99.0,P48
28,2458361.0012731003,r,-3.6825117423818976,6.925354448899735,20.051469973966064,99.0,P48
29,2458362.9232118,r,3.5321603668744865,3.5778377976795896,20.768523369633463,99.0,P48
30,2458362.9232118,r,3.5321603668744865,3.5778377976795896,20.768523369633463,99.0,P48
31,2458365.9961053003,r,-2.38963000554081,2.0847044356930726,21.354963763003664,99.0,P48
32,2458365.9961053003,r,-2.38963000554081,2.0847044356930726,21.354963763003664,99.0,P48
33,2458366.9996065,r,1.3413033308987936,2.515306973892728,21.151097501830975,99.0,P48
34,2458367.9827198996,r,0.31636713671218025,2.440143485495943,21.184036577896165,99.0,P48
35,2458368.94033565,r,0.004519927421036225,1.7918848954031883,21.519299717609158,99.0,P48
36,2458368.94033565,r,0.004519927421036225,1.7918848954031883,21.519299717609158,99.0,P48
37,2458369.8985764,r,2.127252505729053,2.7978721832462656,21.035505312929452,99.0,P48
