,JD,Filter,Flux,eFlux,Mag,eMag,Telescope
0,2458214.8285764,r,6.294990658357644,16.32717234398517,19.12029754656779,99.0,P48
1,2458217.8031481495,r,1.3811822807251561,4.811644052794315,20.44684125817257,99.0,P48
2,2458217.8031481495,r,1.3811822807251561,4.811644052794315,20.44684125817257,99.0,P48
3,2458218.7559606005,r,-3.794345856780825,4.182884555045625,20.598885292923846,99.0,P48
4,2458219.8195139,r,-0.9834375448999284,6.42258823240279,20.13329979105594,99.0,P48
5,2458222.7835918665,r,-0.6252978928231854,3.0823962467083494,20.930353821197656,99.0,P48
6,2458222.7835918665,r,-0.6252978928231854,3.0823962467083494,20.930353821197656,99.0,P48
7,2458222.7835918665,r,-0.6252978928231854,3.0823962467083494,20.930353821197656,99.0,P48
8,2458224.7364582997,r,3.3596059326959997,5.284711589221866,20.345021762003697,99.0,P48
9,2458226.7763001663,r,-2.427671654070129,2.045542706447568,21.375553611545485,99.0,P48
10,2458226.7763001663,r,-2.427671654070129,2.045542706447568,21.375553611545485,99.0,P48
11,2458226.7763001663,r,-2.427671654070129,2.045542706447568,21.375553611545485,99.0,P48
12,2458232.7310185,r,-3.5236804822960925,28.805492518229094,18.50388672610496,99.0,P48
13,2458242.7725347,r,-0.5683415181225195,2.189493482267414,21.30171584737831,99.0,P48
14,2458248.7526273,r,1.0849189867161853,4.933874940998547,20.419604646098605,99.0,P48
15,2458255.7324306,r,1.6382272578933676,3.9026749341633296,20.674169041509217,99.0,P48
16,2458258.7315856004,r,-3.553593460250772,4.903603817203167,20.426286553039553,99.0,P48
17,2458267.8191435,r,-0.810652303388311,21.31783550648416,18.830717222245354,99.0,P48
18,2458271.6897859,r,2.7174004388568096,3.3475872199005763,20.840745236205947,99.0,P48
19,2458271.6897859,r,2.7174004388568096,3.3475872199005763,20.840745236205947,99.0,P48
20,2458272.6680787,r,-2.1542104899172814,4.512371950195734,20.516562761910265,99.0,P48
21,2458274.6933391,r,-2.495901378654644,2.421923719813058,21.192173837627465,99.0,P48
22,2458274.6933391,r,-2.495901378654644,2.421923719813058,21.192173837627465,99.0,P48
23,2458276.6962384,r,-4.433080036705992,3.258963927127018,20.869876105745163,99.0,P48
24,2458277.7596528,r,-2.0907356950383975,2.728111385643334,21.062919743936092,99.0,P48
25,2458277.7596528,r,-2.0907356950383975,2.728111385643334,21.062919743936092,99.0,P48
26,2458278.7347685,r,0.8905306775084805,4.061940874353705,20.630740995358494,99.0,P48
27,2458279.7388657,r,-3.0240445039522177,4.184473858043442,20.598472841648153,99.0,P48
28,2458280.70652775,r,-1.2762216853391843,2.7778032800208132,21.043321273188845,99.0,P48
29,2458280.70652775,r,-1.2762216853391843,2.7778032800208132,21.043321273188845,99.0,P48
30,2458282.7168171,r,-2.8432503158296365,4.050884531441255,20.633700329159886,99.0,P48
31,2458283.71266205,r,1.5239404943049188,2.461869930610743,21.174412229481455,99.0,P48
32,2458283.71266205,r,1.5239404943049188,2.461869930610743,21.174412229481455,99.0,P48
33,2458284.7063194,r,0.775528375122518,3.9628250646504424,20.65756273611521,99.0,P48
34,2458286.781412,r,-3.4517109523177636,3.8558206496231233,20.687282927049317,99.0,P48
35,2458289.7175347,r,4.995638120527296,6.255515803733069,20.16191717511782,99.0,P48
36,2458298.7552430998,r,-3.746592042504814,7.14281670190196,20.017901225522237,99.0,P48
37,2458301.6760764,r,-4.027740874481946,5.6191194349579066,20.278404331243443,99.0,P48
38,2458304.6791782,r,6.858408782054375,4.721590169914878,20.467354269209594,99.0,P48
39,2458307.6748032,r,2.5346112084330734,4.694662218451385,20.47356411370359,99.0,P48
40,2458312.6940625,r,-6.999782232484643,5.385430325922952,20.324523960229616,99.0,P48
41,2458336.6982523,r,2.8088108349105743,5.046303000951718,20.39514167964611,99.0,P48
42,2458449.03391205,r,-3.963955403611133,5.88293599717047,20.228589680288437,99.0,P48
43,2458449.03391205,r,-3.963955403611133,5.88293599717047,20.228589680288437,99.0,P48
44,2458450.0196296,r,-2.021743610750425,7.173574401877527,20.01323597160775,99.0,P48
45,2458466.0154051003,r,6.7435093978370615,4.073033823934497,20.627779947564456,99.0,P48
46,2458469.0309375,r,-3.0245411340479875,3.802619930668111,20.702367688819418,99.0,P48
47,2458474.9871991,r,2.853574553783118,9.463728787076027,19.712419274851406,99.0,P48
48,2458476.9768923502,r,4.528198770018194,4.958202622890231,20.41426431226306,99.0,P48
49,2458476.9768923502,r,4.528198770018194,4.958202622890231,20.41426431226306,99.0,P48
50,2458482.00403935,r,2.103255818571999,3.7304919647812764,20.723159716943222,99.0,P48
51,2458482.00403935,r,2.103255818571999,3.7304919647812764,20.723159716943222,99.0,P48
52,2458487.0173380002,r,0.5676532383524027,4.174190697733965,20.601144274388503,99.0,P48
53,2458492.0502546,r,-0.9886128576256591,4.794937122551066,20.45061769788446,99.0,P48
54,2458493.9948437503,r,-0.0755875296319482,1.9880617395948141,21.406500320760998,99.0,P48
55,2458493.9948437503,r,-0.0755875296319482,1.9880617395948141,21.406500320760998,99.0,P48
56,2458495.0521875,r,-1.0213366708009646,3.087143447613293,20.928682964321343,99.0,P48
57,2458503.9779803003,r,-6.299401771508611,11.619363924793229,19.48961910351501,99.0,P48
58,2458503.9779803003,r,-6.299401771508611,11.619363924793229,19.48961910351501,99.0,P48
59,2458506.0393981,r,16.99647303021276,10.637857777113467,19.5854395398565,99.0,P48
60,2458508.9963078997,r,4.265554130853972,8.47120127311157,19.832712487745482,99.0,P48
61,2458512.0388889,r,6.636206327660375,7.423995490943058,19.975980740568268,99.0,P48
62,2458513.9598727003,r,-1.8048770180690683,3.8774950975982785,20.68119684566497,99.0,P48
63,2458523.0251157,r,-3.603606851007465,3.409709524157888,20.820781532462213,99.0,P48
64,2458524.9583564997,r,1.5169504932894962,2.5322925611126936,21.143790291151163,99.0,P48
65,2458524.9583564997,r,1.5169504932894962,2.5322925611126936,21.143790291151163,99.0,P48
66,2458534.9065798502,r,-18.1731592891736,10.307814493083649,19.61965850398429,99.0,P48
67,2458534.9065798502,r,-18.1731592891736,10.307814493083649,19.61965850398429,99.0,P48
68,2458538.9622569,r,6.378206283492975,16.377641044852513,19.116946618459256,99.0,P48
69,2458540.8052199,r,7.5128925705322445,5.996022998601217,20.207916764215327,99.0,P48
70,2458543.8726505,r,-3.7813490996506607,5.630924191628637,20.276125787828825,99.0,P48
71,2458556.9213194,r,0.0924389909892811,4.711427196530851,20.469693777765922,99.0,P48
72,2458558.7386343,r,18.64317148472677,11.048664216813835,19.544300551648714,99.0,P48
73,2458567.8622801,r,3.5901111459782724,6.001828829663521,20.20686597586333,99.0,P48
74,2458572.8580671,r,3.293192260726368,5.365796811902357,20.328489431412002,99.0,P48
75,2458580.82191555,r,-0.33710590585581135,2.9455686074392298,20.97965213249225,99.0,P48
76,2458580.82191555,r,-0.33710590585581135,2.9455686074392298,20.97965213249225,99.0,P48
77,2458582.7261921,r,1.7146801519882853,3.8274844518457036,20.695291401244546,99.0,P48
78,2458583.8001273,r,7.374394292969919,6.188060889365883,20.17368854309716,99.0,P48
79,2458586.8333796,r,-0.5574057774989858,4.32298509695169,20.563115643283723,99.0,P48
80,2458589.7468634,r,-16.269397019579,9.30288402737566,19.73103097180584,99.0,P48
81,2458589.7468634,r,-16.269397019579,9.30288402737566,19.73103097180584,99.0,P48
82,2458592.7932176003,r,3.591323303654476,12.389296141080745,19.419958404157583,99.0,P48
83,2458593.8124306,r,-3.166189347021547,8.078432245334291,19.884257272020164,99.0,P48
84,2458596.76,r,0.48783595254844764,4.940403940166711,20.41816884062945,99.0,P48
85,2458600.7775,r,1.9881252214025322,2.7998315878676205,21.034745216750352,99.0,P48
86,2458602.8107176004,r,1.3979167138664137,3.2427224528344025,20.875300542516666,99.0,P48
87,2458606.7299653003,r,-0.9185451634222767,2.504402012374109,21.15581487895011,99.0,P48
88,2458606.7299653003,r,-0.9185451634222767,2.504402012374109,21.15581487895011,99.0,P48
89,2458612.7465741,r,1.1740826929934183,3.0020772703853074,20.959020323297494,99.0,P48
90,2458616.6698264,r,1.7847958930972654,6.252005111434844,20.162526678129318,99.0,P48
91,2458618.7593402998,r,8.367843558980004,8.545926388629622,19.823177120036824,99.0,P48
92,2458628.7887383997,r,-0.472908661630891,4.203006636153513,20.593674799869312,99.0,P48
93,2458633.7080208,r,-2.409883056789187,3.2600147094776,20.869526090040303,99.0,P48
94,2458636.7240741,r,-1.6487924348757967,3.7804648261862663,20.708711984912988,99.0,P48
95,2458639.6698611,r,0.007766893675032195,4.531104769679369,20.51206472867581,99.0,P48
96,2458642.7351619997,r,-2.3729199737760873,3.1950037376591136,20.891396562780102,99.0,P48
97,2458648.7125116,r,10.867914516254457,9.139880261373083,19.750223723612457,99.0,P48
98,2458651.7550926004,r,-5.714226656746988,7.940855415398944,19.902906767671226,99.0,P48
99,2458654.6943519,r,-1.8979657200673712,3.0711911271747656,20.934307878128415,99.0,P48
100,2458670.6768287,r,-0.8929750787812872,4.765235780093127,20.457364004027312,99.0,P48
101,2458676.7076852,r,9.86243753890659,6.538042249977045,20.113955682308408,99.0,P48
102,2458679.7169097,r,-5.705957508308047,6.3522608649646655,20.14525417733764,99.0,P48
103,2458716.6457292004,r,-17.767286443742037,7.848541892440225,19.915602537387976,99.0,P48
104,2458796.0465508997,r,-8.190922593256172,7.187604698622639,20.0111145293669,99.0,P48
105,2458796.0465508997,r,-8.190922593256172,7.187604698622639,20.0111145293669,99.0,P48
106,2458796.0465508997,r,-8.190922593256172,7.187604698622639,20.0111145293669,99.0,P48
107,2458800.04882525,r,5.109686792555293,10.256012108291605,19.625128676897553,99.0,P48
108,2458800.04882525,r,5.109686792555293,10.256012108291605,19.625128676897553,99.0,P48
