,JD,Filter,Flux,eFlux,Mag,eMag,Telescope
0,2458198.945477437,r,1.2175800891633808,1.244923698150283,21.914718153728707,99.0,P48
1,2458198.945477437,r,1.2175800891633808,1.244923698150283,21.914718153728707,99.0,P48
2,2458198.945477437,r,1.2175800891633808,1.244923698150283,21.914718153728707,99.0,P48
3,2458198.945477437,r,1.2175800891633808,1.244923698150283,21.914718153728707,99.0,P48
4,2458198.945477437,r,1.2175800891633808,1.244923698150283,21.914718153728707,99.0,P48
5,2458198.945477437,r,1.2175800891633808,1.244923698150283,21.914718153728707,99.0,P48
6,2458198.945477437,r,1.2175800891633808,1.244923698150283,21.914718153728707,99.0,P48
7,2458198.945477437,r,1.2175800891633808,1.244923698150283,21.914718153728707,99.0,P48
8,2458216.89756365,r,-4.44498194831236,4.7920364793576775,20.451274700513032,99.0,P48
9,2458216.89756365,r,-4.44498194831236,4.7920364793576775,20.451274700513032,99.0,P48
10,2458217.9261082252,r,3.5223016275311254,2.0737571558911396,21.360680245034402,99.0,P48
11,2458217.9261082252,r,3.5223016275311254,2.0737571558911396,21.360680245034402,99.0,P48
12,2458217.9261082252,r,3.5223016275311254,2.0737571558911396,21.360680245034402,99.0,P48
13,2458217.9261082252,r,3.5223016275311254,2.0737571558911396,21.360680245034402,99.0,P48
14,2458218.93024302,r,2.382001846901021,2.151136961568243,21.320904832833673,99.0,P48
15,2458218.93024302,r,2.382001846901021,2.151136961568243,21.320904832833673,99.0,P48
16,2458218.93024302,r,2.382001846901021,2.151136961568243,21.320904832833673,99.0,P48
17,2458218.93024302,r,2.382001846901021,2.151136961568243,21.320904832833673,99.0,P48
18,2458218.93024302,r,2.382001846901021,2.151136961568243,21.320904832833673,99.0,P48
19,2458219.9415837,r,-1.7919513161821892,2.2343204113652586,21.279711356703114,99.0,P48
20,2458219.9415837,r,-1.7919513161821892,2.2343204113652586,21.279711356703114,99.0,P48
21,2458219.9415837,r,-1.7919513161821892,2.2343204113652586,21.279711356703114,99.0,P48
22,2458219.9415837,r,-1.7919513161821892,2.2343204113652586,21.279711356703114,99.0,P48
23,2458219.9415837,r,-1.7919513161821892,2.2343204113652586,21.279711356703114,99.0,P48
24,2458219.9415837,r,-1.7919513161821892,2.2343204113652586,21.279711356703114,99.0,P48
25,2458222.9390277774,r,1.4609347270754882,1.546856639067461,21.678949825058538,99.0,P48
26,2458222.9390277774,r,1.4609347270754882,1.546856639067461,21.678949825058538,99.0,P48
27,2458222.9390277774,r,1.4609347270754882,1.546856639067461,21.678949825058538,99.0,P48
28,2458222.9390277774,r,1.4609347270754882,1.546856639067461,21.678949825058538,99.0,P48
29,2458222.9390277774,r,1.4609347270754882,1.546856639067461,21.678949825058538,99.0,P48
30,2458222.9390277774,r,1.4609347270754882,1.546856639067461,21.678949825058538,99.0,P48
31,2458222.9390277774,r,1.4609347270754882,1.546856639067461,21.678949825058538,99.0,P48
32,2458222.9390277774,r,1.4609347270754882,1.546856639067461,21.678949825058538,99.0,P48
33,2458222.9390277774,r,1.4609347270754882,1.546856639067461,21.678949825058538,99.0,P48
34,2458224.9141474,r,-4.570138079551199,5.700235014378404,20.262843085354312,99.0,P48
35,2458224.9141474,r,-4.570138079551199,5.700235014378404,20.262843085354312,99.0,P48
36,2458224.9141474,r,-4.570138079551199,5.700235014378404,20.262843085354312,99.0,P48
37,2458226.927384263,r,2.430164233924836,1.541235797765203,21.68290226998523,99.0,P48
38,2458226.927384263,r,2.430164233924836,1.541235797765203,21.68290226998523,99.0,P48
39,2458226.927384263,r,2.430164233924836,1.541235797765203,21.68290226998523,99.0,P48
40,2458226.927384263,r,2.430164233924836,1.541235797765203,21.68290226998523,99.0,P48
41,2458226.927384263,r,2.430164233924836,1.541235797765203,21.68290226998523,99.0,P48
42,2458226.927384263,r,2.430164233924836,1.541235797765203,21.68290226998523,99.0,P48
43,2458226.927384263,r,2.430164233924836,1.541235797765203,21.68290226998523,99.0,P48
44,2458226.927384263,r,2.430164233924836,1.541235797765203,21.68290226998523,99.0,P48
45,2458227.9026852003,r,-6.263158694177926,5.6269196647100435,20.2768982021734,99.0,P48
46,2458229.910787025,r,0.6684490163392685,2.2967715269010407,21.24978050023769,99.0,P48
47,2458229.910787025,r,0.6684490163392685,2.2967715269010407,21.24978050023769,99.0,P48
