,JD,Filter,Flux,eFlux,Mag,eMag,Telescope
0,2458256.9883102,r,0.8739471105661134,6.714924202200555,20.084972202326387,99.0,P48
1,2458267.8998264,r,-2.923446274054315,13.032696690187489,19.364989269047122,99.0,P48
2,2458270.9203241,r,-15.880243942278902,12.0331879007446,19.4516232432765,99.0,P48
3,2458276.9768403,r,3.397233543777763,4.66954332859965,20.479388965243075,99.0,P48
4,2458279.9218981,r,-0.059407056498746974,5.073290589516677,20.389350642449223,99.0,P48
5,2458282.9795255,r,1.8736563319789388,6.7583287760743795,20.077976700881734,99.0,P48
6,2458285.9013194,r,-2.187393544549263,3.0409476964756457,20.94505261302468,99.0,P48
7,2458288.9606712996,r,-1.2860533370300284,4.73254463783017,20.46483819175056,99.0,P48
8,2458291.961412,r,2.2736480482098465,2.5422794790216434,21.139516759408576,99.0,P48
9,2458300.8970949,r,-5.471524511890028,10.181229054313869,19.63307446869461,99.0,P48
10,2458303.9631944,r,-1.2369715971309518,6.066232758978572,20.19527731415053,99.0,P48
11,2458313.9002198996,r,-2.4901142132480207,2.999189891766713,20.960065079899806,99.0,P48
12,2458317.9192361,r,0.6454199010850425,2.8211691448297413,21.026502175877148,99.0,P48
13,2458320.8774653,r,-4.491215607733596,2.6373243263718233,21.099666137474514,99.0,P48
14,2458323.9620486,r,3.5518349936689058,2.875238140628357,21.005890437136962,99.0,P48
15,2458326.8996296003,r,-4.649206953006468,12.229639388288273,19.434040860875342,99.0,P48
16,2458334.8698957996,r,-0.42304638655527416,3.363792089443564,20.83550212687277,99.0,P48
17,2458338.8459028,r,0.3662235604991306,2.5960943702018593,21.11677380070256,99.0,P48
18,2458342.8509028,r,-5.872454182258858,2.94074323809046,20.981432221456053,99.0,P48
19,2458345.8563542003,r,1.7289113432611767,3.0290663956050135,20.94930300677792,99.0,P48
20,2458351.858206,r,3.3148026798295316,3.195768723799319,20.891136633903734,99.0,P48
21,2458354.8360764002,r,-1.8796455734969582,4.681824839849415,20.4765370854241,99.0,P48
22,2458354.8360764002,r,-1.8796455734969582,4.681824839849415,20.4765370854241,99.0,P48
23,2458359.82369215,r,2.8776783266486254,4.640897987472139,20.486069933639662,99.0,P48
24,2458359.82369215,r,2.8776783266486254,4.640897987472139,20.486069933639662,99.0,P48
25,2458362.8335647997,r,4.532012404987945,3.5545737760188487,20.775606157803907,99.0,P48
26,2458365.8362847,r,6.688393415009914,3.6527619603168606,20.746021560539038,99.0,P48
27,2458368.7947917003,r,0.7859373993713472,2.6704788928811607,21.086102114881307,99.0,P48
28,2458374.8202546,r,-1.7696006096355061,3.150222099418091,20.90672205456579,99.0,P48
29,2458377.7967707994,r,3.635307448727532,2.926827342187762,20.986582230348098,99.0,P48
30,2458380.7728356,r,2.0526661450574055,3.748267562610945,20.717998527738793,99.0,P48
31,2458385.7516435003,r,-1.7168461395201098,8.590212606416005,19.81756520744836,99.0,P48
32,2458388.73127895,r,-0.7815206265578197,3.906389939428698,20.673136007186393,99.0,P48
33,2458388.73127895,r,-0.7815206265578197,3.906389939428698,20.673136007186393,99.0,P48
34,2458389.7615625,r,8.184315208698782,4.514104538734257,20.51614595827052,99.0,P48
35,2458390.7500347,r,-4.779041740095452,3.5695036863703447,20.771055402139297,99.0,P48
36,2458400.7286227,r,2.714228980727143,3.0980510200424947,20.924853575081915,99.0,P48
37,2458423.6448379504,r,-0.40806585092071906,4.746893315544156,20.46155131106014,99.0,P48
38,2458423.6448379504,r,-0.40806585092071906,4.746893315544156,20.46155131106014,99.0,P48
39,2458424.6255208,r,129.88439000944157,41.52576097956907,18.61617322458674,0.34704873726585267,P48
40,2458425.6253819,r,3.023379078822495,7.564365045007638,19.955643791448555,99.0,P48
41,2458426.6281481003,r,296.44351112297255,158.23938056958562,16.654288553649437,99.0,P48
