ra dec ztfname atname z texp sptype ebv
243.594394 35.917901 ZTF18aakuewf SN2018bcc 0.0636 58223.0 Ibn 0.0124
244.000928 22.268009 ZTF18abcfcoo AT2018cow 0.0141 58285.0 cow 0.0755
264.194758 50.547826 ZTF18abfcmjw SN2019dge 0.0213 58580.3 Ib 0.0221
250.950926 41.04538 ZTF18abukavn SN2018gep 0.03154 58370.0 Ic-BL 0.0089
9.362018 15.014188 ZTF18abvkmgw SN2018ghd 0.03923 58372.5 Ib 0.0715
34.06492 28.591275 ZTF18abwkrbl SN2018gjx 0.00999 58376.0 IIb 0.0758
242.764814 74.361483 ZTF19aakssbm SN2019aajs 0.0358 58539.0 Ibn 0.0371
211.431544 9.515708 ZTF19aapfmki SN2019deh 0.05469 58580.0 Ibn 0.0248
10.929637 37.060826 ZTF19abobxik SN2019myn 0.1 58700.0 Ibn 0.0428
297.526517 66.082482 ZTF19abuvqgw SN2019php 0.087 58725.0 Ibn 0.1197
252.053771 48.080566 ZTF19abyjzvd SN2019qav 0.1353 58732.5 IIb/Ibn 0.0233
320.674448 22.881917 ZTF19acayojs SN2019rii 0.1234 58749.0 Ibn 0.0938
127.205483 75.328072 ZTF19accjfgv SN2019rta 0.027 58757.0 IIb 0.0212
185.728855 15.823626 ZTF20aaelulu SN2020oi 0.0052 58854.5 Ic 0.0228
196.605067 53.479321 ZTF20aahfqpm SN2020ano 0.03113 58870.0 IIb 0.0173
204.02089 28.983383 ZTF20aaxhzhc SN2020ikq 0.042 58966.5 IIb 0.0103
142.805007 38.254017 ZTF20aayrobw SN2020jmb 0.061 58976.5 II 0.0115
220.419102 19.349138 ZTF20aazchcq SN2020jji 0.03788 58968.5 II 0.025
357.559468 10.128147 ZTF20abjbgjj SN2020ntt 0.074 59017.0 II 0.0577
19.985429 38.186018 ZTF20aburywx SN2020rsc 0.0313 59079.0 IIb 0.0428
342.605744 8.844975 ZTF20acigusw SN2020vyv 0.062 59131.5 II 0.0724
124.297112 64.526356 ZTF20aclfmwn SN2020xlt 0.0384 59140.5 IIb 0.0499
30.063307 16.799255 ZTF18abvkwla AT2018lug 0.2714 58372.4 cow 0.0439
335.008456 -2.840352 ZTF20acigmel AT2020xnd 0.243 59132.0 cow 0.0691
216.5921689 5.8591953 ZTF21aakilyd SN2021csp 0.084 59254.5 Icn 0.0267
234.053641 39.733489 ZTF19aayejww SN2019hgp 0.0641 58641.1 Icn 0.0187
