# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2021-11-17 at 14:06:58
#
# Requested input R.A. = 243.5943940 degrees
# Requested input Dec. = 35.9179010 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459900.00000 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 679 14 2 ZTF_r 444394135415 0 2.0594 228.032 5.95066 26.2473 2.8014e-06 0.0190968 0.0873029 5.21211e-06 740 30. 0.039619 0.050122 20.4306 26.275 2 2458198.8941319 679120254 25.7324905452758 26.2664945435195 1.08976914170861 0.994069332577706 13.3284004150375 52.2624219695386 0.256746003208613 1.02512939433902 null null null null null 2458158.965289 2458218.966042 57
 1 679 14 2 ZTF_r 444398625415 0 2.0776 227.954 5.77472 26.2543 2.8588e-06 0.0192175 0.0930428 5.28659e-06 740 30. 0.038977 0.045591 20.4575 26.275 2 2458198.8986227 679120254 6.07832682246452 26.7707765939903 0.252567740494182 0.964247450182836 -20.1755398939555 52.8838387240989 -0.384076190495667 1.02633699900203 null null null null null 2458158.965289 2458218.966042 56,57
 2 679 14 2 ZTF_r 444435085415 0 1.9366 227.913 5.48607 26.2513 3.2986e-06 0.0205897 0.0951926 6.07408e-06 739 30. 0.041335 0.043442 20.5687 26.275 2 2458198.935081 679120254 -25.5972482857196 22.9007678754724 -1.24336328022568 1.11193277722691 -103.83630367006 46.4628256171746 -2.2498770955258 1.02773912156587 null null null null null 2458158.965289 2458218.966042 57
 3 679 14 2 ZTF_r 444455565415 0 1.8062 227.916 5.5492 26.2555 3.2676e-06 0.0205344 0.0974599 6.04473e-06 740 30. 0.046428 0.045387 20.5828 26.275 2 2458198.9555671 679120254 17.3303555151328 25.4456979139429 0.757613850980238 0.965891908771546 22.765010808486 50.677294182469 0.452240689558998 1.02805318287447 null null null null null 2458158.965289 2458218.966042 57
 4 679 14 2 ZTF_r 444462755415 0 1.7779 227.866 6.55166 26.1476 3.3659e-06 0.0208209 0.0992041 6.22901e-06 741 30. 0.039686 0.04389 20.4314 26.275 2 2458198.9627546 679120254 12.2270794284706 27.2381772453722 0.499343605693396 0.998335948659668 -58.1069769313137 53.9333508513186 -1.0846411328195 1.02831831823562 null null null null null 2458158.965289 2458218.966042 57
 5 679 14 2 ZTF_r 444496645415 0 2.3342 227.907 5.50936 26.2395 4.6571e-06 0.0244977 0.100091 8.62802e-06 740 30. 0.046962 0.053138 20.5273 26.275 2 2458198.9966435 679120254 12.3544967114578 27.5495758913471 0.498844216745197 0.936454650525631 73.7279710915062 50.3124433746315 1.47527188584455 1.05054906752438 null null null null null 2458158.965289 2458218.966042 57
 6 679 14 2 ZTF_g 449415125415 0 2.2181 182.31 5.94941 26.2582 5.6463e-06 0.0270748 -0.0223329 1.0766e-05 735 30. 0.044934 0.050009 20.5836 26.2582 2 2458203.9151273 679120154 -411.94923976575 25.8907562811418 -17.6992054391145 1.07845311842386 -430.98322870523 43.4592927403359 -9.98373186005482 1.08725688864195 0.242926099998004 19.6539999961853 0.0230000000447035 0.671999990940094 0.0130000002682209 2458203.915127 2458227.858634 0
 7 679 14 2 ZTF_g 449421505415 0 2.2818 68.0764 5.8776 25.1787 1.88963e-05 0.0435233 0.000691409 4.50321e-05 564 30. 0.047102 0.049954 19.3698 25.1787 1 2458203.9215046 679120154 -148.994051813106 28.7610790065478 -5.76260108565499 1.02626481403921 -170.296187731906 47.9059192742067 -3.57874652969165 1.09528869064986 0.242926099998004 19.6539999961853 0.0230000000447035 0.671999990940094 0.0130000002682209 2458203.915127 2458227.858634 0
 8 679 14 2 ZTF_g 449422455415 0 2.1437 45.2496 5.88789 24.7367 2.9368e-05 0.0467856 0.00652793 7.6476e-05 446 30. 0.047628 0.053609 18.9619 24.7367 2 2458203.9224537 679120154 -119.794281471975 29.7640095093954 -4.47712740728115 1.05710324524515 -129.796574257125 49.7223380466674 -2.62800919638852 1.09455107708531 0.242926099998004 19.6539999961853 0.0230000000447035 0.671999990940094 0.0130000002682209 2458203.915127 2458227.858634 0
