# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.5 on 2021-04-12 at 17:22:17
#
# Requested input R.A. = 30.063307 degrees
# Requested input Dec. = +16.799255 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459400 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 554 3 0 ZTF_r 534480040815 0 2.874 157.546 16.1164 26.1388 2.80482e-05 0.0414064 0.090438 3.74901e-05 453 30. 0.077704 0.054346 18.9839 26.1388 1 2458288.9800463 554120208 19.6683171658117 81.880948457673 0.267201652360724 1.00613988930067 -2.44777601654567 128.634029353341 -0.019157154146829 1.06068178501468 0.656415138068367 20.881999874115 0.0480000004172325 0.939999997615814 0.0379999987781048 2458312.945880 2458354.997095 0
 1 554 3 0 ZTF_r 544453280815 0 2.9802 150.467 13.4716 26.0829 2.47134e-05 0.0390071 0.10121 3.2706e-05 458 30. 0.072644 0.061885 19.1052 26.0829 1 2458298.953287 554120208 1.83676596009348 80.8173718207068 0.0252815618409647 1.04377919430602 55.7019314468916 119.89376960397 0.467723113096069 1.09629851257275 0.656415138068367 20.881999874115 0.0480000004172325 0.939999997615814 0.0379999987781048 2458312.945880 2458354.997095 0
 2 554 3 0 ZTF_g 544483640815 0 2.7609 95.1368 21.2375 26.1587 4.63285e-05 0.0364712 -0.0354613 9.0143e-05 222 30. 0.060807 0.057784 18.7482 26.1587 1 2458298.9836458 554120108 -72.346087130971 113.27900309617 -0.710428588734168 1.05078440892864 -269.985176164989 173.551982978939 -1.56612178780473 1.11044644121572 0.376200888776189 21.2749998092651 0.0750000029802322 0.959999978542328 0.128000006079674 2458304.964120 2458363.905012 0
 3 554 3 0 ZTF_r 547444450815 0 2.4207 153.507 10.9772 26.0877 1.82135e-05 0.0342002 0.101079 2.41867e-05 468 30. 0.063334 0.059749 19.4893 26.0877 1 2458301.944456 554120208 -14.0687881729402 49.1635145146445 -0.318323404080038 1.05528159462775 9.90610519804757 85.304776377009 0.116908147586342 1.05132928455268 0.656415138068367 20.881999874115 0.0480000004172325 0.939999997615814 0.0379999987781048 2458312.945880 2458354.997095 0
 4 554 3 0 ZTF_g 547477530815 0 2.3223 99.7293 13.0316 26.1706 2.6947e-05 0.0381258 -0.0486463 4.35824e-05 369 30. 0.060721 0.059871 19.4164 26.1706 1 2458301.9775347 554120108 -32.561128097421 63.468602831413 -0.570683486553831 0.956273022592013 3.40166072408441 109.72687202717 0.031209958340263 1.06455464977014 0.376200888776189 21.2749998092651 0.0750000029802322 0.959999978542328 0.128000006079674 2458304.964120 2458363.905012 0
 5 554 3 0 ZTF_g 550464120815 0 3.2622 102.282 9.00638 26.2148 3.2985e-05 0.0420174 -0.0914593 5.53853e-05 366 30. 0.064298 0.068111 19.6057 26.2148 1 2458304.9641204 554120108 -7.73460347607418 54.6667263596631 -0.157387337127044 0.945371721292808 -63.3498727873871 81.8689286419381 -0.779007846852037 1.06611455057719 0.376200888776189 21.2749998092651 0.0750000029802322 0.959999978542328 0.128000006079674 2458304.964120 2458363.905012 0
 6 554 3 0 ZTF_r 558445870815 0 2.6249 146.341 5.92231 26.0515 1.25303e-05 0.0285384 0.0851643 1.65236e-05 474 30. 0.070249 0.069382 20.0776 26.0515 1 2458312.9458796 554120208 -11.8726564244217 29.3157737497091 -0.450506788963759 0.877718575613133 -11.1397495893145 50.7996862892845 -0.220764679133238 1.04159365258029 0.656415138068367 20.881999874115 0.0480000004172325 0.939999997615814 0.0379999987781048 2458312.945880 2458354.997095 0
 7 554 3 0 ZTF_g 558476190815 0 2.0905 96.9538 5.32217 26.1226 1.20242e-05 0.0279172 -0.0445893 1.61251e-05 468 30. 0.051446 0.051416 20.5632 26.1226 1 2458312.9761921 554120108 -54.297119081074 24.0843877631187 -2.5078177821761 0.944990197617558 -70.4146429740736 44.5561159143125 -1.59100245142851 1.07211288945778 0.376200888776189 21.2749998092651 0.0750000029802322 0.959999978542328 0.128000006079674 2458304.964120 2458363.905012 0
 8 554 3 0 ZTF_g 561446730815 0 2.2435 80.2553 5.07699 25.9637 1.33614e-05 0.0295174 -0.0452494 1.7824e-05 471 30. 0.053737 0.054197 20.4471 25.9637 1 2458315.9467361 554120108 28.7396440488864 20.8946920610932 1.53003093245416 0.920378309964468 49.1268247113148 37.7347142453167 1.31066837768332 1.07118438250439 0.376200888776189 21.2749998092651 0.0750000029802322 0.959999978542328 0.128000006079674 2458304.964120 2458363.905012 0
