# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2021-11-17 at 14:06:58
#
# Requested input R.A. = 34.0649200 degrees
# Requested input Dec. = 28.5912750 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459900.00000 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 604 13 2 ZTF_r 534465975015 0 3.9262 110.613 7.82627 26.1194 1.48407e-05 0.0397928 0.0968481 2.30824e-05 734 30. 0.086017 0.065358 19.4949 26.1194 1 2458288.9659722 604120250 8.95333352170012 58.9802572620249 0.168862378149105 0.964813361181029 -16.0692056497001 75.3771943371644 -0.214619724394742 1.16050729065641 0.387368254292033 19.9609998703003 0.150000005960464 6.87900018692017 0.694999992847443 2458303.966204 2458373.948171 0
 1 604 13 2 ZTF_g 542483045015 0 2.7231 74.3491 22.0653 26.2407 3.5626e-05 0.0408651 -0.0414467 8.60073e-05 400 30. 0.055244 0.051926 18.7958 26.2407 1 2458296.983044 604120150 -13.6922764132926 120.385060573299 -0.126519615489885 0.981865597468906 -3.76463020882431 188.74709840457 -0.0200797005194472 1.10404790085347 4.25070094459809 19.5899998664856 0.162000000476837 7.30299997329712 0.611000001430511 2458313.967338 2458351.946690 0
 2 604 13 2 ZTF_r 546420715015 0 3.0815 99.9091 12.2347 26.0195 1.2786e-05 0.0367913 0.088524 1.98444e-05 734 30. 0.075213 0.065115 19.1553 26.0195 1 2458300.9207176 604120250 -25.9382761954249 62.783178072007 -0.459570999759661 1.10711498232575 41.9746675721801 100.602411586461 0.420043304200219 1.05146259256335 0.387368254292033 19.9609998703003 0.150000005960464 6.87900018692017 0.694999992847443 2458303.966204 2458373.948171 0
 3 604 13 2 ZTF_g 546464255015 0 2.6732 69.0461 11.6285 26.1885 1.84476e-05 0.0383419 -0.0570339 3.63311e-05 589 30. 0.06067 0.053534 19.4533 26.1885 1 2458300.9642593 604120150 -105.384425273512 59.9341353520562 -1.95594657478816 1.07846933247141 -40.3286493910238 96.1285278646339 -0.422353967826803 1.09078203572818 4.25070094459809 19.5899998664856 0.162000000476837 7.30299997329712 0.611000001430511 2458313.967338 2458351.946690 0
 4 604 13 2 ZTF_g 549454355015 0 2.5344 68.0579 9.96819 26.1522 1.41444e-05 0.0348193 -0.0650616 2.67746e-05 627 30. 0.050119 0.045837 19.6273 26.1522 1 2458303.9543519 604120150 -39.4896288168871 56.6508606638907 -0.775409898078917 0.936199358332475 -114.783171771755 94.524841651323 -1.22249602346792 1.08284090178518 4.25070094459809 19.5899998664856 0.162000000476837 7.30299997329712 0.611000001430511 2458313.967338 2458351.946690 0
 5 604 13 2 ZTF_r 549466205015 0 2.2058 114.759 8.96325 26.1573 4.5782e-06 0.0220327 0.0859506 7.07697e-06 735 30. 0.043212 0.041773 19.8872 26.1573 1 2458303.9662037 604120250 0.901970453112904 40.2159563376982 0.0249487454215802 0.97083359033543 -31.4786037935082 74.9753719841767 -0.4226803170495 1.03917936059473 0.387368254292033 19.9609998703003 0.150000005960464 6.87900018692017 0.694999992847443 2458303.966204 2458373.948171 0
 6 604 13 2 ZTF_r 556452375015 0 2.2316 100.442 5.58892 25.978 5.6315e-06 0.0242466 0.104972 8.68962e-06 730 30. 0.054407 0.060615 20.3826 25.978 1 2458310.9523727 604120250 13.6495372354215 29.8021158951754 0.509478227748506 0.994527189493514 86.2528072063562 51.3531803136101 1.69091231147032 1.08980454443182 0.387368254292033 19.9609998703003 0.150000005960464 6.87900018692017 0.694999992847443 2458303.966204 2458373.948171 0
 7 604 13 2 ZTF_r 559427565015 0 1.8108 101.301 6.24054 25.9984 5.1108e-06 0.0234728 0.0993849 7.94315e-06 746 30. 0.06879 0.04921 20.2832 25.9984 1 2458313.9275694 604120250 -32.2598550308234 25.3475972172918 -1.41572993494693 1.08002109636827 4.83328749613971 49.9555202084181 0.0974034490124078 1.04359908482323 0.387368254292033 19.9609998703003 0.150000005960464 6.87900018692017 0.694999992847443 2458303.966204 2458373.948171 0
 8 604 13 2 ZTF_g 559467335015 0 2.6897 64.6837 4.81122 26.0573 1.53456e-05 0.04006 -0.013217 2.49528e-05 729 30. 0.065826 0.055373 20.4636 26.0573 1 2458313.967338 604120150 -34.0250826722116 31.2762870821695 -1.21014886933602 0.946473845506898 -77.7501483605132 48.1260040059647 -1.62643464172441 1.18610672051264 4.25070094459809 19.5899998664856 0.162000000476837 7.30299997329712 0.611000001430511 2458313.967338 2458351.946690 0
