# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2021-11-17 at 14:06:58
#
# Requested input R.A. = 242.7648140 degrees
# Requested input Dec. = 74.3614830 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459900.00000 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 864 4 0 ZTF_r 444365741215 0 2.1923 211.436 6.8457 26.2126 5.5717e-06 0.0196807 0.0805746 9.00114e-06 449 30. 0.04464 0.046375 20.2754 26.2126 2 2458198.8657407 864120212 25.5788102193882 27.1998414027419 1.04608932202444 0.981954996332534 68.0339698182474 50.0038418643144 1.36973840340419 1.03216669543389 0.858072517583668 21.8850001335144 0.150999993085861 0.74099999666214 0.063000001013279 2458198.865741 2458314.905937 0
 1 864 4 0 ZTF_r 444390901215 0 1.8675 213.39 6.10023 26.2107 6.3739e-06 0.0210422 0.090419 1.03932e-05 449 30. 0.041942 0.046361 20.4741 26.2107 2 2458198.8909028 864120212 14.1275352028034 26.381057531844 0.595701917715043 0.997538285401495 110.784911313664 52.370252503393 2.12966424131974 1.02740830207521 0.858072517583668 21.8850001335144 0.150999993085861 0.74099999666214 0.063000001013279 2458198.865741 2458314.905937 0
 2 864 4 0 ZTF_r 444403431215 0 1.7892 213.766 5.97861 26.2094 5.7587e-06 0.0199754 0.0936787 9.40826e-06 448 30. 0.04103 0.046332 20.527 26.2094 2 2458198.9034375 864120212 -7.44510766656079 25.4835407010651 -0.32498701933527 1.04759146308943 79.5245230463135 51.1129719084567 1.56633673009376 1.02732053898266 0.858072517583668 21.8850001335144 0.150999993085861 0.74099999666214 0.063000001013279 2458198.865741 2458314.905937 0
 3 864 4 0 ZTF_r 445338531215 48 2.5957 7.41017 8.31267 22.6873 0.000852921 0.0860777 0.0922866 0.00221555 70 30. 0.065207 0.068657 16.3416 22.6873 1 2458199.8385301 864120212 -9.19498436370383 42.1988452805641 -0.242384714774626 0.908837087459004 -11.3008683365925 69.8513665185214 -0.162874126907985 1.06204660392154 0.858072517583668 21.8850001335144 0.150999993085861 0.74099999666214 0.063000001013279 2458198.865741 2458314.905937 0
 4 864 4 0 ZTF_r 445339541215 0 2.356 27.9477 8.08203 24.0396 0.000485026 0.144578 0.0950438 0.000963226 284 30. 0.047459 0.054907 17.8005 24.0396 2 2458199.8395486 864120212 18.8335728252481 37.4168212867051 0.559913098210054 0.892382190549329 0.212468484335102 66.305296612073 0.00322597865827971 1.03990547765088 0.858072517583668 21.8850001335144 0.150999993085861 0.74099999666214 0.063000001013279 2458198.865741 2458314.905937 0
 5 864 4 0 ZTF_g 448286501215 0 3.8957 157.265 8.77559 26.2047 2.22827e-05 0.0336626 -0.083598 4.84838e-05 336 30. 0.062537 0.060194 19.43 26.2047 2 2458202.7865046 864120112 109.726032261501 54.1160705918485 2.25547605948955 1.07791564299469 132.06147346698 71.1217989443638 1.86934128582614 1.09932563779192 1.91681823061729 22.3960000991821 0.273999989032745 1.49399995803833 -0.252000004053116 2458202.821829 2458317.849560 56
 6 864 4 0 ZTF_g 448305421215 0 4.1489 157.802 8.51215 26.2238 2.53876e-05 0.0352642 -0.0853727 5.59158e-05 327 30. 0.068123 0.061633 19.4282 26.2238 2 2458202.8054282 864120112 5.9967510627813 59.4597472263577 0.112188350654302 0.843249917848871 -4.48701096418125 76.2410443546201 -0.0592493358324654 1.11371370638087 1.91681823061729 22.3960000991821 0.273999989032745 1.49399995803833 -0.252000004053116 2458202.821829 2458317.849560 56
 7 864 4 0 ZTF_g 448321821215 0 3.2858 160.133 8.22636 26.2416 2.50965e-05 0.0396852 -0.0916912 4.69292e-05 404 30. 0.04771 0.05186 19.7187 26.2416 2 2458202.8218287 864120112 -39.9202766086482 43.8726694831273 -1.01217191486923 0.956988845313056 30.9412303985929 66.5136023452488 0.468319565730954 1.05722321970817 1.91681823061729 22.3960000991821 0.273999989032745 1.49399995803833 -0.252000004053116 2458202.821829 2458317.849560 56
 8 864 4 0 ZTF_g 448344961215 0 2.6628 163.166 7.67216 26.2509 1.59053e-05 0.0330674 -0.0923096 2.67012e-05 442 30. 0.044998 0.04615 19.9821 26.2509 2 2458202.8449653 864120112 -15.8135004321939 33.3999172695422 -0.526668597964179 0.989295380303354 -125.713406682518 55.8532452354643 -2.26593984245474 1.03961258981109 1.91681823061729 22.3960000991821 0.273999989032745 1.49399995803833 -0.252000004053116 2458202.821829 2458317.849560 56
