# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2021-11-17 at 14:06:58
#
# Requested input R.A. = 211.4315440 degrees
# Requested input Dec. = 9.5157080 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459900.00000 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 529 4 1 ZTF_g 448356061315 0 2.5437 91.2687 6.36133 26.2208 1.49013e-05 0.0339623 -0.0294566 2.58423e-05 445 30. 0.05694 0.056876 20.3296 26.2208 1 2458202.8560648 529120113 -13.1854110378806 29.2780787922885 -0.500963285776608 0.931175179421899 -19.6187405263886 46.9480443175764 -0.420696413656616 1.08095631715872 2.71270215043142 22.3800000667572 0.158999994397163 0.680999994277954 0.00100000004749745 2458167.003472 2458314.731435 0
 1 528 1 0 ZTF_g 448374390015 0 2.669 88.5995 5.54691 26.1659 1.32008e-05 0.0320386 -0.0141498 2.45677e-05 439 30. 0.060567 0.056029 20.2992 26.1659 1 2458202.8743981 528120100 1.45523354495577 30.3457443634499 0.0533445066971005 1.08903660037431 -29.3012860762745 47.0231835961863 -0.627321029072933 1.11191630931081 3.83167345315232 21.3789999008179 0.118000000715256 1.84899997711182 0.303999990224838 2458167.001991 2458304.693252 0
 2 528 1 0 ZTF_g 451345210015 0 2.9899 69.4984 12.6151 25.9294 4.0702e-05 0.0420383 -0.0331717 0.000100749 264 30. 0.063751 0.066924 19.0168 25.9294 1 2458205.8452199 528120100 91.9477392610859 74.1265090617012 1.37981959749165 0.878392655781092 158.47695784322 110.025222837734 1.45007031258232 1.09249309071428 3.83167345315232 21.3789999008179 0.118000000715256 1.84899997711182 0.303999990224838 2458167.001991 2458304.693252 0
 3 529 4 1 ZTF_g 451365461315 0 2.5281 78.322 12.2843 26.0851 2.57944e-05 0.0393914 -0.0397555 5.6355e-05 342 30. 0.059013 0.050863 19.3482 26.0851 1 2458205.865463 529120113 null null null null null null null null 2.71270215043142 22.3800000667572 0.158999994397163 0.680999994277954 0.00100000004749745 2458167.003472 2458314.731435 61
 4 528 1 0 ZTF_g 451366370015 0 2.573 76.742 11.8361 26.0295 3.21269e-05 0.0427117 -0.0146493 7.43226e-05 328 30. 0.063031 0.060114 19.3055 26.0295 1 2458205.8663773 528120100 122.461907236783 59.4097307238446 2.29296927869546 1.07578119799959 229.152387603055 95.4958387514789 2.41576748404915 1.07808769087161 3.83167345315232 21.3789999008179 0.118000000715256 1.84899997711182 0.303999990224838 2458167.001991 2458304.693252 0
 5 528 1 0 ZTF_g 454338550015 17 2.1688 199.306 45.1282 26.7433 0.265293 0.199609 0.214664 0.581096 6 30. 0.054882 0.054455 18.7181 26.7433 1 2458208.8385532 528120100 -132.060892633058 235.850666144999 -0.622862123894471 0.954306471943793 131.517389953208 420.823910729858 0.314628431905758 1.07388246286741 3.83167345315232 21.3789999008179 0.118000000715256 1.84899997711182 0.303999990224838 2458167.001991 2458304.693252 0
 6 529 4 1 ZTF_g 454358991315 17 2.0223 44.5566 49.8088 25.3175 0.000631223 0.035395 -0.0900329 0.00209986 36 30. 0.058795 0.055626 17.2411 25.3175 1 2458208.8589931 529120113 187.973255570332 238.073401613205 0.878294143850067 1.02309826023735 375.637342138936 410.810452126574 0.920539580463219 1.09393075725322 2.71270215043142 22.3800000667572 0.158999994397163 0.680999994277954 0.00100000004749745 2458167.003472 2458314.731435 0
 7 529 4 1 ZTF_g 454409131315 1 2.6016 61.6487 38.4999 25.7487 0.000187867 0.04362 -0.0404744 0.000585336 96 30. 0.052044 0.050273 17.9074 25.7487 1 2458208.9091319 529120113 -129.76531114401 208.12562021729 -0.69356611728076 0.966341438864595 -199.391099726616 347.948169325593 -0.576907792457404 1.10718964010874 2.71270215043142 22.3800000667572 0.158999994397163 0.680999994277954 0.00100000004749745 2458167.003472 2458314.731435 0
 8 528 1 0 ZTF_g 457362960015 0 3.7498 90.5289 14.8598 26.1929 4.12231e-05 0.036126 -0.00285139 0.000106826 201 30. 0.072428 0.069774 18.9437 26.1929 1 2458211.862963 528120100 121.319460531783 103.296301717902 1.30647317985075 0.979088805438434 199.433749604857 139.469603772336 1.43957494645634 1.17672254439289 3.83167345315232 21.3789999008179 0.118000000715256 1.84899997711182 0.303999990224838 2458167.001991 2458304.693252 0
