# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2021-11-17 at 21:28:31
#
# Requested input R.A. = 10.9296370 degrees
# Requested input Dec. = 37.0608260 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459900.00000 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 649 13 1 ZTF_r 514448874915 0 3.2917 127.002 14.9782 26.0052 1.33573e-05 0.0425381 0.0884739 2.31479e-05 876 30. 0.064527 0.062744 18.8523 26.0052 1 2458268.9488773 649120249 null null null null null null null null null null null null null 2458280.976262 2458353.965232 56,57
 1 695 3 3 ZTF_r 514449801115 0 2.3787 163.46 14.9244 26.0619 8.2718e-06 0.0374228 0.0851891 1.44342e-05 1074 30. 0.06247 0.061494 19.1435 26.0619 1 2458268.9498032 695120211 -35.962001762702 67.9460392435038 -0.588754871300023 1.02620820210198 198.447442879223 117.865729313017 1.69501346141169 1.04579556197304 2.55043449228567 20.6880001068115 0.0879999995231628 2.15199995040894 0.202000007033348 2458277.928403 2458322.878032 0
 2 649 13 1 ZTF_g 514466684915 0 2.8487 98.5025 17.3053 26.0633 2.79975e-05 0.0437913 -0.0431007 7.3531e-05 519 30. 0.06171 0.056604 18.8443 26.0633 1 2458268.9666898 649120149 null null null null null null null null 2.54047489582757 21.9290000915527 0.150000005960464 0.672999978065491 0.115000002086163 2458274.951609 2458345.904479 56
 3 649 13 1 ZTF_r 517444584915 0 2.6585 125.382 10.825 25.9967 6.9896e-06 0.0322846 0.0869078 1.20306e-05 956 30. 0.069576 0.05926 19.3561 25.9967 1 2458271.9445833 649120249 null null null null null null null null null null null null null 2458280.976262 2458353.965232 56,57
 4 695 3 3 ZTF_r 517445501115 0 2.2515 161.911 10.9875 26.0326 6.0853e-06 0.0321257 0.101954 1.05706e-05 1083 30. 0.067068 0.052905 19.5177 26.0326 1 2458271.9455093 695120211 -1.22862458776273 54.0007321290348 -0.0253089632695664 0.924310684076187 44.2157282722217 93.2714608416564 0.477246987925407 1.05794867135849 2.55043449228567 20.6880001068115 0.0879999995231628 2.15199995040894 0.202000007033348 2458277.928403 2458322.878032 0
 5 695 3 3 ZTF_g 520451151115 0 3.0076 89.9008 8.4256 26.1169 1.6332e-05 0.0471858 -0.0584619 3.58029e-05 889 30. 0.060724 0.049944 19.658 26.1169 1 2458274.9511574 695120111 2.13108749511421 53.6250037927307 0.0442067661198063 0.995604260892717 -96.939677048318 79.3413425110522 -1.23003428303547 1.07805592083287 2.17545674947976 21.2419998168945 0.0689999982714653 0.717000007629395 0.127000004053116 2458274.951157 2458311.859884 0
 6 649 13 1 ZTF_g 520451604915 0 2.7579 92.9144 9.07499 25.9716 1.56727e-05 0.0429563 -0.0548904 3.43164e-05 785 30. 0.052862 0.047658 19.5093 25.9716 1 2458274.9516088 649120149 null null null null null null null null 2.54047489582757 21.9290000915527 0.150000005960464 0.672999978065491 0.115000002086163 2458274.951609 2458345.904479 56
 7 695 3 3 ZTF_r 520477171115 0 2.0155 180.999 9.74694 26.1377 4.0606e-06 0.0263467 0.089791 7.07234e-06 1082 30. 0.044001 0.038088 19.843 26.1377 1 2458274.9771759 695120211 18.8853678625684 42.8777890308657 0.489945605554506 1.0388066866939 52.9556411698362 79.2001346831929 0.673133962122244 1.04456006322536 2.55043449228567 20.6880001068115 0.0879999995231628 2.15199995040894 0.202000007033348 2458277.928403 2458322.878032 0
 8 649 13 1 ZTF_r 520477624915 0 2.1593 138.68 9.88266 26.1099 4.0071e-06 0.0243801 0.0879983 6.90018e-06 943 30. 0.044162 0.037449 19.714 26.1099 1 2458274.9776273 649120249 null null null null null null null null null null null null null 2458280.976262 2458353.965232 56,57
