# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2021-11-17 at 14:06:58
#
# Requested input R.A. = 297.5265170 degrees
# Requested input Dec. = 66.0824820 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459900.00000 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 850 3 2 ZTF_g 450410631015 8 5.7567 80.3644 10.2255 26.1917 3.20382e-05 0.0436918 -0.0855121 9.00122e-05 753 30. 0.10632 0.107525 18.9039 26.1917 1 2458204.9106366 850120110 25.693052990408 91.4027133917236 0.312688151609254 1.01814286822814 -9.56892674726707 106.207023364374 -0.0907037379854544 1.25411277725339 null null null null null 2458230.988206 2458426.695937 57
 1 850 3 2 ZTF_g 450453321015 8 5.0079 85.2353 7.75341 26.2479 1.66753e-05 0.044629 -0.104785 4.36545e-05 1389 30. 0.085025 0.08035 19.4082 26.2479 1 2458204.9533218 850120110 -67.1151474374326 56.8161842907986 -1.31402396534956 1.00490713563845 -82.9665016863707 68.9448460401271 -1.21147976456551 1.1277734751416 null null null null null 2458230.988206 2458426.695937 57
 2 850 3 2 ZTF_g 453413281015 0 2.3889 83.2529 16.0446 26.1922 1.16983e-05 0.0421742 -0.0547375 2.9044e-05 1623 30. 0.050117 0.047275 19.2075 26.1922 1 2458207.913287 850120110 37.1029975046016 76.6700905996321 0.538316661322696 1.01366726371656 313.112700017196 135.748571894049 2.32209832979128 1.03689623438411 null null null null null 2458230.988206 2458426.695937 57
 3 850 3 2 ZTF_g 453462321015 0 2.2765 87.3142 14.7666 26.242 9.157e-06 0.0397809 -0.0500172 2.1973e-05 1774 30. 0.043391 0.041982 19.4124 26.242 1 2458207.9623264 850120110 28.3092933299689 64.8342400986461 0.48571263889422 1.12645761058272 109.119826003331 114.720062225562 0.957589737823427 1.04728012041467 null null null null null 2458230.988206 2458426.695937 57
 4 850 3 2 ZTF_g 456518391015 0 2.2909 90.5033 13.0073 26.2668 8.5732e-06 0.0396572 -0.0359085 2.02697e-05 1836 30. 0.045644 0.044605 19.5801 26.2668 1 2458211.0183912 850120110 81.007363191425 66.5760427175315 1.35350953634725 0.966015867161911 204.858186050838 111.372351825934 1.8517873991089 1.0595846002987 null null null null null 2458230.988206 2458426.695937 57
 5 850 3 2 ZTF_r 462499811015 0 4.5611 204.481 7.02406 26.088 4.3167e-06 0.0289765 0.0948395 9.90909e-06 1965 30. 0.061691 0.056235 19.7944 26.088 1 2458216.9998148 850120210 -60.5554772431291 43.7466675211396 -1.53979624713233 0.968304037703035 -166.67314096791 60.7488060805756 -2.76212332369616 1.12013678898763 3.82694684363377 21.8229998588562 0.136000007390976 0.580999970436096 -0.143999993801117 2458244.988472 2458423.603762 0
 6 850 3 2 ZTF_r 462515771015 0 3.7216 207.651 7.80946 26.1124 5.3493e-06 0.032163 0.0990835 1.22503e-05 1958 30. 0.062458 0.059795 19.6419 26.1124 1 2458217.0157755 850120210 5.33068648109249 53.2893280435581 0.111275024296322 1.01424481519529 -8.22855503914785 70.8702188414847 -0.116889364336442 1.14693578806378 3.82694684363377 21.8229998588562 0.136000007390976 0.580999970436096 -0.143999993801117 2458244.988472 2458423.603762 0
 7 850 3 2 ZTF_r 476449781015 0 2.009 145.796 7.56288 25.7279 4.2521e-06 0.0288904 0.080429 9.70766e-06 1968 30. 0.045002 0.04939 19.7442 25.7279 1 2458230.9497801 850120210 5.70755521257555 31.9055212447789 0.198993585977542 1.05438482326745 13.5215160485975 59.6172886261898 0.228332830137532 1.0380148359001 3.82694684363377 21.8229998588562 0.136000007390976 0.580999970436096 -0.143999993801117 2458244.988472 2458423.603762 0
 8 850 3 2 ZTF_g 476488201015 0 2.323 68.984 5.24642 25.9535 6.2658e-06 0.0351565 -0.0663018 1.42521e-05 1967 30. 0.048116 0.057381 20.313 25.9535 1 2458230.988206 850120110 -6.0461618130459 23.397791109443 -0.287448275640972 0.911535986457729 -16.3068157005613 41.2344611982266 -0.398129199835932 1.04013641795229 null null null null null 2458230.988206 2458426.695937 57
 9 850 3 2 ZTF_g 482424961015 0 2.1697 86.9179 12.8953 26.1904 8.8615e-06 0.0396639 -0.0248829 2.11515e-05 1801 30. 0.041922 0.043111 19.5738 26.1904 1 2458236.9249653 850120110 64.8862222717568 63.8474838618575 1.13048161548385 0.974876840479698 42.1219695255471 108.921297101603 0.389323892959417 1.06942228258374 null null null null null 2458230.988206 2458426.695937 57
