# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2021-11-17 at 14:10:05
#
# Requested input R.A. = 252.0537710 degrees
# Requested input Dec. = 48.0805660 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459900.00000 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 762 11 2 ZTF_r 444427994215 0 1.7907 194.604 5.99629 26.3739 2.723e-06 0.0199745 0.103671 4.90125e-06 893 30. 0.039102 0.041718 20.7167 26.3739 2 2458198.9279977 762120242 15.92317062837 26.1396307673683 0.677617949104968 1.00411331775696 54.5666732979853 50.5950212633154 1.08576262269439 1.03933082959309 4.56943527250605 19.583000087738 0.104999996721745 6.07200002670288 0.451999992132187 2458186.910741 2458219.000845 0
 1 762 11 2 ZTF_r 444448404215 0 1.5204 195.904 6.08876 26.3806 3.733e-06 0.0234088 0.10393 6.69816e-06 894 30. 0.048518 0.051339 20.7963 26.3806 1 2458198.9484028 762120242 15.0902938945451 24.3325028154601 0.689867549651107 1.0073723323689 50.4847183900439 47.9020794836889 1.0610131422445 1.03867274871737 4.56943527250605 19.583000087738 0.104999996721745 6.07200002670288 0.451999992132187 2458186.910741 2458219.000845 0
 2 762 11 2 ZTF_r 444449374215 0 1.5106 196.483 6.08576 26.3816 3.7944e-06 0.0236224 0.108297 6.8266e-06 893 30. 0.048143 0.051552 20.7929 26.3816 2 2458198.949375 762120242 18.0632797862802 26.663135488154 0.75359878644504 0.927219551610568 89.8975611601241 52.6591754229769 1.71865635342433 1.03839104536806 4.56943527250605 19.583000087738 0.104999996721745 6.07200002670288 0.451999992132187 2458186.910741 2458219.000845 0
 3 762 11 2 ZTF_r 444468954215 0 1.7358 193.119 6.01558 26.3743 3.9402e-06 0.0240844 0.1065 7.0757e-06 893 30. 0.041733 0.056135 20.7601 26.3743 1 2458198.9689583 762120242 14.7972229248261 27.0849411827062 0.607725026052831 1.00929537729311 81.2120122348049 52.7393810836517 1.55024534095406 1.04017615502472 4.56943527250605 19.583000087738 0.104999996721745 6.07200002670288 0.451999992132187 2458186.910741 2458219.000845 0
 4 762 11 2 ZTF_r 444469914215 0 1.4692 196.766 5.97914 26.3747 3.9167e-06 0.0240143 0.105219 7.03634e-06 893 30. 0.050752 0.054459 20.8126 26.3747 2 2458198.969919 762120242 -20.4326533786041 25.8985817128654 -0.877614090327665 0.990601030521366 28.1887674369745 51.0478452555638 0.555922003473939 1.03917009288813 4.56943527250605 19.583000087738 0.104999996721745 6.07200002670288 0.451999992132187 2458186.910741 2458219.000845 0
 5 762 11 2 ZTF_r 444486214215 0 1.3904 185.439 6.16652 26.3089 4.1813e-06 0.024738 0.10583 7.52569e-06 888 30. 0.055925 0.059546 20.7288 26.3089 2 2458198.9862153 762120242 -21.2156051640818 26.6673655331395 -0.884973184762904 0.976202332436036 -68.1121957743135 51.2340781899517 -1.33838526531997 1.04343967854287 4.56943527250605 19.583000087738 0.104999996721745 6.07200002670288 0.451999992132187 2458186.910741 2458219.000845 0
 6 762 11 2 ZTF_r 444511294215 0 1.4372 194.708 5.91015 26.3717 3.7722e-06 0.0234607 0.110072 6.7033e-06 891 30. 0.047221 0.059459 20.8305 26.3717 2 2458199.0112963 762120242 58.5112592219306 26.7835033208548 2.4301152063994 0.927426476272632 115.784700592692 51.9165453268883 2.24522869306706 1.03991683833362 4.56943527250605 19.583000087738 0.104999996721745 6.07200002670288 0.451999992132187 2458186.910741 2458219.000845 0
 7 762 11 2 ZTF_g 449412264215 0 2.2171 137.06 6.54384 26.3254 5.0533e-06 0.026992 -0.0578815 9.35399e-06 878 30. 0.042901 0.04549 20.5423 26.3254 2 2458203.9122685 762120142 -15.4820559656972 30.0530728752304 -0.573052682273465 1.0180231838668 -45.6737185587939 52.5318114485449 -0.8753045519125 1.06050516224024 4.45759989653766 20.2050001144409 0.096000000834465 4.46400022506714 0.259999990463257 2458167.012384 2458206.023137 0
 8 762 11 2 ZTF_g 450413924215 0 3.2212 136.436 8.60503 26.3456 1.06819e-05 0.036333 -0.0821514 2.34375e-05 768 30. 0.067164 0.062773 19.8 26.3456 2 2458204.9139236 762120142 34.6736317319658 55.5655943676983 0.694141754405879 0.989505791116553 2.24865766933153 80.2608210820916 0.0282055737480601 1.06448305686955 4.45759989653766 20.2050001144409 0.096000000834465 4.46400022506714 0.259999990463257 2458167.012384 2458206.023137 0
 9 762 11 2 ZTF_g 450434474215 0 2.6468 138.499 7.75914 26.352 8.7279e-06 0.0348355 -0.0886991 1.69316e-05 855 30. 0.052109 0.052855 20.0888 26.352 2 2458204.9344792 762120142 58.8125820849309 40.9297922844099 1.59840013430367 0.966552755770363 62.4884497742157 66.4065491250105 0.947335976761649 1.04865544228826 4.45759989653766 20.2050001144409 0.096000000834465 4.46400022506714 0.259999990463257 2458167.012384 2458206.023137 0
 10 762 11 2 ZTF_g 450451354215 0 3.047 140.747 6.80215 26.3575 8.9447e-06 0.0349485 -0.0787598 1.80225e-05 833 30. 0.056492 0.056571 20.1094 26.3575 2 2458204.9513542 762120142 62.7108787112692 42.1207435293671 1.65615758669064 0.948742489399242 83.6155713695027 62.2824973362684 1.351563130152 1.07137060315679 4.45759989653766 20.2050001144409 0.096000000834465 4.46400022506714 0.259999990463257 2458167.012384 2458206.023137 0
 11 762 11 2 ZTF_g 450464454215 0 2.5131 141.042 5.5237 26.3587 5.2784e-06 0.0278018 -0.0780842 9.57341e-06 889 30. 0.051628 0.048307 20.5314 26.3587 2 2458204.964456 762120142 -49.312570713956 30.1303890125603 -1.82057135635327 0.967081738132875 -47.8590738051857 50.0370287600977 -0.96291503741832 1.05724747465917 4.45759989653766 20.2050001144409 0.096000000834465 4.46400022506714 0.259999990463257 2458167.012384 2458206.023137 0
 12 762 11 2 ZTF_g 450494614215 0 2.8752 141.029 4.46378 26.3571 7.411e-06 0.0330767 -0.079355 1.33612e-05 894 30. 0.062963 0.05572 20.6078 26.3571 1 2458204.9946181 762120142 0.0947536044978314 29.444954252653 0.00357964251102213 0.938307441757385 38.437472486811 45.1374929013244 0.857299521710271 1.07156096327645 4.45759989653766 20.2050001144409 0.096000000834465 4.46400022506714 0.259999990463257 2458167.012384 2458206.023137 0
 13 762 11 2 ZTF_g 450495534215 0 2.6794 141.288 4.4317 26.3606 5.6736e-06 0.0287616 -0.0825526 1.02966e-05 888 30. 0.058099 0.05266 20.6882 26.3606 2 2458204.9955324 762120142 20.5391215016618 26.3176034861077 0.86814111694447 0.987367422423885 2.87436569497162 41.739980438985 0.069327409425446 1.06497624880105 4.45759989653766 20.2050001144409 0.096000000834465 4.46400022506714 0.259999990463257 2458167.012384 2458206.023137 0
 14 762 11 2 ZTF_g 450500834215 0 3.1395 141.093 4.4926 26.3529 7.0518e-06 0.0319727 -0.0713443 1.28871e-05 882 30. 0.073838 0.05662 20.5329 26.3529 2 2458205.0008333 762120142 -9.3238142939693 30.9391787643026 -0.335227496876892 0.95948656869462 -8.15545057224644 45.0023848733207 -0.182443175493597 1.08438575851462 4.45759989653766 20.2050001144409 0.096000000834465 4.46400022506714 0.259999990463257 2458167.012384 2458206.023137 0
 15 762 11 2 ZTF_g 451422524215 0 2.6053 52.7889 15.763 25.2821 6.02219e-05 0.0529352 -0.0213148 0.000175855 350 30. 0.061435 0.063641 18.2482 25.2821 2 2458205.9225231 762120142 -70.7912382279375 86.3104292430034 -0.912370077200969 0.999659352593047 -122.430412599806 138.676660946054 -0.888794030890567 1.06656985599113 4.45759989653766 20.2050001144409 0.096000000834465 4.46400022506714 0.259999990463257 2458167.012384 2458206.023137 0
