# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2021-11-17 at 14:10:02
#
# Requested input R.A. = 127.2054830 degrees
# Requested input Dec. = 75.3280720 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459900.00000 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 859 7 2 ZTF_r 445255712615 0 1.9354 34.1683 13.0304 23.8692 6.13745e-05 0.0476697 0.121364 0.000134547 280 30. 0.044818 0.045182 17.2699 23.8692 1 2458199.7557176 859120226 -24.8676960923374 52.0096465049496 -0.531871170272373 1.0911357253578 0.578770292596396 105.86247604284 0.00550401205032022 1.03183005526098 0.231447457784745 17.3160003662109 0.068000003695488 6.18699979782104 0.398000001907349 2458160.744526 2458424.841609 0
 1 859 7 2 ZTF_r 445274272615 0 2.0309 232.271 8.32752 25.9246 6.291e-06 0.0251496 0.0874004 1.04764e-05 704 30. 0.037003 0.037912 19.9252 25.9246 1 2458199.7742708 859120226 -65.7931192846076 30.4283164699078 -2.40523410674872 0.979259046038097 -16.280346354015 59.3852539956317 -0.275994364267654 1.02586681396652 0.231447457784745 17.3160003662109 0.068000003695488 6.18699979782104 0.398000001907349 2458160.744526 2458424.841609 0
 2 859 7 2 ZTF_g 450229442615 0 4.6577 120.973 10.9191 26.2726 3.28807e-05 0.0404912 -0.143422 8.40065e-05 399 30. 0.074534 0.078135 19.1143 26.2726 1 2458204.7294444 859120126 70.9777643767314 79.6298276416556 0.991519686351223 0.972368416583223 87.7587827296898 99.8298151705532 0.885004575332805 1.0861562300861 0.343132584277848 17.9709999084473 0.0480000004172325 4.42399978637695 0.144999995827675 2458255.682257 2458441.973067 0
 3 859 7 2 ZTF_g 453293002615 0 2.0236 120.029 15.5416 26.22 1.84394e-05 0.0376527 -0.0732414 3.88708e-05 559 30. 0.037185 0.036846 19.4317 26.22 1 2458207.7930093 859120126 143.828526836208 67.5426010953883 2.36876540558841 1.00863838313542 317.721269227715 126.419134781707 2.53016397247415 1.03983249476648 0.343132584277848 17.9709999084473 0.0480000004172325 4.42399978637695 0.144999995827675 2458255.682257 2458441.973067 0
 4 859 7 2 ZTF_g 453313402615 0 1.8268 41.3964 28.4316 25.0491 0.000823438 0.124923 -0.0144486 0.00255337 203 30. 0.056639 0.051526 17.6494 25.0491 1 2458207.8134028 859120126 4.15890505473783 99.1922822935708 0.0466397188664298 0.900259217187689 -155.793712602733 194.831821608639 -0.805017326870465 1.03490718480961 0.343132584277848 17.9709999084473 0.0480000004172325 4.42399978637695 0.144999995827675 2458255.682257 2458441.973067 0
 5 859 7 2 ZTF_g 456251112615 0 1.9743 106.37 13.5668 26.1038 1.7558e-05 0.0381607 -0.071771 3.63211e-05 576 30. 0.039619 0.03999 19.5236 26.1038 1 2458210.7511111 859120126 174.745526516133 57.2854536688914 3.39325510315903 0.994314951776589 175.07600861246 105.400433293503 1.67224317866548 1.04609219234998 0.343132584277848 17.9709999084473 0.0480000004172325 4.42399978637695 0.144999995827675 2458255.682257 2458441.973067 0
 6 859 7 2 ZTF_g 456271712615 0 2.4795 114.504 12.8114 26.1769 1.75876e-05 0.0377156 -0.0622558 3.68291e-05 568 30. 0.048421 0.04561 19.5271 26.1769 1 2458210.771713 859120126 -54.0492813200477 61.075632107304 -0.984411671691019 0.933129845046496 -129.083588215419 105.601689233968 -1.23059559512294 1.05538894629623 0.343132584277848 17.9709999084473 0.0480000004172325 4.42399978637695 0.144999995827675 2458255.682257 2458441.973067 0
 7 859 7 2 ZTF_g 462190762615 0 4.1598 116.684 4.17794 26.1922 1.54451e-05 0.0367233 -0.0605732 2.99794e-05 623 30. 0.080471 0.073088 20.1913 26.1922 1 2458216.6907639 859120126 67.5515901386284 35.694773118006 2.1051631140121 0.939648414611895 36.5489512388996 44.1286860759229 0.833813870302609 1.18748624822684 0.343132584277848 17.9709999084473 0.0480000004172325 4.42399978637695 0.144999995827675 2458255.682257 2458441.973067 0
 8 859 7 2 ZTF_r 462210992615 8 5.2816 288.473 5.65414 26.1847 1.63344e-05 0.0397604 0.087406 2.78409e-05 675 30. 0.081414 0.097955 19.618 26.1847 1 2458216.7109954 859120226 -57.4784521725431 57.7083987172067 -1.10795173504086 0.974099507247435 -30.906403511738 66.5442108400644 -0.467577262165884 1.35020472713753 0.231447457784745 17.3160003662109 0.068000003695488 6.18699979782104 0.398000001907349 2458160.744526 2458424.841609 0
