# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2021-11-17 at 14:10:02
#
# Requested input R.A. = 196.6050670 degrees
# Requested input Dec. = 53.4793210 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459900.00000 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 790 5 3 ZTF_r 444372761915 0 1.7704 141.738 6.85086 25.9613 1.47086e-05 0.0254523 0.112976 2.08982e-05 327 30. 0.050658 0.046248 20.1368 25.9613 2 2458198.8727662 790120219 -12.2615932312874 29.9769411491859 -0.45500313652228 14.5554328354828 -82.4877743068957 59.3220072755858 -1.3998739763979 1.03621470657468 1.6440474101626 19.0789999008179 0.103000000119209 6.44399976730347 0.714999973773956 2458182.872500 2458219.793958 0
 1 791 8 2 ZTF_r 444374673015 0 1.6476 162.719 7.25223 25.861 1.82749e-05 0.0289417 0.121885 2.56414e-05 325 30. 0.060204 0.056272 20.037 25.861 2 2458198.8746759 791120230 -27.5535807856017 34.2173376595774 -0.895749619104157 12.9248477408152 16.6737770845452 64.3393389920068 0.260899104583889 1.04678219177171 1.61592088455057 18.9939998626709 0.128000006079674 6.86299991607666 0.952000021934509 2458182.874259 2458217.876111 0
 2 791 8 2 ZTF_r 444383263015 0 2.0752 195.352 6.63626 26.05 1.5575e-05 0.0268088 0.121688 2.18831e-05 326 30. 0.060068 0.05255 20.3084 26.05 2 2458198.8832639 791120230 -14.124379622459 33.124997291552 -0.474316607701147 17.71231055317 20.3740046065957 58.6811700861442 0.349536736737306 1.06245544332429 1.61592088455057 18.9939998626709 0.128000006079674 6.86299991607666 0.952000021934509 2458182.874259 2458217.876111 0
 3 791 8 2 ZTF_r 444408653015 0 1.7564 227.991 5.72552 26.2176 1.80514e-05 0.0287337 0.121901 2.52936e-05 325 30. 0.068728 0.057899 20.7196 26.2176 2 2458198.9086574 791120230 12.839607301458 25.6685623817063 0.556422901183989 34.2381531509654 7.64868789915203 48.6200739647392 0.158374959647404 1.04671790223351 1.61592088455057 18.9939998626709 0.128000006079674 6.86299991607666 0.952000021934509 2458182.874259 2458217.876111 0
 4 790 5 3 ZTF_r 445300761915 2080 1.958 9.68916 9.32496 22.9737 0.00707686 0.260191 0.22188 0.0111845 89 30. 0.056722 0.05947 16.7217 22.9737 2 2458199.8007639 790120219 17.8733245493745 36.8452729295249 0.539607981344297 1.10683036303366 -27.6412455980523 71.9243320175961 -0.386898427790526 1.05330507880754 1.6440474101626 19.0789999008179 0.103000000119209 6.44399976730347 0.714999973773956 2458182.872500 2458219.793958 0
 5 791 8 2 ZTF_r 445317623015 0 1.5565 272.332 15.9014 25.4116 1.92324e-05 0.0299253 0.122447 2.70218e-05 326 30. 0.063662 0.053591 19.6863 26.275 2 2458199.8176273 791120230 1.99450687754982 65.10723990907 0.0340769764871107 17.5830235225519 42.9936412076054 129.09845617906 0.335272838543783 1.02393701594029 1.61592088455057 18.9939998626709 0.128000006079674 6.86299991607666 0.952000021934509 2458182.874259 2458217.876111 0
 6 790 5 3 ZTF_r 445318121915 0 2.0551 85.6101 6.99739 25.4307 2.42673e-05 0.0329415 0.107607 3.40799e-05 330 30. 0.050196 0.050418 19.4548 25.4307 2 2458199.818125 790120219 -5.96244833861697 33.7302415791911 -0.196634617888044 2.19070901856535 6.72147086124511 63.9641387909791 0.10578959526567 1.03688074755931 1.6440474101626 19.0789999008179 0.103000000119209 6.44399976730347 0.714999973773956 2458182.872500 2458219.793958 0
 7 791 8 2 ZTF_r 445342463015 0 1.6676 272.738 37.0895 24.4753 5.02122e-05 0.0462548 0.0873179 7.19956e-05 296 30. 0.063975 0.052916 18.6662 26.275 2 2458199.8424653 791120230 89.1325408858958 170.234815927804 0.582428613325582 2.92797437552908 -30.955085103427 331.651115121706 -0.0939649166298159 1.03226766426979 1.61592088455057 18.9939998626709 0.128000006079674 6.86299991607666 0.952000021934509 2458182.874259 2458217.876111 0
 8 790 5 3 ZTF_g 448284451915 0 2.5088 208.383 7.19392 26.2535 2.76836e-05 0.0351624 -0.0785775 4.04895e-05 320 30. 0.061351 0.047257 20.1192 26.2535 2 2458202.784456 790120119 3.61115727608746 35.8394779362491 0.112082944044877 1.17202047361937 18.3279449062293 58.8603945187851 0.313477081159908 1.07171165347665 1.79718934965736 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
