# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2021-11-17 at 14:13:05
#
# Requested input R.A. = 220.4191020 degrees
# Requested input Dec. = 19.3491380 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459900.00000 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 581 12 2 ZTF_g 448376344615 0 2.6053 82.9324 5.45432 26.2663 1.38684e-05 0.0316306 -0.0245173 2.37851e-05 427 30. 0.060769 0.059297 20.475 26.2663 1 2458202.8763426 581120146 32.5935010964203 30.0770451254711 1.20545401355089 0.97506926184686 100.166776184596 45.7419562675697 2.20457132605806 1.13131039068815 3.93977525421629 20.2050001144409 0.126000002026558 6.36100006103516 0.441000014543533 2458167.006447 2458288.713090 0
 1 581 12 2 ZTF_g 451368914615 0 2.4028 80.6674 10.7369 26.265 1.84479e-05 0.0355502 -0.0413661 3.53768e-05 393 30. 0.058977 0.057838 19.7291 26.265 1 2458205.868912 581120146 -20.9454749341724 51.3868089139499 -0.453412369927769 1.21371825756718 -1.58843620269903 83.0317695175602 -0.0192593078674127 1.09741554189246 3.93977525421629 20.2050001144409 0.126000002026558 6.36100006103516 0.441000014543533 2458167.006447 2458288.713090 0
 2 581 12 2 ZTF_g 451402984615 0 3.233 72.8242 11.1529 26.1585 2.95565e-05 0.0400327 -0.0429413 6.19638e-05 308 30. 0.073274 0.067579 19.3219 26.1585 1 2458205.9029861 581120146 78.771926103485 68.2103403064257 1.28462405377897 1.05980809730876 139.383808808746 95.2820127825819 1.4727078352207 1.13643182677276 3.93977525421629 20.2050001144409 0.126000002026558 6.36100006103516 0.441000014543533 2458167.006447 2458288.713090 0
 3 581 12 2 ZTF_g 454387364615 1 1.8669 64.7651 28.63 25.877 0.000115697 0.0522425 -0.0501207 0.000252275 149 30. 0.062187 0.059545 18.4105 25.877 1 2458208.8873611 581120146 -18.6794111094287 144.57588715285 -0.143721623904569 0.986043688788015 -93.2269545628909 236.670458883064 -0.396563406808827 1.13902398361454 3.93977525421629 20.2050001144409 0.126000002026558 6.36100006103516 0.441000014543533 2458167.006447 2458288.713090 0
 4 581 12 2 ZTF_g 454408204615 1 2.2858 59.2876 29.523 25.8473 0.000162865 0.0519825 -0.0589359 0.00038838 117 30. 0.058103 0.067177 18.2521 25.8473 1 2458208.908206 581120146 -146.222230316837 155.587822856019 -1.0454243253692 1.12785568283847 -236.957533742291 246.348795184597 -0.968356497082191 1.16700987975461 3.93977525421629 20.2050001144409 0.126000002026558 6.36100006103516 0.441000014543533 2458167.006447 2458288.713090 0
 5 581 12 2 ZTF_g 457364994615 0 3.0482 83.655 14.3912 26.2947 4.61457e-05 0.0466509 -0.00966789 9.77232e-05 271 30. 0.067916 0.079093 19.2256 26.2947 1 2458211.865 581120146 14.7552147224894 98.6223590726152 0.166427445873597 1.00552057320907 -8.77767855570919 137.783747785548 -0.0641352617259241 1.19622887356854 3.93977525421629 20.2050001144409 0.126000002026558 6.36100006103516 0.441000014543533 2458167.006447 2458288.713090 0
 6 581 12 2 ZTF_g 457397704615 0 3.5648 84.6841 14.5598 26.3144 5.08297e-05 0.0442076 -0.0387581 0.000109336 225 30. 0.073713 0.08127 19.0828 26.3144 1 2458211.8977083 581120146 88.0327434925273 115.247526310067 0.849703535529378 1.03164700962516 182.335477739429 150.311436529129 1.22122123180618 1.2709986683173 3.93977525421629 20.2050001144409 0.126000002026558 6.36100006103516 0.441000014543533 2458167.006447 2458288.713090 0
 7 581 12 2 ZTF_r 460345244615 0 2.9631 103.491 9.12924 25.7524 2.34594e-05 0.0412629 0.107249 3.92119e-05 429 30. 0.066814 0.071648 19.2313 25.7524 1 2458214.8452431 581120246 13.8324078381482 60.5714309154448 0.254029850724328 1.02451533439209 31.4438387177543 86.6653827075535 0.365262504954908 1.15438644527534 3.93882311140569 19.9 0.144999995827675 6.96000003814697 0.574999988079071 2458160.996539 2458226.836192 0
 8 581 12 2 ZTF_i 460367704615 48 2.9245 26.5125 12.5952 23.3465 0.000152971 0.0597513 0.214993 0.000595455 79 30. 0.092399 0.076777 16.4643 23.3465 2 2458214.8677083 581120346 -47.7723974080363 76.9689473626204 -0.690424653107278 1.00667745610192 -74.4995432768319 113.522087565613 -0.660675852562846 1.10667541836326 3.70018385676397 21.9190000629425 0.252000004053116 1.09399998188019 -0.254000008106232 2458173.974560 2458332.660266 0
