# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.6 on 2021-08-11 at 01:21:24
#
# Requested input R.A. = 236.9756839 degrees
# Requested input Dec. = 44.6520560 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459510.00000 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 760 1 2 ZTF_r 444362250215 0 2.5006 191.747 6.0695 26.1393 5.8548e-06 0.024567 0.0871627 9.64901e-06 605 30. 0.051983 0.051276 20.2731 26.275 2 2458198.8622569 760120202 -46.7507894331575 29.5657891058916 -1.75895316219525 0.933772784191826 -84.0466364583428 51.8323467873046 -1.63243033809979 1.03232654178595 2.80276602196729 22.4490000247955 0.195999994874001 0.76800000667572 0.166999995708466 2458155.055255 2458217.965868 0
 1 760 1 2 ZTF_r 444387020215 0 1.7537 191.747 7.86189 25.9585 5.2104e-06 0.0231639 0.0950321 8.58002e-06 607 30. 0.044687 0.045997 20.2953 26.275 2 2458198.8870255 760120202 8.96650032779269 29.8728016657669 0.333888771579397 0.983739660984817 79.5280409853883 60.9972886157251 1.31257747244232 1.02022318931159 2.80276602196729 22.4490000247955 0.195999994874001 0.76800000667572 0.166999995708466 2458155.055255 2458217.965868 0
 2 760 1 2 ZTF_r 444404840215 0 1.5977 191.741 5.75813 26.1372 5.0853e-06 0.0229482 0.0932526 8.3501e-06 609 30. 0.049964 0.048666 20.6494 26.275 2 2458198.9048495 760120202 -14.3850352889498 21.7842547732601 -0.734552811193115 0.911516919668753 73.2493447252074 45.7582860327571 1.61157004927011 1.0186777515682 2.80276602196729 22.4490000247955 0.195999994874001 0.76800000667572 0.166999995708466 2458155.055255 2458217.965868 0
 3 760 1 2 ZTF_r 444432250215 0 1.5834 191.749 5.62118 26.1358 4.9705e-06 0.0226055 0.0986201 8.16607e-06 606 30. 0.044074 0.048289 20.6749 26.275 2 2458198.9322569 760120202 -14.0272813778084 20.0207462479704 -0.779377831455472 1.05030269193696 28.2971374316121 41.7791526347086 0.681864482254259 1.01957271005909 2.80276602196729 22.4490000247955 0.195999994874001 0.76800000667572 0.166999995708466 2458155.055255 2458217.965868 0
 4 760 1 2 ZTF_r 444476530215 0 1.7627 191.802 6.18677 26.0823 7.8217e-06 0.0282592 0.103723 1.28543e-05 606 30. 0.050792 0.050359 20.5261 26.275 2 2458198.9765394 760120202 -21.3876870813257 26.0934262756036 -0.9117746498682 0.902166524732176 -60.9829047723719 51.1152868337443 -1.20108155402407 1.02610715811597 2.80276602196729 22.4490000247955 0.195999994874001 0.76800000667572 0.166999995708466 2458155.055255 2458217.965868 0
 5 760 1 2 ZTF_r 444481970215 0 1.9545 191.781 5.82555 26.1076 1.02139e-05 0.0323962 0.110735 1.67905e-05 605 30. 0.056806 0.051962 20.5154 26.275 2 2458198.9819792 760120202 11.8873952912626 23.9003528974829 0.553270089228011 1.0375380121322 17.3855480712712 45.04014145687 0.388600927343167 1.03292219663973 2.80276602196729 22.4490000247955 0.195999994874001 0.76800000667572 0.166999995708466 2458155.055255 2458217.965868 0
 6 760 1 2 ZTF_g 448381560215 0 2.094 142.557 4.85195 26.1909 5.94e-06 0.0247918 -0.0408232 9.84818e-06 603 30. 0.047162 0.047636 20.7401 26.1909 1 2458202.8815625 760120102 19.1069883668781 17.8189239717221 1.19279432847357 1.09031608582534 74.1966376299453 32.0986386760756 2.32708798049289 1.04496136761692 null null null null null 2458166.989815 2458206.003542 57
 7 760 1 2 ZTF_g 449383700215 0 2.275 141.335 6.67438 26.1684 9.016e-06 0.0302006 -0.0372251 1.53686e-05 589 30. 0.045195 0.047607 20.2749 26.1684 2 2458203.8837037 760120102 43.0846948040041 31.3404143797442 1.52923098009191 0.894628310624346 82.3281739766473 54.1076111631171 1.53181146207433 1.05524586862735 null null null null null 2458166.989815 2458206.003542 57
 8 760 1 2 ZTF_g 449411290215 0 1.9937 144.395 5.67314 26.2042 7.3843e-06 0.027733 -0.043562 1.22151e-05 603 30. 0.0438 0.046138 20.5259 26.2042 2 2458203.9112963 760120102 6.52423748945139 26.6878320104497 0.27193885667836 0.904784650722216 27.590045989661 49.0533007431071 0.566238481733467 1.04334543150726 null null null null null 2458166.989815 2458206.003542 57
