# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2021-11-17 at 14:10:05
#
# Requested input R.A. = 357.5594680 degrees
# Requested input Dec. = 10.1281470 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459900.00000 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 549 5 2 ZTF_r 514446121815 0 2.6408 129.993 14.3446 26.1178 1.84845e-05 0.0372017 0.0967392 2.74113e-05 503 30. 0.069884 0.061581 19.165 26.1178 1 2458268.9461227 549120218 58.7235735222389 67.8105385919782 0.963318904766077 1.182993616954 70.7649649334064 113.621096688184 0.62701006344975 1.04637826419734 1.61956617780879 19.8590001106262 0.0949999988079071 4.29699993133545 0.580999970436096 2458281.963738 2458378.785243 0
 1 549 5 2 ZTF_r 517441821815 0 2.2893 129.273 11.631 26.0795 1.27786e-05 0.0312497 0.118734 1.89187e-05 511 30. 0.075399 0.077926 19.4728 26.0795 1 2458271.9418287 549120218 -63.1374018969839 61.11634956453 -1.14916952820067 0.947971203235928 -146.069930845904 106.450187554848 -1.3814322324092 1.05363246026304 1.61956617780879 19.8590001106262 0.0949999988079071 4.29699993133545 0.580999970436096 2458281.963738 2458378.785243 0
 2 549 5 2 ZTF_g 521468791815 0 3.0035 71.7414 9.20328 26.1773 2.09819e-05 0.0362 -0.088549 3.92519e-05 416 30. 0.066577 0.070854 19.6186 26.1773 1 2458275.9687963 549120118 0.195977005915516 54.0397062531331 0.00403410260283036 1.07288445247044 4.39710345152374 81.8775971591529 0.0540650721301956 1.08300103586916 1.44612167942755 20.3100001335144 0.108000002801418 4.54500007629395 0.370999991893768 2458275.968796 2458351.904225 0
 3 549 5 2 ZTF_r 524475601815 0 1.9113 145.687 8.65438 26.1774 8.2139e-06 0.0247154 0.125267 1.20646e-05 496 30. 0.052534 0.050466 20.0515 26.1774 1 2458278.9756019 549120218 15.7366661499127 40.0549425877906 0.4370301698111 0.964733129577554 31.9604736374262 74.9614845856528 0.429230149910551 1.04801025474611 1.61956617780879 19.8590001106262 0.0949999988079071 4.29699993133545 0.580999970436096 2458281.963738 2458378.785243 0
 4 549 5 2 ZTF_r 527463731815 0 2.0379 147.435 5.79528 26.2377 6.8869e-06 0.0228752 0.111682 1.0214e-05 509 30. 0.054388 0.051223 20.551 26.2377 1 2458281.9637384 549120218 -43.4889889557922 25.2422254073911 -1.9164896213922 0.953848437442131 -43.6065137353215 47.9651923011396 -0.915251331394802 1.04531233019428 1.61956617780879 19.8590001106262 0.0949999988079071 4.29699993133545 0.580999970436096 2458281.963738 2458378.785243 0
 5 549 5 2 ZTF_r 530477901815 0 2.1752 101.053 8.00605 25.7806 1.35586e-05 0.0317662 0.121787 1.99472e-05 493 30. 0.060722 0.055608 19.7326 25.7806 1 2458284.9779051 549120218 28.0677884352828 37.8601137800512 0.824671679748512 0.955508008689486 59.0743666898091 65.1974131284241 0.912187049985502 1.06417139848182 1.61956617780879 19.8590001106262 0.0949999988079071 4.29699993133545 0.580999970436096 2458281.963738 2458378.785243 0
 6 549 5 2 ZTF_r 533479561815 0 2.4264 149.048 9.1981 26.2306 9.5524e-06 0.026919 0.124429 1.41302e-05 509 30. 0.063327 0.06285 19.8971 26.2306 1 2458287.9795602 549120218 65.603186231184 52.1353067003386 1.39974137835722 0.996699158675453 95.2384413443268 84.0639534010678 1.14055875136962 1.08426275699041 1.61956617780879 19.8590001106262 0.0949999988079071 4.29699993133545 0.580999970436096 2458281.963738 2458378.785243 0
 7 549 5 2 ZTF_g 536443571815 0 2.5545 74.9283 4.2975 26.1845 1.20769e-05 0.0301415 -0.0726963 1.78582e-05 495 30. 0.066877 0.061698 20.5916 26.1845 1 2458290.9435764 549120118 -4.4241382976928 24.0230887641057 -0.204858811863568 0.981790456897651 -15.173747296892 38.8291919479116 -0.393413887635083 1.08124991265192 1.44612167942755 20.3100001335144 0.108000002801418 4.54500007629395 0.370999991893768 2458275.968796 2458351.904225 0
 8 549 5 2 ZTF_g 539442951815 0 2.3744 76.8488 4.06523 26.2156 8.9691e-06 0.0259964 -0.0939556 1.32526e-05 495 30. 0.059071 0.056287 20.7884 26.2156 1 2458293.9429514 549120118 16.8500455109677 19.617877570528 0.955440968234761 0.988323944884469 58.6331652115249 33.9102103774529 1.74071650678777 1.06295783884449 1.44612167942755 20.3100001335144 0.108000002801418 4.54500007629395 0.370999991893768 2458275.968796 2458351.904225 0
