# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2021-11-17 at 14:10:06
#
# Requested input R.A. = 342.6057440 degrees
# Requested input Dec. = 8.8449750 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459900.00000 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 547 2 3 ZTF_g 498461790715 0 3.2739 84.9001 4.75307 26.0903 1.28731e-05 0.034159 -0.0752531 2.0909e-05 650 30. 0.0702 0.068011 20.164 26.0903 1 2458252.961794 547120107 0.443068319013675 29.2706612551858 0.0168380953655536 0.811245552921175 -14.5561586225874 42.5240605342032 -0.344609498817993 1.07051035681518 2.19108972956995 18.6400000572205 0.0860000029206276 6.96400022506714 0.552999973297119 2458252.961794 2458352.879769 56
 1 547 2 3 ZTF_r 502487810715 0 2.4637 139.902 10.2941 26.131 6.3376e-06 0.0252894 0.0921458 9.1606e-06 718 30. 0.054144 0.052235 19.6076 26.131 1 2458256.9878125 547120207 -27.8487368023667 48.5160875971281 -0.63852003719222 0.932039183809496 36.5999789621318 84.17028250677 0.43776117685306 1.04653130467845 2.1654428937432 18.198999786377 0.0850000008940697 6.24300003051758 0.515999972820282 2458259.966366 2458429.645787 0
 2 547 2 3 ZTF_g 505429710715 2048 2.4288 24.9422 4.42752 24.6623 0.000763101 0.225163 0.00514359 0.00147634 481 30. 0.064849 0.059969 19.0575 24.6623 1 2458259.9297106 547120107 -58.3272462424668 20.1548068064256 -3.21919759379639 0.931360829277771 -102.394231015277 33.9947047406904 -3.0323505627928 1.060383808715 2.19108972956995 18.6400000572205 0.0860000029206276 6.96400022506714 0.552999973297119 2458252.961794 2458352.879769 56
 3 547 2 3 ZTF_r 505466360715 0 2.3153 124.474 5.07923 25.991 5.4151e-06 0.0233914 0.10699 7.85825e-06 718 30. 0.059123 0.049338 20.3351 25.991 1 2458259.9663657 547120207 -22.1922050396899 23.2184390540021 -1.06321779826203 0.947653597451925 11.1240952223784 40.2506942793473 0.278231639086811 1.06066191209817 2.1654428937432 18.198999786377 0.0850000008940697 6.24300003051758 0.515999972820282 2458259.966366 2458429.645787 0
 4 547 2 3 ZTF_g 508469660715 0 2.6992 92.1661 4.6026 26.1276 9.3598e-06 0.0305368 -0.000641462 1.41537e-05 704 30. 0.064198 0.052634 20.5377 26.1276 1 2458262.9696644 547120107 23.4572998663774 24.3167906586187 1.07306632190698 0.865460120440554 24.110896418648 38.2224108578049 0.635053732836145 1.09353810602755 2.19108972956995 18.6400000572205 0.0860000029206276 6.96400022506714 0.552999973297119 2458252.961794 2458352.879769 56
 5 547 2 3 ZTF_r 513400740715 0 2.2715 66.1128 25.1663 25.4426 0.000208026 0.115733 0.107362 0.000332948 450 30. 0.07021 0.091375 17.99 25.4426 1 2458267.9007407 547120207 -12.1126495822884 100.332525936728 -0.134292639028197 1.0495147449869 165.437861696774 177.335500986874 0.939192064120774 1.04350673863427 2.1654428937432 18.198999786377 0.0850000008940697 6.24300003051758 0.515999972820282 2458259.966366 2458429.645787 0
 6 547 2 3 ZTF_g 513464240715 0 2.469 92.5736 15.4999 26.1419 2.14856e-05 0.0381839 0.0131233 4.19105e-05 490 30. 0.054455 0.056374 19.1794 26.1419 1 2458267.9642477 547120107 97.487082379193 82.3923144363202 1.31617964918535 0.833994942561817 402.781307990695 135.51139668715 2.99232443312608 1.07078810874013 2.19108972956995 18.6400000572205 0.0860000029206276 6.96400022506714 0.552999973297119 2458252.961794 2458352.879769 56
 7 547 2 3 ZTF_r 516421700715 0 2.8971 127.984 13.3841 26.0295 1.41984e-05 0.0372985 0.105858 2.08957e-05 694 30. 0.078921 0.082799 19.1173 26.0295 1 2458270.9217014 547120207 64.5981772106981 68.6786781919671 1.04629255870135 1.09907552110425 43.1948025737644 104.275015461022 0.417029159497583 1.08157623256051 2.1654428937432 18.198999786377 0.0850000008940697 6.24300003051758 0.515999972820282 2458259.966366 2458429.645787 0
 8 547 2 3 ZTF_g 516474530715 0 2.7235 92.1549 12.7996 26.1405 2.0298e-05 0.0379186 -0.00657479 3.90914e-05 508 30. 0.0664 0.060387 19.326 26.1405 1 2458270.974537 547120107 0.664511866153071 67.344307971829 0.0109763171519595 0.928629632243959 78.1581920466321 104.020951901778 0.756430224183957 1.09673184390292 2.19108972956995 18.6400000572205 0.0860000029206276 6.96400022506714 0.552999973297119 2458252.961794 2458352.879769 56
