# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.4 on 2021-03-16 at 15:55:55
#
# Requested input R.A. = 216.5922135 degrees
# Requested input Dec. = 5.8591436 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459400 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 478 12 1 ZTF_r 444395654515 0 1.9753 189.183 6.26463 26.2814 5.4136e-06 0.0214982 0.100127 9.6191e-06 494 30. 0.050715 0.045635 20.5668 26.2814 1 2458198.8956597 478120245 -28.574476119386 26.1202239153486 -1.21690361805192 1.0471446605341 -78.0728695347426 47.304747712946 -1.66153924506534 1.06169041041262 2.74067403832603 19.0609997749329 0.0920000001788139 5.61999988555908 0.625999987125397 2458186.958530 2458255.771944 0
 1 478 12 1 ZTF_r 444416314515 0 2.0214 189.893 6.24168 26.2751 6.3948e-06 0.0232378 0.0991778 1.14046e-05 489 30. 0.047764 0.046869 20.5373 26.2751 1 2458198.9163194 478120245 26.372260231578 28.1743054592413 1.04123542389469 0.99206517184727 69.4705143474521 50.4391037163124 1.38659090082014 1.06427001370525 2.74067403832603 19.0609997749329 0.0920000001788139 5.61999988555908 0.625999987125397 2458186.958530 2458255.771944 0
 2 478 12 1 ZTF_g 448355614515 0 2.5035 130.144 6.57035 26.2568 1.53856e-05 0.0359009 -0.0287565 2.86577e-05 482 30. 0.060529 0.062875 20.2908 26.2568 1 2458202.8556134 478120145 15.2064581423814 37.1136962747328 0.455773072014319 0.960128258938329 123.168164056768 58.0152762484816 2.13732859250852 1.13164407002091 3.18120894571655 19.4760000228882 0.0759999975562096 4.44199991226196 0.405000001192093 2458202.855613 2458348.652222 0
 3 478 12 1 ZTF_g 451368424515 0 2.6194 123.169 12.2078 26.208 2.84502e-05 0.0427703 -0.0436588 6.79369e-05 389 30. 0.072083 0.063525 19.4678 26.208 1 2458205.8684259 478120145 28.1779015488032 66.2112984804369 0.473403368164504 1.00301107577551 -185.136195679126 103.138405764863 -1.80711634261382 1.10317085584818 3.18120894571655 19.4760000228882 0.0759999975562096 4.44199991226196 0.405000001192093 2458202.855613 2458348.652222 0
 4 478 12 1 ZTF_g 451401114515 0 3.3091 112.303 12.2476 26.113 4.39832e-05 0.0431184 -0.0297378 0.0001177 280 30. 0.074962 0.071136 19.1487 26.113 1 2458205.9011111 478120145 -71.3833425707431 76.3149031412281 -1.04050057358312 1.00772370284694 -109.795889730982 105.616412718233 -1.04657380913236 1.14336735000448 3.18120894571655 19.4760000228882 0.0759999975562096 4.44199991226196 0.405000001192093 2458202.855613 2458348.652222 0
 5 478 12 1 ZTF_g 454337624515 1 2.1278 62.5635 47.5107 25.4568 0.000500538 0.0446182 0.0130774 0.00149766 44 30. 0.083344 0.081386 17.4014 25.4568 1 2458208.8376273 478120145 -100.186086794922 227.712615937889 -0.48941257315173 0.983893248075017 -131.51934486995 380.779259433514 -0.347721499909375 1.12484072230716 3.18120894571655 19.4760000228882 0.0759999975562096 4.44199991226196 0.405000001192093 2458202.855613 2458348.652222 0
 6 478 12 1 ZTF_g 454359444515 1 1.9535 53.9409 45.5055 25.2406 0.00055679 0.0418591 -0.172152 0.00173184 40 30. 0.09858 0.079608 17.2593 25.2406 1 2458208.8594444 478120145 30.6471595303013 224.404819378701 0.151919264939313 1.10815670552129 416.464299505316 378.424571217523 1.10793337011597 1.12930693730706 3.18120894571655 19.4760000228882 0.0759999975562096 4.44199991226196 0.405000001192093 2458202.855613 2458348.652222 0
 7 478 12 1 ZTF_r 460349474515 0 3.2362 105.001 11.2824 25.6261 2.97167e-05 0.0455889 0.110278 5.46515e-05 408 30. 0.082708 0.073007 18.7897 25.6261 1 2458214.8494792 478120245 26.0931845071937 74.0388700580386 0.392032528942777 0.9517243023707 -12.6142245639281 103.503202395881 -0.122693615252138 1.15739592009522 2.74067403832603 19.0609997749329 0.0920000001788139 5.61999988555908 0.625999987125397 2458186.958530 2458255.771944 0
 8 478 12 1 ZTF_i 460392594515 32 2.5661 57.4112 13.4426 23.7026 7.01437e-05 0.0540016 0.171975 0.00037778 118 30. 0.105717 0.093942 16.8448 23.7026 2 2458214.8925926 478120345 -7.16368303856641 74.538630088184 -0.10690788954731 0.999248771341166 283.249658405169 117.678418090441 2.42319165891671 1.09520720155945 2.76444198535708 18.7739998435974 0.0820000022649765 4.0939998626709 0.488000005483627 2458243.854826 2458600.685880 0
 9 478 12 1 ZTF_g 460401254515 56 3.9879 19.6846 13.5607 24.1915 0.00700438 0.0491735 -0.117653 0.0225196 14 30. 0.135312 0.137765 16.8885 24.1915 1 2458214.90125 478120145 -101.714757958779 106.071806052475 -1.06669143408091 0.982249630573453 -182.594685313518 133.276084485029 -1.37927574729525 1.33280554976782 3.18120894571655 19.4760000228882 0.0759999975562096 4.44199991226196 0.405000001192093 2458202.855613 2458348.652222 0
 10 478 12 1 ZTF_r 463368844515 0 2.1052 56.3374 10.3865 24.9349 8.30163e-05 0.0767474 0.114519 0.000146323 419 30. 0.060712 0.059179 18.5313 24.9349 1 2458217.8688426 478120245 35.4811485460992 46.6368729036463 0.84629748148027 0.973742858065959 -3.7108914760129 79.3587525965646 -0.0470758980121793 1.09592849078528 2.74067403832603 19.0609997749329 0.0920000001788139 5.61999988555908 0.625999987125397 2458186.958530 2458255.771944 0
 11 478 12 1 ZTF_r 463381034515 0 1.905 183.065 6.43451 26.2227 6.3223e-06 0.023228 0.105982 1.13304e-05 492 30. 0.056045 0.053282 20.5436 26.2227 1 2458217.8810301 478120245 9.19951619386972 26.4844170997778 0.386393107114494 0.95038526191546 26.18269483041 46.9106189826861 0.561899146891248 1.08564116460847 2.74067403832603 19.0609997749329 0.0920000001788139 5.61999988555908 0.625999987125397 2458186.958530 2458255.771944 0
 12 478 12 1 ZTF_r 464321624515 0 2.0314 174.968 6.08727 26.1801 6.8195e-06 0.0241738 0.107298 1.20807e-05 495 30. 0.059274 0.056095 20.5038 26.1801 2 2458218.8216204 478120245 19.3075496588616 27.2773568907577 0.787371472459907 1.02261455815904 -94.2044866709875 47.0792309704954 -2.01445430084019 1.09412703717041 2.74067403832603 19.0609997749329 0.0920000001788139 5.61999988555908 0.625999987125397 2458186.958530 2458255.771944 0
 13 478 12 1 ZTF_r 465320894515 0 1.6929 136.481 7.49512 25.898 8.6711e-06 0.0271292 0.107115 1.53117e-05 494 30. 0.058354 0.060323 20.0957 25.898 2 2458219.8208912 478120245 18.6373743721404 33.6077577699237 0.616879008106895 0.977924303881923 81.8168013165093 56.5103497060124 1.4575709159332 1.10917151920608 2.74067403832603 19.0609997749329 0.0920000001788139 5.61999988555908 0.625999987125397 2458186.958530 2458255.771944 0
 14 478 12 1 ZTF_r 468306814515 0 2.7765 176.238 6.17933 26.1962 9.5561e-06 0.0284799 0.111954 1.68945e-05 492 30. 0.064135 0.064628 20.1582 26.1962 1 2458222.8068171 478120245 -40.3792131197281 37.9743815429334 -1.18282894328945 0.977297313564695 -26.4525119378921 57.7858858383846 -0.460850789796962 1.11627766301629 2.74067403832603 19.0609997749329 0.0920000001788139 5.61999988555908 0.625999987125397 2458186.958530 2458255.771944 0
 15 478 12 1 ZTF_r 468358104515 0 2.6891 178.75 6.19926 26.2111 8.7521e-06 0.027241 0.113546 1.56096e-05 488 30. 0.060665 0.05904 20.2097 26.2111 1 2458222.8581019 478120245 1.99930723826434 37.1552947134262 0.0598568184146825 0.98473220276629 -44.2459460778495 55.8403828023261 -0.797701284177349 1.13558496291348 2.74067403832603 19.0609997749329 0.0920000001788139 5.61999988555908 0.625999987125397 2458186.958530 2458255.771944 0
 16 478 12 1 ZTF_r 471395714515 8 4.0408 181.556 6.3723 26.231 1.49548e-05 0.035702 0.114394 2.65504e-05 490 30. 0.086954 0.079032 19.7551 26.231 1 2458225.8957176 478120245 58.3562565701133 50.3783270308382 1.28854172081315 1.07366841754376 67.7222978532615 64.5419786753371 1.05634213305815 1.25895580803945 2.74067403832603 19.0609997749329 0.0920000001788139 5.61999988555908 0.625999987125397 2458186.958530 2458255.771944 0
 17 478 12 1 ZTF_r 472293334515 0 2.13 179.112 6.29264 26.2077 5.9532e-06 0.0224713 0.106041 1.05468e-05 490 30. 0.055673 0.047963 20.4175 26.2077 1 2458226.7933333 478120245 -13.3338204559849 29.8932950791931 -0.49617584149023 0.944885495056094 -15.5309931553087 51.4062253888437 -0.304157622340761 1.08142722547398 2.74067403832603 19.0609997749329 0.0920000001788139 5.61999988555908 0.625999987125397 2458186.958530 2458255.771944 0
 18 478 12 1 ZTF_r 472334364515 0 1.8168 183.013 6.13707 26.2197 6.5909e-06 0.0237114 0.108079 1.17092e-05 492 30. 0.054208 0.050193 20.6394 26.2197 1 2458226.8343634 478120245 -35.3804949557328 25.4871933788073 -1.54417561936488 1.05822335705721 59.8706280394669 44.9246706464511 1.34166504276254 1.08802787269217 2.74067403832603 19.0609997749329 0.0920000001788139 5.61999988555908 0.625999987125397 2458186.958530 2458255.771944 0
 19 478 12 1 ZTF_g 475290424515 0 3.0308 126.637 5.46124 26.2948 1.43983e-05 0.0347506 -0.0920356 2.68389e-05 486 30. 0.07342 0.058162 20.2516 26.2948 1 2458229.7904282 478120145 -17.1346865322868 30.746150463244 -0.619926521552142 1.03397858072899 15.8625620229807 46.9644285002261 0.340031760224222 1.07178763663954 3.18120894571655 19.4760000228882 0.0759999975562096 4.44199991226196 0.405000001192093 2458202.855613 2458348.652222 0
 20 478 12 1 ZTF_r 475357434515 0 2.2067 183.452 5.92699 26.2479 5.7346e-06 0.0221212 0.0990508 1.02528e-05 493 30. 0.05512 0.053631 20.4705 26.2479 1 2458229.8574306 478120245 23.6520718851106 26.8274948371101 0.98071737906788 1.09904548308401 10.9321599631186 46.6511336913777 0.235916853859548 1.070761344219 2.74067403832603 19.0609997749329 0.0920000001788139 5.61999988555908 0.625999987125397 2458186.958530 2458255.771944 0
 21 478 12 1 ZTF_g 478291714515 0 2.4437 130.195 8.11831 26.2697 1.85969e-05 0.0386593 -0.0512725 3.64105e-05 464 30. 0.056459 0.056309 20.0511 26.2697 1 2458232.791713 478120145 -68.3085707356455 45.6650082444581 -1.66397370519838 0.934401558216734 -14.7526008505426 72.9777762237139 -0.203513469916262 1.10498241570862 3.18120894571655 19.4760000228882 0.0759999975562096 4.44199991226196 0.405000001192093 2458202.855613 2458348.652222 0
 22 478 12 1 ZTF_r 478359084515 0 1.9128 172.647 8.85536 26.2622 2.76291e-05 0.0484933 0.120302 5.00225e-05 487 30. 0.057113 0.074429 20.1059 26.2622 1 2458232.8590856 478120245 31.5272184124192 46.9383954853583 0.747157597058585 0.941891586403032 60.4885578253842 74.1845210735592 0.820871400951138 1.18811844583098 2.74067403832603 19.0609997749329 0.0920000001788139 5.61999988555908 0.625999987125397 2458186.958530 2458255.771944 0
 23 478 12 1 ZTF_g 481313194515 0 1.8034 134.77 14.7569 26.2882 2.16622e-05 0.0373855 -0.025428 5.12175e-05 385 30. 0.052644 0.061914 19.5923 26.2882 1 2458235.8131944 478120145 22.5817212169118 74.2295526878145 0.338403619194503 1.03679704463593 -8.81107499446669 126.577267411253 -0.0700790771748818 1.12394967051644 3.18120894571655 19.4760000228882 0.0759999975562096 4.44199991226196 0.405000001192093 2458202.855613 2458348.652222 0
 24 478 12 1 ZTF_g 482288114515 0 2.2188 125.692 21.9584 26.2587 4.68738e-05 0.0417514 -0.0351291 0.000131453 256 30. 0.057327 0.063356 18.985 26.2587 2 2458236.7881134 478120145 56.7175138846169 127.180369358774 0.49608021344128 0.948899197870422 252.962764942333 200.790375130258 1.26832017497453 1.15602400025296 3.18120894571655 19.4760000228882 0.0759999975562096 4.44199991226196 0.405000001192093 2458202.855613 2458348.652222 0
 25 478 12 1 ZTF_g 489253314515 0 2.7127 128.271 4.5912 26.2979 1.11344e-05 0.0304332 -0.103802 2.00845e-05 489 30. 0.061725 0.053795 20.5164 26.2979 1 2458243.7533102 478120145 45.1576554839694 24.462976962367 2.05341571172386 1.13023511575683 49.785755604331 39.2283611092405 1.27767421619199 1.06853331902161 3.18120894571655 19.4760000228882 0.0759999975562096 4.44199991226196 0.405000001192093 2458202.855613 2458348.652222 0
