mjd,instrument,filter,mag,emag,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
58580.4421,P48+ZTF,g,20.828,0.148,4813.97,20.74757398755756,-2.700381866245843,-2.75789999999688,-14.089092607764918,622755143883322.9,432152.51330530393,58908.02175417287,1.5691457758115585e-14,2.138950269894017e-15,9.771936033894354,1.3320422830871208,0.002029912117004126,0.00027670348653753985,2.4287800695936414e+37,3.310743887185158e+36,2019-04-07T10:36:37.440000018,2019 04 07
58580.4842,P48+ZTF,r,20.891,0.139,6421.81,20.83374146346069,-2.659159894250588,-2.7157999999981257,-14.002925131861787,466834830055700.75,399181.1755112522,51104.66350196434,1.449426848281357e-14,1.855610331756325e-15,6.766429363955972,0.8662635338750666,0.0010536638991119282,0.00013489398376393362,1.260703779624847e+37,1.6140000176828558e+36,2019-04-07T11:37:14.879999910,2019 04 07
58581.4308,P48+ZTF,r,19.187,0.05,6421.81,19.129741463460693,-1.732301968075179,-1.7691999999951804,-15.706925131861784,466834830055700.75,1917653.126035757,88311.19003086732,6.962998500635833e-14,3.2065793100207927e-15,32.50570221722428,1.4969429072536828,0.005061766420561225,0.00023310295808404215,6.05637913888686e+37,2.7890656645441994e+36,2019-04-08T10:20:21.120000165,2019 04 08
58581.4807,P48+ZTF,g,18.813,0.033,4813.97,18.732573987557558,-1.6834426711025356,-1.7192999999970198,-16.10409260776492,622755143883322.9,2764630.1700278157,84028.51006634888,1.0038372147370999e-13,3.051075200509128e-15,62.51447890990367,1.9000727754919002,0.01298605494215869,0.00039469975415133457,1.5537752182450233e+38,4.7225635451208204e+36,2019-04-08T11:32:12.480000006,2019 04 08
58581.5163,P48+ZTF,i,19.437,0.171,7883.06,19.39509155747314,-1.6485851365848747,-1.6836999999941327,-15.441575037849336,380299601931229.75,1501861.9522584968,236538.48210156595,5.453260748650602e-14,8.58871228510786e-15,20.738728919390237,3.2662838631283817,0.0026307967869571252,0.0004143421289611371,3.147735682637667e+37,4.9575836135164206e+36,2019-04-08T12:23:28.320000255,2019 04 08
58582.1544,LT+IOO,g,18.59,0.01,4795.5,18.509165092090456,-1.0237932047367555,-1.0455999999976484,-16.32750150323202,625153702429360.8,3396257.428113853,31280.68690378102,1.23318107214814e-13,1.1358017414762888e-15,77.09277130192184,0.7100506639096176,0.01607606533248292,0.00014806603355429414,1.9234934729413426e+38,1.7716029589064323e+36,2019-04-09T03:42:20.159999952,2019 04 09
58582.1552,LT+IOO,r,18.84,0.02,6187.58,18.780238305537235,-1.0230098893528152,-1.0447999999960302,-16.05642828978524,484506799104011.56,2645887.142722104,48739.04234061221,9.60721621522396e-14,1.7697146273876296e-15,46.54761576738318,0.8574387694431289,0.007522749728873514,0.00013857417107223323,9.000933812343868e+37,1.6580332815463246e+36,2019-04-09T03:43:29.280000092,2019 04 09
58582.156,LT+IOO,u,18.45,0.03,3479.24,18.341090823542608,-1.022226573968875,-1.043999999994412,-16.49557577177987,861660759246272.2,3964882.3837091094,109553.74886643952,1.4396487935247776e-13,3.977896621340419e-15,124.04888724765397,3.4275974229473665,0.0356540184774991,0.0009851569374194843,4.265986135738566e+38,1.1787355299685078e+37,2019-04-09T03:44:38.400000231,2019 04 09
58582.1575,LT+IOO,i,19.11,0.02,7658.73,19.065798849067722,-1.0207578576284395,-1.0424999999959255,-15.770867746254755,391438865190442.8,2033981.968369054,37467.332478282166,7.385388527148034e-14,1.3604388422864255e-15,28.909281040573426,0.5325286365855982,0.0037746834058092434,6.953223792790688e-05,4.516390511814805e+37,8.319498773315616e+35,2019-04-09T03:46:48.000000101,2019 04 09
58582.1583,LT+IOO,z,19.28,0.07,9669.83,19.250916852299834,-1.0199745422444995,-1.0416999999943073,-15.585749743022642,310028674754364.9,1715141.2703436296,110579.24420121915,6.22767795261772e-14,4.015132356946267e-15,19.30758742447048,1.2448061635874208,0.0019966832327425075,0.00012873092532003364,2.389021869643309e+37,1.5402593202856855e+36,2019-04-09T03:47:57.120000240,2019 04 09
58582.4396,P48+ZTF,g,18.505,0.019,4813.97,18.424573987557558,-0.7445412709284327,-0.7603999999992084,-16.41209260776492,622755143883322.9,3671445.1390839415,64248.992837201025,1.333101730001379e-13,2.3328809299187694e-15,83.01959596781154,1.4528135991742233,0.01724555740227121,0.0003017911618008054,2.063422635729026e+38,3.610916713197866e+36,2019-04-09T10:33:01.439999817,2019 04 09
58582.4516,P48+ZTF,r,18.761,0.02,6421.81,18.70374146346069,-0.7327915401907016,-0.7483999999967637,-16.132925131861786,466834830055700.75,2839030.464196235,52296.873803313734,1.0308519615496529e-13,1.8988994877983218e-15,48.1237600282618,0.8864724196791868,0.007493800038970601,0.00013804089807689527,8.966295647830183e+37,1.651652695845694e+36,2019-04-09T10:50:18.240000028,2019 04 09
58582.8261,Swift+UVOT,UVW1,18.685,0.108,2614.22,18.53941811612129,-0.3661020268272637,-0.3738999999986845,-16.297248479201187,1146775933165533.2,3302930.167518139,328547.999531272,1.1992939438258363e-13,1.1929577862980487e-14,137.5321431570646,13.680552786090335,0.052609246030198155,0.0052331298766325465,6.29467094482268e+38,6.261414688591824e+37,2019-04-09T19:49:35.039999862,2019 04 09
58582.828,Swift+UVOT,U,18.289,0.113,3475.49,18.180024252059297,-0.3642416527912962,-0.37199999999575084,-16.65664234326318,862590477889448.6,4598931.461845602,478642.28245416435,1.669872013796138e-13,1.7379501275910708e-14,144.04156983946265,14.9913923110681,0.04144496742602127,0.0043134615007000745,4.9588703878392355e+38,5.16103590697396e+37,2019-04-09T19:52:19.200000116,2019 04 09
