GRB "Time [UT]" "Trigger Number" "BAT RA (J2000)" "BAT Dec (J2000)" "BAT 90% Error Radius [arcmin]" T90 "BAT Fluence (15-150 keV) [10^-7 erg/cm^2]" "BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]" "BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]" "BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]" "BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)" "BAT Photon Index 90% Error (15-150 keV)" "XRT RA (J2000)" "XRT Dec (J2000)" "XRT 90% Error Radius [arcsec]" "XRT Time to First Observation [sec]" "XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s]" "XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]" "XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]" "XRT Initial Temporal Index" "XRT Spectral Index (Gamma)" "XRT Column Density (NH) [10^21 cm^-2]" "UVOT RA (J2000)" "UVOT Dec (J2000)" "UVOT 90% Error Radius [arcsec]" "UVOT Time to First Observation [sec]" "UVOT Magnitude" "UVOT Other Filter Magnitudes" "Other Observatory Detections" Redshift "Host Galaxy" Comments References "Burst Advocate" fixT90 z
171205A 07:20:43 794972 167.423 -12.599 1.6 189.4 36.0 3.0 1.0 0.3 "1.41, PL" 0.14 11:09:39.50 -12:35:18.6 1.5 144.69 281.0 0.079512352 0.08806688 -1.84 1.66173 0.0472535 11:09:39.547 -12:35:17.93 "" 154 "V= 18.22" U=17.78|B=18.45|UVW1=17.13|UVM2=17.11|UVW2=16.96|White=17.70 "VLT, HJT (1.5m), GMG (2.4m), NOEMA @ 150GHz, LSGT (0.43m), TNG (3.6m), GOTO, CTIO (1.3m), CHILESCOPE (1m), LCO (1m), MPG (2.2m), MASTER-SAAO, GTC (10.4m), TSHAO (1m), UKIRT (3.8m), VLA @ 6 GHz, SAO-RAS, Mondy (AZT-33IK), iTelescope (0.43m), MASTER-Net, Konus-Wind, JCMT, ALMA @ 92 and 340 GHz, RATAN @ 4.7 and 8.2 GHz, GMRT @ 1400 MHz, VLBA @ 4.4 GHz, eMERLIN @ 5.1 GHz, ATCA @ 2.1, 5.5, & 9.0 GHz" "0.0368 (VLT: emission & absorption)" "Likely host: 2MASX J11093966-1235116 (z = 0.037)" "" "" "Valerio D'Elia" 189.4 0.0368
190829A 19:56:44.60 922968 44.542 -8.958 1.9 58.2 64.0 7.0 18.0 2.7 "2.56, PL" 0.21 02:58:10.51 -08:57:29.3 1.4 97.31 77.5 2.31421665 0.80497387 -0.2358 2.0913 11.196957 "" "" "" 106 V=17.52 B=17.29|U=18.40|UVW1=18.54|UVM2>18.5|UVW2>18.7|White=19.48 "Fermi (GBM), Dabancheng (0.5m), MASTER-Kislovodsk, GROWTH-India, NOT, GTC (10.4m), H.E.S.S., MPG (2.2m), AGILE, KAIT (0.76m), MMT (6.5m), UKIRT, Liverpool (2m), NOEMA @ 90 GHz, TNG (3.6m), Keck I, uGMRT (1050-1450 MHz), MeerKAT @ 1.3 GHz, LCO (1m), GROND, MASTER-SAAO, Konus-Wind, Stroncone Observatory (50cm), ATCA at 5.5 GHz, ZTSh (2.6m)" "0.0785 (GTC: absorption & emission from SDSS J025810.28-085719.2)| 0.078 (Keck I: emission from host)" "" "We note the presence of a galaxy SDSS J025810.28-085719.2 with z=0.07914 centered at a distance of 10 arcseconds from the XRT location." "" "Simone Dichiara" 58.2 0.078
180728A 17:29:00 850471 253.574 -54.037 1.0 8.68 296.0 6.0 132.0 2.9 "1.97, PL" 0.03 16:54:15.59 -54:02:40.2 1.4 1730.81 79.2 3.4480866 1.48441485 -0.5559 1.70111 3.866656 16:54:15.53 -54:02:40.2 0.43 1740 V=16.07 B=16.58|U=15.93|UVW1=16.20|UVM2=16.60|UVW2=16.37|White=16.25 "MASTER-SAAO, Fermi (GBM), VLT, Konus-Wind, Astrosat (CZTI)" "0.117 (VLT: absorption)" "" "Due to an observing constraint, Swift did not slew until T0+23.6 minutes." "" "Rhaana Starling" 8.68 0.117
161219B 18:48:39 727541 91.717 -26.801 1.0 6.94 15.0 1.0 5.3 0.4 "1.29, CPL" 0.35 06:06:51.37 -26:47:29.7 1.4 108.25 "" 1.461442 0.8097496 -2.261 1.86204 1.46524 06:06:51.43 -26:47:29.5 0.42 112 V=16.7 B=16.9|U=16.0|UVW1=15.6|UVM2=15.7|UVW2=15.9|White=16.1 "MPG (2.2m), LCO (1m), Watcher (40cm), ISON/Terskol (0.8m), VLA @ 14.75 GHz, MITSuME (50cm), VLT, SALT, Konus-Wind, ALMA @ 97 GHz, MASTER II, POLAR, UKIRT (3.8m), GTC (10.4m), GMRT @ 1390 MHz, AZT-33IK, ZTSh, AS-32, Zeiss-1000, Chandra" "0.1475 (VLT: absorption)|0.1475 (GTC: absorption)" "" "" "" "Antonino D'Ai" 6.94 0.1475
130427A 07:47:57 554620 173.15 27.706 1.0 162.83 3100.0 30.0 331.0 4.6 "1.21, PL" 0.02 11:32:32.63 27:41:51.7 3.5 140.19 43800.0 9.83052 3.329276 -2.787 1.7864400000000002 0.977721 "" "" "" 147 V=12.1 B=12.6|U=11.8|UVW1=11.2|UVM2=11.2|UVW2=11.2|White=13.8 "ISON-NM (0.45m), Palomar 60"", Faulkes North (2m), PAIRITEL (1.3m), MITSuME (50cm), Gemini-North, iTelescope (T11, T21, T30), Weihai (1m), HJT (1.5m), MAXI/GSC, GMG (2.4m), Zadko (100cm), Fermi (LAT, GBM), AZT-11, T100 (1.0m), RAPTOR, NOT (2.5m), VLA @ 5.8 GHz, SNUO (0.6m), SOAO (0.6m), BOAO, CARMA @ 85 GHz, INTEGRAL, Kanata (1.5m), Konus-Wind, ARIES Nainital (1.04m), Stansbury Park (0.35m), VLT, TNT (80cm), CARMA @ 93 GHz, Nayuta (2m), PROMPT (16""), CrAO RT-22 @ 36 GHz, SARA (0.9m),  Challis Observatory (0.4m), Murikabushi (1m), AGILE, GMRT @ 1390 GHz, ABT (10""), VLA @ 20-22 GHz, KAIT (0.76m), Murikabushi (1m), Pan-STARRS 1 (1.8 m), RHESSI, Tautenburg (1.43m), Sandvreten Observatory (0.45m), NOT, Watcher (40cm), LBT, Keck, William Herschel (4.2m), AZT-33IK, GTC (10.4m), HST, BTA (6m), Konkoly Observatory" "0.34 (Gemini-North: absorption)|0.338 (NOT: absorption)|0.3399 (VLT: absorption)|0.340 (LBT: absorption)| 0.3399 (William Herschel: emission, host)| 0.3393 (BTA)" "Irregular galaxy, with a broadly elliptical shape (William Herschel)." "This is an extremely bright burst in all three instruments." "" "Alessandro Maselli" 162.83 0.34
061021 15:39:08 234905 145.146 -21.953 1.0 46.200 29.6 1.01 6.11 0.27 "1.30, PL" 0.06 09:40:36.11 -21:57:05.3 1.4 72.79 268.0 0.32195809 0.14521797 -2.008 1.99282 0.743722 09:40:36.12 -21:57:05.4 0.6 80 V=16.76 B=19.15|U=18.18|UVW1=17.94|UVM2=17.63|UVW2=18.02|White=15.09 "VLT, Konus-Wind" "0.3463 (Fynbo)" "" "BAT: long burst not short with extended emission" "" "Alberto Moretti" 46.2 0.3463
091127 23:25:45 377179 36.581 -18.948 1.2 7.1 90.0 3.0 46.5 2.7 "2.05, PL" 0.07 02:26:19.91 -18:57:08.1 1.4 3214.62 "" 2.047116 0.610428 -1.082 1.80187 0.756361 02:26:19.89 -18:57:08.63 0.55 3219 V=17.0 UVW1=15.9|UVM2=15.6|White=16.2 "Liverpool (2m), REM (60cm), ESO/MPI (2.2m), NOT, CAHA (1.23m), TAROT (25cm), Gemini-North, MASTER II, Fermi (GBM), Mt.Terskol (Z-600), Konus-Wind, PROMPT (16""), Suzaku, VLT, Zadko (1.0m), CTIO (1.3m), Gunma Astronomical Observatory (150cm)" "0.490 (Gemini-North: emission)|0.49034 (VLT: emission)" "" "Due to an observing constraint, Swift will not slew until T0+50 minutes." "" "Eleonara Troja" 7.1 0.49034
060729 19:12:29 221755 95.287 -62.221 4.1 115.300 26.1 2.11 1.17 0.13 "1.75, PL" 0.14 06:21:31.79 -62:22:12.5 1.4 124.39 7700.0 1.7049378 0.8136226 -4.71 2.02393 0.913472 06:21:31.85 -62:22:12.7 "" 135 V=17.30 B=18.3|U=17.3|UVW1=17.4|UVM2=17.7|UVW2=18.0|White=16.65 "ROTSE-IIIa, VLT, Gemini South, CTIO (1.3m), XMM-Newton" "0.54 (VLT, Gemini South: absorption)" "" "" "" "Dirk Grupe" 115.3 0.54
090618 08:28:29 355083 294.008 78.352 0.46 113.2 1050.0 10.0 38.9 0.8 "1.42, CPL" 0.08 19:35:58.47 78:21:24.4 1.4 120.9 31500.0 1.06260286 0.35844587 -4.423 1.82831 2.46604 19:35:58.69 78:21:24.3 0.74 129 V=15.60 B=15.92|U=14.62|UVW1=15.09|UVM2=15.23|UVW2=15.27|White=14.27 "Palomar (60""), KAIT, ROTSE-IIIb, Lick (3m), Observatorio Astrofisico Guillermo Haro (2.1m), Faulkes North, Mt. Lemmon (1.0m), AGILE , SARA (0.9m), Liverpool, AMI Large Array @ 14.6 to 17.5 GHz, VLA @ 8.46 GHz, Fermi GBM, OAUV (0.4m), WSRT @ 4.9 GHz, Shajn, BOAO (15.5cm), SAO RAS (6m), RTT150, Konus-Wind, PAIRITEL (1.3m), AGILE , Suzaku, SARA (0.9m), HCT (2m), Sayan Observatory (1.5m), CORONAS-PHOTON" "0.54 (Lick: absorption)|0.54 (SAO RAS: emission)" "r = 22.7, i = 22.2 (SDSS)" "" "" "Patricia Shady" 113.2 0.54
090424 14:12:09 350311 189.531 16.829 1.0 48 210.0 0.0 71.0 2.0 "1.19, CPL" 0.15 12:38:05.12 16:50:15.6 1.4 84.46 654.0 0.8685105 0.36182094 -1.287 1.96315 4.26707 12:38:05.11 16:50:15.1 0.74 91 V=16.86 B=17.27|U=16.40|UVW1=16.81|UVM2=17.39|UVW2=17.51|White=15.27 "ROTSE-IIIa, TNT, Fermi (GBM), Calar Alto (1.23m), Liverpool (2m), AAVSO (0.4m), TAOS (50cm), Gemini-South, ESO/MPI (2.2m), Taurus Hill Observatory (0.35m), Lulin (1m), WHT, Mt. Lemmon (1.0m), VLA @ 8.46 GHz, Suzaku, Sampurnanand (1.04m), Gao-Mei-Gu (2.4m), CTIO (1.3m), ICSP VLF, AZT-11" "0.544 (Gemini-South: absorption)|0.544 (WHT)" "" "" "" "John Cannizzo" 48.0 0.544
